element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
114,9,12,2,False,2019-08-11T15:30:00Z,4,0,1,90,0,0,0,4,0,0,0,0,0,0,0,18,20.8,55.3,23.0,9.9,70,0,170160,0,0
114,14,9,2,True,2019-08-18T15:30:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,11.6,26.8,6.0,4.4,70,36058,243762,62956,26898
114,26,14,0,False,2019-08-24T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,3341,255712,46820,43479
114,33,15,0,True,2019-08-31T14:00:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,-108890,144754,2345,111235
114,50,20,0,False,2019-09-14T14:00:00Z,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,-35342,113355,1219,36561
114,53,10,0,True,2019-09-22T15:30:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,-8163,107395,1718,9881
114,63,4,3,True,2019-09-28T14:00:00Z,2,0,7,62,0,0,1,0,0,0,0,0,0,0,0,2,16.0,13.6,85.0,11.5,70,-6884,101762,2064,8948
114,78,16,0,False,2019-10-06T13:00:00Z,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-2547,100028,1685,4232
114,83,13,0,True,2019-10-19T14:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-3917,96750,962,4879
114,93,5,0,False,2019-10-26T16:30:00Z,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-2758,94316,308,3066
114,109,18,0,False,2019-11-02T17:30:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-3169,91478,375,3544
114,112,7,0,True,2019-11-09T12:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-1624,90215,495,2119
114,127,11,0,False,2019-11-23T17:30:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-1911,88664,469,2380
114,132,19,2,True,2019-11-30T15:00:00Z,0,1,14,62,0,0,0,1,0,0,0,0,0,0,0,10,11.6,16.0,39.0,6.7,68,-1099,87778,219,1318
114,147,2,0,True,2019-12-04T19:30:00Z,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-445,87477,229,674
114,154,8,0,False,2019-12-07T12:30:00Z,3,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-765,86857,266,1031
114,163,3,0,True,2019-12-14T15:00:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-1213,85839,171,1384
114,178,17,0,False,2019-12-22T16:30:00Z,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-805,85262,179,984
114,183,16,1,True,2019-12-26T15:00:00Z,0,2,19,6,0,0,0,0,0,0,0,0,0,0,0,2,4.2,1.6,0.0,0.6,68,-417,85000,188,605
114,191,1,0,False,2019-12-29T14:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-332,84835,129,461
114,202,4,0,False,2020-01-01T12:30:00Z,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-466,84537,214,680
114,213,5,0,True,2020-01-11T15:00:00Z,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-502,84306,345,847
