element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
124,4,8,0,True,2019-08-10T14:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,769,0,0
124,18,15,0,False,2019-08-18T13:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-137,698,18,155
124,25,12,0,False,2019-08-24T14:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-72,644,15,87
124,34,2,0,True,2019-08-31T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-55,601,19,74
124,48,17,0,False,2019-09-14T14:00:00Z,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-29,594,43,72
124,54,20,0,True,2019-09-22T13:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,103,890,157,54
124,64,14,0,True,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,121,1248,240,119
124,80,19,0,False,2019-10-05T16:30:00Z,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,38,1431,185,147
124,84,11,1,True,2019-10-19T16:30:00Z,0,2,9,82,0,0,0,2,0,0,0,0,0,0,0,9,16.6,0.1,0.0,1.7,50,54,1644,198,144
124,91,1,1,False,2019-10-27T16:30:00Z,2,2,10,90,0,0,0,2,0,0,0,0,0,0,0,11,9.0,0.2,4.0,1.3,50,48,1800,144,96
124,105,9,0,True,2019-11-03T14:00:00Z,0,2,11,90,0,0,0,2,0,0,0,1,0,0,0,6,7.6,0.1,0.0,0.8,50,165,2122,311,146
124,112,6,1,False,2019-11-09T12:30:00Z,2,0,12,90,0,0,0,2,0,0,0,0,0,0,0,13,23.2,0.2,4.0,2.7,50,-15,2228,181,196
124,125,10,1,True,2019-11-23T15:00:00Z,1,2,13,90,0,0,0,2,0,0,0,0,0,0,0,18,31.0,10.5,4.0,4.6,50,33,2421,235,202
124,131,5,8,False,2019-11-30T15:00:00Z,0,2,14,90,0,0,1,0,0,0,0,0,0,0,2,29,30.0,3.0,4.0,3.7,50,461,3019,627,166
124,148,3,6,True,2019-12-03T19:30:00Z,1,0,15,90,0,0,1,0,0,0,0,0,0,0,0,22,14.6,0.1,2.0,1.7,50,2014,5318,2276,262
124,159,18,5,False,2019-12-07T15:00:00Z,0,0,16,90,0,0,1,0,0,0,0,1,0,0,0,20,7.0,0.0,0.0,0.7,50,7289,13313,8191,902
124,164,4,5,True,2019-12-16T19:45:00Z,1,1,17,90,0,1,0,1,0,0,0,0,0,0,0,22,46.4,10.4,4.0,6.1,50,7991,22093,10135,2144
124,176,13,2,False,2019-12-21T15:00:00Z,1,0,18,90,0,0,0,1,0,0,0,0,0,0,0,11,21.8,0.2,0.0,2.2,50,12364,41390,14802,2438
124,184,19,2,True,2019-12-26T15:00:00Z,2,1,19,90,0,0,0,1,0,0,0,0,0,0,0,14,11.0,0.3,4.0,1.5,50,2500,38677,5779,3279
124,198,16,10,False,2019-12-28T15:00:00Z,1,1,20,90,1,0,0,1,0,0,0,0,0,0,2,28,72.2,0.0,36.0,10.8,50,637,40218,4333,3696
124,207,14,2,False,2020-01-01T17:30:00Z,1,1,21,90,0,0,0,1,0,0,0,0,0,0,0,13,16.8,1.3,4.0,2.2,50,22452,65222,27279,4827
124,214,1,1,True,2020-01-11T12:30:00Z,1,1,22,90,0,0,0,1,0,0,0,1,0,0,0,3,0.0,0.3,37.0,3.7,50,-3853,61432,5704,9557
