element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
129,4,8,2,True,2019-08-10T14:00:00Z,0,0,1,82,0,0,1,0,0,0,0,0,0,0,0,9,9.6,15.0,2.0,2.7,60,0,56054,0,0
129,18,15,2,False,2019-08-18T13:00:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,11,11.6,12.3,21.0,4.5,60,897,71692,11131,10234
129,25,12,1,False,2019-08-24T14:00:00Z,1,2,3,15,0,0,0,1,0,0,0,0,0,0,0,5,2.2,0.3,2.0,0.5,60,-9783,64248,4898,14681
129,34,2,1,True,2019-08-31T14:00:00Z,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0.3,1.0,0.0,59,-8930,57584,3221,12151
129,48,17,1,False,2019-09-14T14:00:00Z,4,0,5,19,0,0,0,0,0,0,0,0,0,0,0,4,6.4,21.7,39.0,6.7,59,-7144,52165,1969,9113
129,54,20,1,True,2019-09-22T13:00:00Z,1,1,6,21,0,0,0,1,0,0,0,0,0,0,0,5,5.8,11.3,19.0,3.6,58,-4047,49011,1043,5090
129,64,14,0,True,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-2852,46878,1315,4167
129,80,19,0,False,2019-10-05T16:30:00Z,1,2,8,1,0,0,0,0,0,0,0,1,0,0,0,-1,2.0,0.0,2.0,0.4,58,-2622,44661,645,3267
129,84,11,1,True,2019-10-19T16:30:00Z,0,2,9,14,0,0,0,0,0,0,0,0,0,0,0,3,5.0,0.0,17.0,2.2,57,-2076,43040,578,2654
129,91,1,1,False,2019-10-27T16:30:00Z,2,2,10,9,0,0,0,0,0,0,0,0,0,0,0,4,10.2,10.3,2.0,2.3,57,-576,42785,502,1078
129,105,9,1,True,2019-11-03T14:00:00Z,0,2,11,12,0,0,0,1,0,0,0,0,0,0,0,3,5.2,0.2,19.0,2.4,57,-773,42338,784,1557
129,112,6,0,False,2019-11-09T12:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-873,41682,335,1208
129,125,10,1,True,2019-11-23T15:00:00Z,1,2,13,14,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.8,8.0,0.7,57,-1012,40937,471,1483
129,131,5,1,False,2019-11-30T15:00:00Z,0,2,14,8,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0,0.1,57,72,41277,924,852
129,148,3,0,True,2019-12-03T19:30:00Z,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-47,41358,654,701
129,159,18,1,False,2019-12-07T15:00:00Z,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,57,-564,40968,471,1035
129,164,4,1,True,2019-12-16T19:45:00Z,1,1,17,90,0,0,0,1,0,0,0,1,0,0,0,-1,12.2,18.5,75.0,10.6,57,-595,40572,492,1087
129,176,13,2,False,2019-12-21T15:00:00Z,1,0,18,90,0,0,0,1,0,0,0,0,0,0,0,7,9.0,12.7,47.0,6.9,57,-247,40603,549,796
129,184,19,0,True,2019-12-26T15:00:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,77,40837,631,554
129,198,16,0,False,2019-12-28T15:00:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-1347,39470,31,1378
129,207,14,0,False,2020-01-01T17:30:00Z,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-1104,38391,20,1124
129,214,1,0,True,2020-01-11T12:30:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-990,37436,45,1035
