element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
139,4,8,0,True,2019-08-10T14:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,10397,0,0
139,18,15,0,False,2019-08-18T13:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1344,10617,516,1860
139,25,12,3,False,2019-08-24T14:00:00Z,1,2,3,82,0,0,1,0,0,0,0,0,0,0,0,10,17.2,1.1,0.0,1.8,49,-1430,9518,260,1690
139,34,2,2,True,2019-08-31T14:00:00Z,1,0,4,90,0,0,1,0,0,0,0,1,0,0,0,0,0.0,12.3,43.0,5.3,49,231,10436,1285,1054
139,48,17,2,False,2019-09-14T14:00:00Z,4,0,5,75,0,0,0,4,0,0,0,0,0,0,0,9,3.8,11.1,8.0,2.3,49,-70,10768,1006,1076
139,54,20,2,True,2019-09-22T13:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,8,14.4,3.0,20.0,3.7,49,-1276,9491,126,1402
139,64,14,3,True,2019-09-28T14:00:00Z,2,0,7,69,0,0,1,0,0,0,0,0,0,0,0,2,1.6,3.4,4.0,0.9,49,-40,9738,576,616
139,80,19,5,False,2019-10-05T16:30:00Z,1,2,8,90,0,1,0,1,0,0,0,0,0,0,0,20,4.4,3.8,6.0,1.4,49,110,10032,649,539
139,84,11,2,True,2019-10-19T16:30:00Z,0,2,9,90,0,0,0,2,0,0,0,0,0,0,0,10,8.6,12.1,5.0,2.6,49,540,10839,1104,564
139,91,1,2,False,2019-10-27T16:30:00Z,2,2,10,90,0,0,0,2,0,0,0,0,0,0,0,6,2.8,13.2,4.0,2.0,49,337,11316,786,449
139,105,9,2,True,2019-11-03T14:00:00Z,0,2,11,73,0,0,0,1,0,0,0,0,0,0,0,5,2.4,2.2,2.0,0.7,49,694,12242,1504,810
139,112,6,2,False,2019-11-09T12:30:00Z,2,0,12,81,0,0,0,2,0,0,0,0,0,0,0,13,12.2,1.9,8.0,2.2,49,75,12354,724,649
139,125,10,2,True,2019-11-23T15:00:00Z,1,2,13,71,0,0,0,1,0,0,0,0,0,0,0,18,18.0,32.4,4.0,5.4,49,-181,12324,711,892
139,131,5,3,False,2019-11-30T15:00:00Z,0,2,14,90,0,0,1,0,0,0,0,0,0,0,0,-2,2.8,2.3,10.0,1.5,49,-70,12354,565,635
139,148,3,3,True,2019-12-03T19:30:00Z,1,0,15,90,0,0,1,0,0,0,0,0,0,0,0,11,19.6,1.6,8.0,2.9,49,-25,12396,379,404
139,159,18,3,False,2019-12-07T15:00:00Z,0,0,16,82,0,0,1,0,0,0,0,0,0,0,0,7,18.6,1.0,0.0,2.0,49,31,12497,464,433
139,164,4,2,True,2019-12-16T19:45:00Z,1,1,17,66,0,0,0,1,0,0,0,0,0,0,0,4,5.6,0.8,2.0,0.8,49,93,12731,692,599
139,176,13,2,False,2019-12-21T15:00:00Z,1,0,18,90,0,0,0,1,0,0,0,0,0,0,0,16,16.8,0.3,4.0,2.1,49,-68,12733,528,596
139,184,19,9,True,2019-12-26T15:00:00Z,2,1,19,87,1,0,0,1,0,0,0,0,0,0,2,28,37.4,2.3,59.0,9.9,49,-70,12780,454,524
139,198,16,1,False,2019-12-28T15:00:00Z,1,1,20,6,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,49,5546,18870,6062,516
139,207,14,1,False,2020-01-01T17:30:00Z,1,1,21,45,0,0,0,0,0,0,0,0,0,0,0,4,12.8,0.5,2.0,1.5,49,-82,18661,1894,1976
139,214,1,7,True,2020-01-11T12:30:00Z,1,1,22,90,0,1,0,1,0,0,0,0,0,0,2,22,30.2,11.5,23.0,6.5,49,-1620,17123,715,2335
