element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
202,8,19,6,False,2019-08-10T11:30:00Z,0,5,1,90,0,0,1,0,0,0,0,0,0,0,0,26,19.2,0.9,0.0,2.0,65,0,459735,0,0
202,16,17,1,True,2019-08-17T16:30:00Z,2,2,2,90,0,0,0,2,0,0,0,0,0,0,0,15,20.6,1.7,17.0,3.9,65,-6254,521926,27334,33588
202,22,3,2,False,2019-08-25T13:00:00Z,1,3,3,90,0,0,0,1,0,0,0,0,0,0,0,15,20.8,24.3,2.0,4.7,65,-2035,543100,50017,52052
202,37,4,0,True,2019-08-31T14:00:00Z,4,0,4,36,0,0,0,0,0,0,0,1,0,0,0,0,2.4,0.5,0.0,0.3,65,-13274,546531,37221,50495
202,46,14,0,False,2019-09-14T16:30:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-287375,253882,1917,289292
202,57,18,0,True,2019-09-21T14:00:00Z,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-58822,204024,329,59151
202,65,8,0,False,2019-09-28T16:30:00Z,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-28435,176807,409,28844
202,75,20,0,True,2019-10-06T13:00:00Z,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-11298,166222,236,11534
202,84,7,0,False,2019-10-19T16:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-7152,159539,334,7486
202,95,2,0,True,2019-10-26T11:30:00Z,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-2785,157104,275,3060
202,107,16,0,True,2019-11-02T15:00:00Z,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-3902,153310,566,4468
202,114,10,0,False,2019-11-10T16:30:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-2329,151157,574,2903
202,127,6,0,True,2019-11-23T17:30:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-2584,148807,628,3212
202,136,13,0,False,2019-11-30T12:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-1315,147668,703,2018
202,142,5,0,False,2019-12-03T20:15:00Z,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-852,146897,232,1084
202,155,12,0,True,2019-12-07T17:30:00Z,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-919,146042,353,1272
202,161,1,0,False,2019-12-15T16:30:00Z,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-1551,144567,254,1805
202,175,9,0,True,2019-12-21T17:30:00Z,3,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-1041,143667,213,1254
202,190,20,0,False,2019-12-27T19:45:00Z,3,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-569,143225,88,657
202,195,15,0,True,2019-12-29T18:00:00Z,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-550,142736,70,620
202,205,8,0,True,2020-01-01T17:30:00Z,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-640,142174,201,841
202,211,2,0,False,2020-01-12T16:30:00Z,1,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-364,142010,805,1169
