element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
206,8,19,6,False,2019-08-10T11:30:00Z,0,5,1,90,0,0,1,0,0,0,0,0,0,0,0,26,17.8,25.0,1.0,4.4,55,0,608638,0,0
206,16,17,1,True,2019-08-17T16:30:00Z,2,2,2,90,0,0,0,2,0,0,0,0,0,0,0,16,16.0,17.8,14.0,4.8,55,19349,679522,57782,38433
206,22,3,2,False,2019-08-25T13:00:00Z,1,3,3,90,0,0,0,1,0,0,0,0,0,0,0,20,25.2,65.3,0.0,9.1,55,36378,735688,116136,79758
206,37,4,6,True,2019-08-31T14:00:00Z,4,0,4,90,0,0,1,0,0,0,0,0,0,0,0,21,10.2,7.2,1.0,1.8,55,70350,824176,137237,66887
206,46,14,1,False,2019-09-14T16:30:00Z,3,2,5,90,0,0,0,3,0,0,0,0,0,0,0,12,17.2,14.6,16.0,4.8,56,112558,952978,188545,75987
206,57,18,0,True,2019-09-21T14:00:00Z,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-22814,932403,45108,67922
206,65,8,2,False,2019-09-28T16:30:00Z,1,3,7,90,0,0,0,1,0,0,0,0,0,0,0,16,21.6,18.4,0.0,4.0,55,-276059,653230,11042,287101
206,75,20,0,True,2019-10-06T13:00:00Z,0,2,8,45,0,0,0,2,0,0,0,0,0,0,0,12,16.4,49.0,16.0,8.1,55,-45870,614463,12108,57978
206,84,7,0,False,2019-10-19T16:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-69801,547448,9377,79178
206,95,2,0,True,2019-10-26T11:30:00Z,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-149442,398848,1768,151210
206,107,16,0,True,2019-11-02T15:00:00Z,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-129197,270478,74,129271
206,114,10,0,False,2019-11-10T16:30:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-35921,236268,47,35968
206,127,6,0,True,2019-11-23T17:30:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-25646,211017,53,25699
206,136,13,0,False,2019-11-30T12:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-10392,201340,38,10430
206,142,5,0,False,2019-12-03T20:15:00Z,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-5016,196612,60,5076
206,155,12,0,True,2019-12-07T17:30:00Z,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-4185,192561,334,4519
206,161,1,1,False,2019-12-15T16:30:00Z,0,3,17,5,0,0,0,0,0,0,0,0,0,0,0,4,2.4,1.3,0.0,0.4,52,-3474,189338,892,4366
206,175,9,0,True,2019-12-21T17:30:00Z,3,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-1790,187896,1168,2958
206,190,20,0,False,2019-12-27T19:45:00Z,3,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-2136,186087,445,2581
206,195,15,7,True,2019-12-29T18:00:00Z,2,0,20,90,0,0,1,0,0,0,0,0,0,0,1,32,19.4,36.7,5.0,6.1,52,-1713,184664,467,2180
206,205,8,0,True,2020-01-01T17:30:00Z,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,4748,189862,7320,2572
206,211,2,0,False,2020-01-12T16:30:00Z,1,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-2964,187177,2026,4990
