element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
222,8,19,1,False,2019-08-10T11:30:00Z,0,5,1,11,0,0,0,0,0,0,0,0,0,0,0,3,1.2,3.8,0.0,0.5,55,0,177023,0,0
222,16,17,2,True,2019-08-17T16:30:00Z,2,2,2,90,0,0,0,2,0,0,0,0,0,0,0,16,9.8,40.3,16.0,6.6,55,-27274,159742,6021,33295
222,22,3,1,False,2019-08-25T13:00:00Z,1,3,3,57,0,0,0,1,0,0,0,0,0,0,0,18,16.0,13.4,2.0,3.1,54,-17343,146654,7379,24722
222,37,4,1,True,2019-08-31T14:00:00Z,4,0,4,21,0,0,0,0,0,0,0,0,0,0,0,-1,4.6,2.3,3.0,1.0,54,-17044,131919,5282,22326
222,46,14,1,False,2019-09-14T16:30:00Z,3,2,5,56,0,0,0,3,0,0,0,0,0,0,0,10,3.0,23.3,0.0,2.6,53,-20290,112813,3306,23596
222,57,18,0,True,2019-09-21T14:00:00Z,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-5701,108806,3665,9366
222,65,8,2,False,2019-09-28T16:30:00Z,1,3,7,90,0,0,0,1,0,0,0,0,0,0,0,9,11.0,14.8,34.0,6.0,52,-10765,98541,2415,13180
222,75,20,1,True,2019-10-06T13:00:00Z,0,2,8,90,0,0,0,2,0,0,0,1,0,0,0,14,10.0,41.2,3.0,5.4,52,-1580,98017,4532,6112
222,84,7,3,False,2019-10-19T16:30:00Z,0,2,9,90,0,0,1,0,0,0,0,0,0,0,0,22,22.0,42.3,19.0,8.3,52,-3563,94913,2396,5959
222,95,2,8,True,2019-10-26T11:30:00Z,3,0,10,90,1,0,1,0,0,0,0,1,0,0,1,30,46.4,31.8,37.0,11.5,52,292,95762,3436,3144
222,107,16,1,True,2019-11-02T15:00:00Z,2,1,11,90,0,0,0,1,0,0,0,1,0,0,0,17,16.2,42.4,59.0,11.8,52,13460,111007,17136,3676
222,114,10,2,False,2019-11-10T16:30:00Z,3,1,12,90,0,0,0,3,0,0,0,0,0,0,0,18,15.8,36.0,15.0,6.7,52,1050,112136,7595,6545
222,127,6,0,True,2019-11-23T17:30:00Z,2,1,13,38,0,0,0,0,0,0,0,1,0,0,0,1,4.4,10.3,0.0,1.5,52,1432,114971,8872,7440
222,136,13,1,False,2019-11-30T12:30:00Z,2,2,14,90,0,0,0,2,0,0,0,1,0,0,0,12,9.6,26.3,8.0,4.4,52,-5586,109458,2986,8572
222,142,5,0,False,2019-12-03T20:15:00Z,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-13213,96229,148,13361
222,155,12,1,True,2019-12-07T17:30:00Z,1,2,16,4,0,0,0,0,0,0,0,0,0,0,0,4,7.4,11.3,34.0,5.3,52,-3323,93393,1257,4580
222,161,1,2,False,2019-12-15T16:30:00Z,0,3,17,69,0,0,1,0,0,0,0,1,0,0,0,11,8.8,19.6,1.0,2.9,52,-2932,90840,1422,4354
222,175,9,8,True,2019-12-21T17:30:00Z,3,1,18,78,1,0,0,1,0,0,0,1,0,0,2,32,37.6,14.8,20.0,7.2,52,-971,89998,1680,2651
222,190,20,1,False,2019-12-27T19:45:00Z,3,2,19,23,0,0,0,2,0,0,0,0,0,0,0,3,0.4,2.2,0.0,0.3,52,-1212,89177,1671,2883
222,195,15,1,True,2019-12-29T18:00:00Z,2,0,20,28,0,0,0,0,0,0,0,0,0,0,0,9,1.8,3.8,0.0,0.6,52,391,89874,2369,1978
222,205,8,6,True,2020-01-01T17:30:00Z,2,1,21,90,0,1,0,1,0,0,0,0,0,0,1,22,28.6,23.1,7.0,5.9,52,-301,89794,2847,3148
222,211,2,1,False,2020-01-12T16:30:00Z,1,6,22,19,0,0,0,1,0,0,0,0,0,0,0,5,7.2,0.9,0.0,0.8,52,3398,93970,6661,3263
