element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
235,9,6,10,True,2019-08-11T15:30:00Z,4,0,1,90,0,0,1,0,0,0,0,0,0,7,2,34,43.0,0.0,0.0,4.3,55,0,610697,0,0
235,20,20,2,False,2019-08-19T19:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,1,0,11,13.0,0.0,0.0,1.3,56,361048,1214601,394301,33253
235,25,7,1,True,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,1,0,9,10.0,0.0,0.0,1.0,56,57649,1329773,118498,60849
235,39,16,2,False,2019-08-31T11:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,1,0,10,10.4,0.0,0.0,1.0,56,-60184,1297883,47132,107316
235,45,9,9,True,2019-09-14T14:00:00Z,1,0,5,90,0,0,1,0,0,0,0,0,0,3,2,26,22.4,0.0,0.0,2.2,56,-122612,1194637,16217,138829
235,60,19,2,False,2019-09-22T13:00:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,4,0,16,27.6,0.0,0.0,2.8,56,30627,1257361,53276,22649
235,67,1,4,True,2019-09-30T19:00:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,4,1,17,31.0,0.0,0.0,3.1,56,-68180,1194609,21069,89249
235,76,13,2,False,2019-10-06T15:30:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,1,0,10,7.6,0.0,0.0,0.8,56,-2096,1209638,30109,32205
235,87,10,3,True,2019-10-20T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,3,0,16,21.2,0.0,0.0,2.1,55,-192476,1014409,14453,206929
235,97,14,2,False,2019-10-27T16:30:00Z,1,3,10,90,0,0,0,1,0,0,0,0,0,2,0,11,14.0,0.0,0.0,1.4,55,-17362,1009485,15087,32449
235,103,3,3,False,2019-11-02T12:30:00Z,1,0,11,90,0,0,0,1,0,0,0,0,0,5,0,17,42.8,0.0,0.0,4.3,55,-12474,1002235,15748,28222
235,115,4,2,True,2019-11-10T14:00:00Z,3,1,12,90,0,0,0,1,0,0,0,0,0,1,0,10,11.2,0.0,0.0,1.1,55,17482,1032793,41329,23847
235,128,15,2,False,2019-11-24T16:30:00Z,3,3,13,90,0,0,0,3,0,0,0,0,0,5,0,20,31.4,0.0,0.0,3.1,55,-18645,1011569,19639,38284
235,135,2,1,True,2019-12-01T16:30:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,1,0,10,8.4,0.0,0.0,0.8,55,-27642,986515,4490,32132
235,144,17,3,True,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,1,0,0,0,0,0,4,0,18,30.4,0.0,0.0,3.0,55,-32371,956495,3033,35404
235,155,11,2,False,2019-12-07T17:30:00Z,1,2,16,90,0,0,0,1,0,0,0,1,0,4,0,13,21.4,0.0,0.0,2.1,55,-27455,931574,2649,30104
235,167,8,3,True,2019-12-15T14:00:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,3,0,11,15.6,0.0,0.0,1.6,55,-5826,931341,14858,20684
235,179,18,1,False,2019-12-22T14:00:00Z,2,0,18,90,0,0,0,2,0,0,0,0,0,1,0,7,1.6,0.0,0.0,0.2,55,7402,962923,24353,16951
235,187,13,2,True,2019-12-26T17:30:00Z,4,1,19,90,0,0,0,1,0,0,0,0,0,1,0,8,11.4,0.0,0.0,1.1,55,-26039,919000,4109,30148
235,193,5,6,False,2019-12-28T19:45:00Z,0,2,20,90,0,0,1,0,0,0,0,0,0,1,0,23,8.2,0.0,0.0,0.8,55,-15100,905801,4746,19846
235,201,1,1,False,2020-01-01T20:00:00Z,2,0,21,90,0,0,0,2,0,0,0,0,0,2,0,11,16.0,0.0,0.0,1.6,54,-16604,892255,4815,21419
235,217,14,7,True,2020-01-11T15:00:00Z,4,0,22,90,0,0,1,0,0,0,0,0,0,3,0,26,18.0,0.0,0.0,1.8,54,-18041,877748,6914,24955
