element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
254,10,1,0,True,2019-08-11T13:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,10073,0,0
254,17,14,0,False,2019-08-17T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-945,11003,276,1221
254,28,17,1,False,2019-08-25T15:30:00Z,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,5,4.0,0.0,0.0,0.4,45,-1119,10323,124,1243
254,38,18,1,True,2019-08-31T14:00:00Z,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,3,5.2,0.0,0.0,0.5,45,-420,10431,299,719
254,44,10,1,False,2019-09-14T11:30:00Z,3,1,5,10,0,0,0,0,0,0,0,0,0,0,0,3,1.4,0.0,0.0,0.1,44,-289,10585,438,727
254,58,4,0,True,2019-09-21T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-53,10757,382,435
254,66,9,0,False,2019-09-29T15:30:00Z,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-453,10414,173,626
254,76,12,0,True,2019-10-06T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-372,10144,72,444
254,83,6,0,False,2019-10-19T14:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-293,9970,63,356
254,96,20,8,True,2019-10-27T14:00:00Z,1,1,10,90,0,1,0,1,0,0,0,0,0,0,3,23,45.8,18.6,2.0,6.6,44,-171,9875,62,233
254,110,19,6,False,2019-11-02T15:00:00Z,2,3,11,90,1,0,0,2,0,0,0,1,0,0,0,29,62.2,0.3,19.0,8.2,44,593,10734,827,234
254,116,3,4,True,2019-11-09T15:00:00Z,2,1,12,90,0,1,0,1,0,0,0,1,0,0,0,14,33.0,1.0,23.0,5.7,44,1530,12568,1928,398
254,122,2,0,False,2019-11-25T20:00:00Z,2,0,13,90,0,0,0,2,0,0,0,1,0,0,0,5,23.2,15.1,37.0,7.5,44,3437,16436,4369,932
254,136,11,1,True,2019-11-30T12:30:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,17,37.8,0.1,0.0,3.8,44,1071,17465,2595,1524
254,145,15,6,False,2019-12-05T19:30:00Z,0,2,15,90,0,0,1,0,0,0,0,0,0,0,0,26,28.6,0.5,0.0,2.9,44,99,17571,756,657
254,156,16,9,True,2019-12-08T14:00:00Z,2,1,16,90,1,0,0,1,0,0,0,0,0,0,1,24,53.6,0.3,50.0,10.4,44,902,18665,1465,563
254,162,5,2,False,2019-12-14T15:00:00Z,1,0,17,90,0,0,0,1,0,0,0,0,0,0,0,10,18.8,0.4,2.0,2.1,44,15306,35624,16724,1418
254,176,7,6,True,2019-12-21T15:00:00Z,1,0,18,90,0,0,1,0,0,0,0,0,0,0,0,26,19.2,0.1,0.0,1.9,44,7555,46256,9784,2229
254,187,12,0,False,2019-12-26T17:30:00Z,4,1,19,90,0,0,0,4,0,0,0,0,0,0,0,9,14.4,0.0,7.0,2.1,44,7284,51117,10195,2911
254,196,8,1,True,2019-12-28T15:00:00Z,1,2,20,90,0,0,0,2,0,0,0,0,0,0,0,12,25.0,0.3,0.0,2.5,44,995,52224,4222,3227
254,206,9,0,True,2020-01-01T15:00:00Z,0,3,21,90,0,0,0,3,0,0,0,1,0,0,0,9,12.8,0.3,0.0,1.3,44,-1918,50362,4175,6093
254,220,20,2,False,2020-01-11T15:00:00Z,1,1,22,90,0,0,0,1,0,0,0,0,0,0,0,11,19.6,1.5,0.0,2.1,44,-3059,47594,3009,6068
