element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
274,1,10,0,False,2019-08-09T19:00:00Z,4,1,1,90,0,0,0,4,0,0,0,0,0,0,0,16,25.8,1.4,0.0,2.7,45,0,168643,0,0
274,17,13,1,True,2019-08-17T14:00:00Z,3,1,2,90,0,0,0,1,0,0,0,1,0,0,0,7,4.2,14.2,18.0,3.6,45,-5400,172180,7470,12870
274,26,6,1,True,2019-08-24T11:30:00Z,2,3,3,90,0,0,0,3,0,0,0,0,0,0,0,6,16.6,2.1,2.0,2.1,45,-10690,163903,7350,18040
274,40,19,0,False,2019-08-31T14:00:00Z,2,0,4,90,0,0,0,2,0,0,0,1,0,0,0,11,11.8,12.3,20.0,4.4,45,-9359,156762,6793,16152
274,46,11,0,True,2019-09-14T16:30:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-27168,129726,3047,30215
274,52,5,0,False,2019-09-21T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-21884,108527,297,22181
274,64,7,1,False,2019-09-28T14:00:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,11,13.0,4.4,10.0,2.7,44,-14629,94327,199,14828
274,77,2,0,True,2019-10-05T14:00:00Z,1,5,8,90,0,0,0,5,0,0,0,0,0,0,0,7,0.2,14.0,20.0,3.4,44,-1982,93208,1608,3590
274,82,3,6,False,2019-10-19T14:00:00Z,0,0,9,90,0,0,1,0,0,0,0,0,0,0,0,18,5.6,12.5,4.0,2.2,44,-4033,89236,799,4832
274,97,12,0,True,2019-10-27T16:30:00Z,1,3,10,90,0,0,0,3,0,0,0,1,0,0,0,18,16.0,22.4,4.0,4.2,44,-615,88986,1203,1818
274,104,4,1,False,2019-11-02T15:00:00Z,2,0,11,90,0,0,0,2,0,0,0,0,0,0,0,7,3.0,0.8,0.0,0.4,44,-1609,87593,1600,3209
274,117,18,1,True,2019-11-08T20:00:00Z,0,2,12,90,0,0,0,2,0,0,0,0,0,0,0,10,14.2,3.7,8.0,2.6,44,-1874,86072,1356,3230
274,126,8,5,False,2019-11-23T15:00:00Z,0,2,13,90,0,0,1,0,0,0,0,1,0,0,0,21,15.8,11.4,0.0,2.7,44,-3780,82169,897,4677
274,137,1,1,True,2019-12-01T14:00:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,11,16.2,1.8,52.0,7.0,44,-943,81532,1040,1983
274,150,16,1,False,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,2,0,0,0,0,0,0,0,13,24.6,30.7,0.0,5.5,44,-413,81254,823,1236
274,157,15,1,True,2019-12-08T14:00:00Z,1,2,16,90,0,0,0,2,0,0,0,0,0,0,0,12,10.2,4.3,0.0,1.5,44,-887,80516,939,1826
274,165,9,2,False,2019-12-14T15:00:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,0,0,17,27.8,15.8,2.0,4.6,44,-1430,79202,924,2354
274,177,20,1,True,2019-12-21T15:00:00Z,1,2,18,90,0,0,0,2,0,0,0,0,0,0,0,11,18.4,2.8,0.0,2.1,44,-159,79252,1425,1584
274,181,2,3,False,2019-12-26T15:00:00Z,1,0,19,90,0,0,0,1,0,0,0,0,0,0,1,28,31.8,46.8,2.0,8.1,44,-572,78908,1094,1666
274,197,17,1,True,2019-12-28T17:30:00Z,2,2,20,90,0,0,0,2,0,0,0,0,0,0,0,10,12.2,2.3,2.0,1.7,44,-1661,77203,399,2060
274,207,7,1,True,2020-01-01T17:30:00Z,1,1,21,90,0,0,0,1,0,0,0,1,0,0,0,8,14.8,30.3,5.0,5.0,43,574,78181,2897,2323
274,217,12,0,False,2020-01-11T15:00:00Z,4,0,22,90,0,0,0,4,0,0,0,0,0,0,0,10,8.8,2.1,2.0,1.3,43,-254,78144,2404,2658
