element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
29,6,17,2,False,2019-08-10T16:30:00Z,3,1,1,90,0,0,0,3,0,0,0,0,0,0,0,22,27.0,22.1,0.0,4.9,60,0,345002,0,0
29,12,3,6,True,2019-08-17T14:00:00Z,1,2,2,90,0,1,0,2,0,0,0,0,0,0,1,26,34.0,70.0,11.0,11.5,60,-2810,369565,29014,31824
29,21,8,3,True,2019-08-23T19:00:00Z,2,0,3,90,0,0,1,0,0,0,0,0,0,0,0,14,7.6,13.5,11.0,3.2,60,-19343,354999,22970,42313
29,34,7,1,False,2019-08-31T14:00:00Z,1,0,4,90,0,0,0,1,0,0,0,1,0,0,0,6,17.2,3.8,20.0,4.1,60,-20001,339699,22284,42285
29,41,19,2,True,2019-09-16T19:00:00Z,0,0,5,90,0,0,1,0,0,0,0,1,0,0,0,11,27.0,33.7,10.0,7.1,60,-39813,301823,9044,48857
29,51,1,6,False,2019-09-22T15:30:00Z,3,2,6,90,0,1,0,3,0,0,0,0,0,0,1,29,37.4,46.3,6.0,9.0,59,-31366,272091,4008,35374
29,61,5,2,True,2019-09-28T14:00:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,0,10,12.8,36.1,19.0,6.8,59,-5752,269224,14763,20515
29,77,14,7,False,2019-10-05T14:00:00Z,1,5,8,90,1,0,0,1,0,0,0,0,0,0,0,24,49.8,27.5,43.0,12.0,59,-18559,250741,5063,23622
29,81,4,13,True,2019-10-19T14:00:00Z,2,1,9,90,1,1,0,1,0,0,0,0,0,0,3,48,77.4,69.2,86.0,23.3,59,9277,263973,19454,10177
29,95,11,1,False,2019-10-26T11:30:00Z,3,0,10,83,0,0,0,3,0,0,0,1,0,0,0,0,3.4,2.5,0.0,0.6,59,73348,342709,82133,8785
29,102,10,0,True,2019-11-02T15:00:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-31467,308793,16336,47803
29,120,20,0,False,2019-11-10T14:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-23066,286069,7813,30879
29,122,13,6,True,2019-11-25T20:00:00Z,2,0,13,90,0,1,1,0,0,0,0,0,0,0,0,25,36.4,75.4,52.0,16.4,59,-16831,271323,11713,28544
29,135,12,9,False,2019-12-01T16:30:00Z,2,2,14,90,1,0,0,2,0,0,0,0,0,0,2,26,36.6,14.9,32.0,8.4,59,5130,278446,15249,10119
29,147,6,2,False,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,2,0,0,0,0,0,0,0,11,15.8,17.5,0.0,3.3,59,54878,336581,59304,4426
29,151,9,6,True,2019-12-08T14:00:00Z,1,4,16,90,1,0,0,4,0,0,0,1,0,0,0,29,49.4,35.6,41.0,12.6,60,78105,417797,88568,10463
29,168,15,0,False,2019-12-14T15:00:00Z,2,0,17,90,0,0,0,2,0,0,1,0,0,0,0,-8,0.0,12.9,17.0,2.6,61,148588,572757,162559,13971
29,171,16,8,True,2019-12-21T15:00:00Z,1,3,18,90,1,0,0,3,0,0,0,0,0,0,1,34,59.2,85.3,45.0,19.0,62,245334,863510,270921,25587
29,181,14,6,True,2019-12-26T15:00:00Z,1,0,19,90,0,1,1,0,0,0,0,0,0,0,0,24,29.0,33.8,15.0,7.8,63,251932,1082993,269691,17759
29,199,18,1,False,2019-12-28T15:00:00Z,3,0,20,90,0,0,0,3,0,0,0,1,0,0,0,5,7.2,35.8,22.0,6.5,64,188219,1273572,209485,21266
29,203,5,13,False,2020-01-01T12:30:00Z,1,2,21,90,1,1,0,1,0,0,0,0,0,0,3,48,45.4,34.9,23.0,10.3,64,-94897,1177398,74133,169030
29,211,11,1,True,2020-01-12T16:30:00Z,1,6,22,90,0,0,0,6,0,0,0,1,0,0,0,2,4.4,15.8,12.0,3.2,64,167332,1358593,234279,66947
