element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
363,7,4,1,True,2019-08-10T14:00:00Z,0,3,1,45,0,0,0,1,0,0,0,0,0,0,0,1,0.0,5.5,3.0,0.6,65,0,337999,0,0
363,15,8,2,False,2019-08-17T14:00:00Z,1,0,2,78,0,0,0,1,0,0,0,0,0,0,0,11,9.0,29.3,12.0,5.0,65,-59789,297181,9477,69266
363,29,19,2,True,2019-08-24T14:00:00Z,1,3,3,73,0,0,0,3,0,0,0,0,0,0,0,8,9.6,32.3,113.0,15.5,64,-49305,255464,25688,74993
363,38,13,1,False,2019-08-31T14:00:00Z,1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.0,2.0,0.3,63,-64657,194298,8161,72818
363,49,1,7,True,2019-09-15T15:30:00Z,2,2,5,90,0,1,0,2,0,0,0,0,0,0,2,33,52.2,92.0,85.0,22.9,62,-43255,154549,4536,47791
363,57,11,1,False,2019-09-21T14:00:00Z,8,0,6,76,0,0,0,7,0,0,0,1,0,0,0,1,10.4,0.3,41.0,5.2,62,-11055,146696,7433,18488
363,70,20,1,False,2019-09-28T14:00:00Z,2,0,7,45,0,0,0,1,0,0,0,0,0,0,0,1,3.6,12.9,12.0,2.9,62,-10956,137835,6487,17443
363,79,15,1,True,2019-10-05T14:00:00Z,0,0,8,31,0,0,0,0,0,0,0,0,0,0,0,8,4.2,11.3,2.0,1.8,61,-3455,136217,7956,11411
363,89,17,2,False,2019-10-19T14:00:00Z,1,1,9,86,0,0,0,1,0,0,0,0,0,0,0,6,5.6,12.1,25.0,4.3,61,-11592,125453,2234,13826
363,99,3,1,True,2019-10-26T14:00:00Z,0,0,10,90,0,0,1,0,0,0,0,1,0,0,0,-8,5.8,7.6,22.0,3.5,61,1778,128616,6619,4841
363,109,6,7,True,2019-11-02T17:30:00Z,1,2,11,90,1,0,0,2,0,0,0,0,0,0,1,31,43.6,26.5,35.0,10.5,61,-5726,123496,3559,9285
363,117,14,12,False,2019-11-08T20:00:00Z,0,2,12,69,1,1,1,0,0,0,0,0,0,0,3,46,57.0,13.3,32.0,10.2,61,8142,133639,12456,4314
363,129,5,2,True,2019-11-23T15:00:00Z,0,3,13,90,0,0,0,3,0,0,0,0,0,0,0,12,23.8,59.3,51.0,13.4,61,74483,215058,83445,8962
363,138,16,2,False,2019-11-30T17:30:00Z,2,1,14,66,0,0,1,0,0,0,0,0,0,0,0,3,0.0,2.8,4.0,0.7,61,-2086,210142,24138,26224
363,143,9,2,False,2019-12-04T19:30:00Z,2,0,15,76,0,0,0,1,0,0,0,0,0,0,0,3,0.0,16.3,10.0,2.5,61,-23153,186994,5254,28407
363,159,7,2,True,2019-12-07T15:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,14,13.2,45.3,40.0,9.9,61,-15836,172077,4999,20835
363,166,10,2,False,2019-12-14T12:30:00Z,2,0,17,90,0,0,0,2,0,0,0,0,0,0,0,4,7.0,3.8,27.0,3.8,61,-21849,150667,1869,23718
363,179,12,2,True,2019-12-22T14:00:00Z,2,0,18,90,0,0,1,0,0,0,0,0,0,0,0,19,20.8,14.4,42.0,7.7,61,-6047,145154,3108,9155
363,188,15,5,False,2019-12-26T15:00:00Z,1,1,19,90,1,0,0,1,0,0,0,1,0,0,0,16,29.8,14.5,47.0,9.1,61,-1599,145023,4637,6236
363,199,2,2,True,2019-12-28T15:00:00Z,3,0,20,90,0,0,1,0,0,0,0,0,0,0,0,19,20.4,72.8,14.0,10.7,61,19941,166745,23193,3252
363,209,20,12,True,2020-01-01T15:00:00Z,2,1,21,72,1,1,0,1,0,0,0,0,0,0,3,43,58.4,24.3,47.0,13.0,61,-8690,157622,5628,14318
363,212,3,2,False,2020-01-12T14:00:00Z,0,3,22,90,0,0,1,0,0,0,0,0,0,0,0,7,9.0,19.4,51.0,7.9,61,43150,204450,55711,12561
