element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
370,7,4,2,True,2019-08-10T14:00:00Z,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,1,3.6,3.3,6.0,1.3,55,0,13737,0,0
370,15,8,2,False,2019-08-17T14:00:00Z,1,0,2,66,0,0,0,1,0,0,0,0,0,0,0,10,6.4,6.8,6.0,1.9,55,-1272,13837,640,1912
370,29,19,5,True,2019-08-24T14:00:00Z,1,3,3,73,0,1,0,3,0,0,0,0,0,0,0,19,39.4,33.9,17.0,9.0,55,-1517,12835,789,2306
370,38,13,10,False,2019-08-31T14:00:00Z,1,1,4,70,1,0,0,1,0,0,0,0,0,0,3,28,48.2,13.7,23.0,8.5,55,-220,13393,1568,1788
370,49,1,2,True,2019-09-15T15:30:00Z,2,2,5,62,0,0,0,2,0,0,0,0,0,0,0,7,0.0,12.9,10.0,2.2,55,24968,45207,31700,6732
370,57,11,1,False,2019-09-21T14:00:00Z,8,0,6,58,0,0,0,6,0,0,0,0,0,0,0,5,6.4,0.4,2.0,0.9,55,8491,55273,15924,7433
370,70,20,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1720,54427,7171,8891
370,79,15,0,True,2019-10-05T14:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-7401,47161,1699,9100
370,89,17,1,False,2019-10-19T14:00:00Z,1,1,9,6,0,0,0,1,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,55,-6500,40872,233,6733
370,99,3,2,True,2019-10-26T14:00:00Z,0,0,10,80,0,0,1,0,0,0,0,1,0,0,0,1,10.2,2.5,11.0,2.4,55,-2763,38452,309,3072
370,109,6,1,True,2019-11-02T17:30:00Z,1,2,11,23,0,0,0,0,0,0,0,0,0,0,0,3,0.2,10.7,6.0,1.7,55,-3471,35008,207,3678
370,117,14,2,False,2019-11-08T20:00:00Z,0,2,12,90,0,0,1,0,0,0,0,1,0,0,0,10,18.0,34.8,10.0,6.3,55,-1784,33461,369,2153
370,129,5,2,True,2019-11-23T15:00:00Z,0,3,13,66,0,0,0,1,0,0,0,0,0,0,0,5,3.4,3.9,18.0,2.5,55,-1570,32126,636,2206
370,138,16,3,False,2019-11-30T17:30:00Z,2,1,14,73,0,0,1,0,0,0,0,0,0,0,0,10,5.0,3.1,0.0,0.8,55,-1289,30945,223,1512
370,143,9,2,False,2019-12-04T19:30:00Z,2,0,15,82,0,0,0,1,0,0,0,0,0,0,0,11,8.0,5.2,22.0,3.5,55,-927,30110,105,1032
370,159,7,0,True,2019-12-07T15:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-978,29195,147,1125
370,166,10,1,False,2019-12-14T12:30:00Z,2,0,17,90,0,0,0,2,0,0,0,1,0,0,0,13,9.2,2.8,1.0,1.3,54,-1533,27674,53,1586
370,179,12,3,True,2019-12-22T14:00:00Z,2,0,18,90,0,0,1,0,0,0,0,0,0,0,0,7,19.4,17.0,1.0,3.7,54,-782,26899,162,944
370,188,15,2,False,2019-12-26T15:00:00Z,1,1,19,90,0,0,0,1,0,0,0,0,0,0,0,9,1.6,2.0,0.0,0.4,54,-25,27050,563,588
370,199,2,1,True,2019-12-28T15:00:00Z,3,0,20,45,0,0,0,0,0,0,0,0,0,0,0,7,2.8,6.1,9.0,1.8,54,154,27270,657,503
370,209,20,0,True,2020-01-01T15:00:00Z,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1780,25444,42,1822
370,212,3,0,False,2020-01-12T14:00:00Z,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1621,23822,25,1646
