element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
373,7,4,2,True,2019-08-10T14:00:00Z,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,7,8.2,2.6,1.0,1.2,50,0,57796,0,0
373,15,8,1,False,2019-08-17T14:00:00Z,1,0,2,82,0,0,0,1,0,0,0,1,0,0,0,12,4.6,2.2,10.0,1.7,50,-2725,59067,3753,6478
373,29,19,2,True,2019-08-24T14:00:00Z,1,3,3,90,0,0,0,3,0,0,0,0,0,0,0,13,9.8,2.4,1.0,1.3,50,-7104,52517,2224,9328
373,38,13,0,False,2019-08-31T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-6420,46746,1917,8337
373,49,1,1,True,2019-09-15T15:30:00Z,2,2,5,90,0,0,0,2,0,0,0,1,0,0,0,16,27.0,14.4,0.0,4.1,49,-11319,35368,197,11516
373,57,11,2,False,2019-09-21T14:00:00Z,8,0,6,90,0,0,0,8,0,0,0,0,0,0,0,17,13.6,10.9,0.0,2.5,48,-2739,33193,987,3726
373,70,20,2,False,2019-09-28T14:00:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,11,7.6,5.4,8.0,2.1,48,-1876,31506,1096,2972
373,79,15,0,True,2019-10-05T14:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1265,30397,960,2225
373,89,17,0,False,2019-10-19T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-4485,25803,53,4538
373,99,3,0,True,2019-10-26T14:00:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-2148,23780,47,2195
373,109,6,0,True,2019-11-02T17:30:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1897,21906,37,1934
373,117,14,3,False,2019-11-08T20:00:00Z,0,2,12,90,0,0,1,0,0,0,0,0,0,0,0,12,21.8,2.8,1.0,2.6,48,-870,21076,119,989
373,129,5,2,True,2019-11-23T15:00:00Z,0,3,13,90,0,0,0,3,0,0,0,0,0,0,0,16,9.2,28.3,20.0,5.8,48,136,21402,931,795
373,138,16,6,False,2019-11-30T17:30:00Z,2,1,14,90,0,1,0,2,0,0,0,0,0,0,1,28,24.2,16.1,0.0,4.0,48,-457,20961,271,728
373,143,9,2,False,2019-12-04T19:30:00Z,2,0,15,90,0,0,0,2,0,0,0,0,0,0,0,14,12.4,5.8,0.0,1.8,48,-110,20899,260,370
373,159,7,2,True,2019-12-07T15:00:00Z,0,0,16,90,0,0,1,0,0,0,0,1,0,0,0,3,6.2,2.3,1.0,1.0,48,-153,20795,431,584
373,166,10,2,False,2019-12-14T12:30:00Z,2,0,17,90,0,0,0,2,0,0,0,0,0,0,0,7,11.6,11.9,6.0,3.0,48,-293,20556,402,695
373,179,12,2,True,2019-12-22T14:00:00Z,2,0,18,76,0,0,1,0,0,0,0,1,0,0,0,5,8.8,1.6,0.0,1.0,48,-188,20336,380,568
373,188,15,2,False,2019-12-26T15:00:00Z,1,1,19,90,0,0,0,1,0,0,0,0,0,0,0,16,25.6,1.4,0.0,2.7,48,46,20519,505,459
373,199,2,6,True,2019-12-28T15:00:00Z,3,0,20,90,0,1,1,0,0,0,0,1,0,0,1,26,44.2,37.8,14.0,9.6,48,527,21128,932,405
373,209,20,2,True,2020-01-01T15:00:00Z,2,1,21,90,0,0,0,1,0,0,0,0,0,0,0,10,10.8,1.7,1.0,1.4,48,2016,23278,2861,845
373,212,3,3,False,2020-01-12T14:00:00Z,0,3,22,90,0,0,1,0,0,0,0,0,0,0,0,12,28.6,14.8,8.0,5.1,48,-1492,21708,444,1936
