element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
374,7,4,0,True,2019-08-10T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,15914,0,0
374,15,8,0,False,2019-08-17T14:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1636,14971,691,2327
374,29,19,0,True,2019-08-24T14:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-216,15614,1494,1710
374,38,13,1,False,2019-08-31T14:00:00Z,1,1,4,19,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.4,6.0,0.7,45,-638,15583,1201,1839
374,49,1,0,True,2019-09-15T15:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-623,15207,707,1330
374,57,11,0,False,2019-09-21T14:00:00Z,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-555,14814,397,952
374,70,20,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-685,14275,279,964
374,79,15,0,True,2019-10-05T14:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-557,13810,229,786
374,89,17,2,False,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,12,20.0,0.6,0.0,2.1,44,-10,14059,690,700
374,99,3,1,True,2019-10-26T14:00:00Z,0,0,10,56,0,0,0,0,0,0,0,0,0,0,0,4,4.0,0.3,0.0,0.4,44,437,14665,949,512
374,109,6,2,True,2019-11-02T17:30:00Z,1,2,11,66,0,0,0,2,0,0,0,0,0,0,0,14,15.8,23.9,10.0,5.0,44,276,15114,1081,805
374,117,14,0,False,2019-11-08T20:00:00Z,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,600,15967,1267,667
374,129,5,0,True,2019-11-23T15:00:00Z,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,452,16583,1492,1040
374,138,16,1,False,2019-11-30T17:30:00Z,2,1,14,16,0,0,0,2,0,0,0,0,0,0,0,3,3.0,0.0,0.0,0.3,44,-385,16175,462,847
374,143,9,0,False,2019-12-04T19:30:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-224,15974,297,521
374,159,7,1,True,2019-12-07T15:00:00Z,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.0,0.0,0.1,44,-394,15607,214,608
374,166,10,0,False,2019-12-14T12:30:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-250,15452,352,602
374,179,12,1,True,2019-12-22T14:00:00Z,2,0,18,21,0,0,0,0,0,0,0,0,0,0,0,3,3.2,0.1,2.0,0.5,44,-413,15026,142,555
374,188,15,6,False,2019-12-26T15:00:00Z,1,1,19,88,0,1,0,1,0,0,0,1,0,0,2,19,23.2,14.6,0.0,3.8,44,-205,14917,189,394
374,199,2,1,True,2019-12-28T15:00:00Z,3,0,20,14,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,21.0,1.9,44,1325,16457,1667,342
374,209,20,2,True,2020-01-01T15:00:00Z,2,1,21,90,0,0,0,1,0,0,0,0,0,0,0,9,15.0,2.8,9.0,2.7,44,-123,16289,682,805
374,212,3,3,False,2020-01-12T14:00:00Z,0,3,22,90,0,0,1,0,0,0,0,0,0,0,0,10,12.0,20.3,1.0,3.3,44,-438,15885,673,1111
