element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
421,7,18,0,False,2019-08-10T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,44764,0,0
421,13,19,7,True,2019-08-17T14:00:00Z,1,1,2,84,1,0,0,1,0,0,0,0,0,0,0,20,31.8,2.3,35.0,6.9,60,-7969,38093,919,8888
421,23,16,2,True,2019-08-24T14:00:00Z,0,2,3,90,0,0,0,2,0,0,0,0,0,0,0,19,17.4,81.0,17.0,11.5,60,24766,66554,34810,10044
421,37,11,2,False,2019-08-31T14:00:00Z,4,0,4,73,0,0,0,3,0,0,0,0,0,0,0,1,8.6,3.8,59.0,7.1,60,-12554,52807,3990,16544
421,43,5,0,True,2019-09-14T14:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-23047,30383,3948,26995
421,58,13,0,False,2019-09-21T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-11037,19735,37,11074
421,63,6,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-4632,15238,48,4680
421,72,17,0,True,2019-10-05T11:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-2113,13220,30,2143
421,81,2,0,False,2019-10-19T14:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-662,12611,360,1022
421,92,8,4,True,2019-10-26T14:00:00Z,3,2,10,25,0,1,0,1,0,0,0,0,0,0,0,15,5.4,14.3,8.0,2.8,58,640,13389,1033,393
421,104,14,11,True,2019-11-02T15:00:00Z,2,0,11,31,1,1,0,0,0,0,0,0,0,0,2,44,56.8,53.7,35.0,14.6,58,3009,16710,3608,599
421,115,12,1,False,2019-11-10T14:00:00Z,3,1,12,59,0,0,0,2,0,0,0,0,0,0,0,8,7.4,28.8,0.0,3.6,58,9401,26861,10489,1088
421,124,9,2,True,2019-11-23T15:00:00Z,0,2,13,90,0,0,0,2,0,0,0,0,0,0,0,7,6.6,14.3,12.0,3.3,58,-466,26114,2940,3406
421,134,10,4,False,2019-11-30T15:00:00Z,2,1,14,21,0,1,0,0,0,0,0,0,0,0,0,7,3.0,12.0,14.0,2.9,58,-2013,24305,1158,3171
421,141,1,1,False,2019-12-05T20:15:00Z,1,2,15,10,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.5,6.0,0.4,58,-405,24082,1216,1621
421,153,20,5,True,2019-12-08T16:30:00Z,2,2,16,67,0,1,0,2,0,0,0,0,0,0,0,20,20.8,31.0,5.0,5.7,58,-985,23168,880,1865
421,164,7,2,False,2019-12-16T19:45:00Z,1,1,17,83,0,0,0,1,0,0,0,0,0,0,0,14,14.6,17.9,17.0,5.0,58,21,23381,1490,1469
421,173,15,1,True,2019-12-21T15:00:00Z,0,1,18,45,0,0,0,1,0,0,0,0,0,0,0,3,0.0,1.2,0.0,0.1,58,2069,26126,3514,1445
421,189,17,1,False,2019-12-26T12:30:00Z,2,1,19,14,0,0,0,0,0,0,0,0,0,0,0,4,2.6,10.8,0.0,1.3,58,-1817,23910,816,2633
421,192,3,7,True,2019-12-28T12:30:00Z,2,0,20,90,0,1,1,0,0,0,0,0,0,0,1,28,31.6,45.6,24.0,10.1,58,408,24599,1979,1571
421,202,6,2,True,2020-01-01T12:30:00Z,1,1,21,90,0,0,0,1,0,0,0,0,0,0,0,12,18.2,42.7,39.0,10.0,58,830,25590,3166,2336
421,215,8,2,False,2020-01-11T15:00:00Z,1,0,22,90,0,0,0,1,0,0,0,0,0,0,0,8,12.4,16.7,13.0,4.2,58,-624,25116,2259,2883
