element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
453,2,3,2,False,2019-08-10T14:00:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,2,4.6,0.9,29.0,3.5,55,0,55367,0,0
453,18,7,1,True,2019-08-18T13:00:00Z,1,0,2,55,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,2.3,21.0,2.3,55,-410,57700,4244,4654
453,27,9,1,True,2019-08-24T14:00:00Z,1,2,3,53,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,2.0,4.0,0.5,54,-15976,41722,890,16866
453,33,6,11,False,2019-08-31T14:00:00Z,2,2,4,90,1,1,0,2,0,0,0,0,0,0,1,23,34.0,4.0,40.0,7.8,53,-11416,30672,506,11922
453,47,16,1,True,2019-09-14T14:00:00Z,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.1,0.0,0.0,53,15597,49120,26236,10639
453,55,8,3,False,2019-09-21T14:00:00Z,0,2,6,61,0,0,1,0,0,0,0,0,0,0,0,5,1.0,0.3,0.0,0.1,53,-5108,43485,3332,8440
453,68,10,1,True,2019-09-28T11:30:00Z,0,1,7,59,0,0,0,0,0,0,0,0,0,0,0,3,0.0,6.1,10.0,1.5,53,-2331,41840,4073,6404
453,79,18,3,False,2019-10-05T14:00:00Z,0,0,8,70,0,0,1,0,0,0,0,0,0,0,0,5,5.4,1.7,36.0,4.3,53,333,42867,4873,4540
453,88,1,0,True,2019-10-21T19:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3651,39096,1333,4984
453,100,19,1,False,2019-10-26T14:00:00Z,1,1,10,53,0,0,0,1,0,0,0,0,0,0,0,3,3.4,11.1,4.0,1.9,53,-3292,35982,558,3850
453,108,5,0,True,2019-11-02T15:00:00Z,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3428,32685,842,4270
453,119,17,1,False,2019-11-09T15:00:00Z,1,1,12,3,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,53,-3163,29553,441,3604
453,128,12,4,True,2019-11-24T16:30:00Z,3,3,13,7,0,1,0,0,0,0,0,0,0,0,0,13,17.0,10.6,2.0,3.0,53,-2356,27385,548,2904
453,140,20,1,False,2019-12-01T14:00:00Z,1,1,14,4,0,0,0,0,0,0,0,0,0,0,0,4,1.4,0.5,0.0,0.2,52,-1178,26364,451,1629
453,145,13,0,True,2019-12-05T19:30:00Z,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-1087,25346,196,1283
453,157,14,0,False,2019-12-08T14:00:00Z,1,2,16,25,0,0,0,0,0,0,0,1,0,0,0,-4,0.0,1.5,6.0,0.5,52,-1311,24055,155,1466
453,168,2,0,True,2019-12-14T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-1225,22910,202,1427
453,173,4,0,False,2019-12-21T15:00:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-1447,21355,119,1566
453,188,18,0,True,2019-12-26T15:00:00Z,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-637,20918,173,810
453,195,11,1,False,2019-12-29T18:00:00Z,2,0,20,58,0,0,0,1,0,0,0,0,0,0,0,10,5.4,17.0,2.0,2.4,51,-570,20390,77,647
453,204,10,0,False,2020-01-02T20:00:00Z,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-556,19885,117,673
453,218,19,0,True,2020-01-10T20:00:00Z,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-526,19466,173,699
