element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
468,4,8,2,True,2019-08-10T14:00:00Z,0,0,1,64,0,0,1,0,0,0,0,0,0,0,0,8,9.0,12.8,19.0,4.1,50,0,155018,0,0
468,18,15,0,False,2019-08-18T13:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,10817,197313,37773,26956
468,25,12,9,False,2019-08-24T14:00:00Z,1,2,3,74,1,0,1,0,0,0,0,0,0,0,3,29,34.4,2.1,17.0,5.4,50,-26483,174586,16249,42732
468,34,2,9,True,2019-08-31T14:00:00Z,1,0,4,85,1,0,1,0,0,0,0,0,0,0,3,34,37.4,14.9,38.0,9.0,50,123107,328545,166072,42965
468,48,17,1,False,2019-09-14T14:00:00Z,4,0,5,70,0,0,0,4,0,0,0,1,0,0,0,4,6.4,13.6,40.0,6.0,51,183404,536852,240806,57402
468,54,20,1,True,2019-09-22T13:00:00Z,1,1,6,68,0,0,1,0,0,0,0,1,0,0,0,-2,2.6,1.8,19.0,2.3,51,29523,564118,96359,66836
468,64,14,1,True,2019-09-28T14:00:00Z,2,0,7,89,0,0,1,0,0,0,0,1,0,0,0,0,3.4,26.6,49.0,7.9,51,-6129,563664,72040,78169
468,80,19,9,False,2019-10-05T16:30:00Z,1,2,8,89,1,0,0,1,0,0,0,0,0,0,3,32,36.4,2.1,59.0,9.8,51,-35016,529561,29630,64646
468,84,11,2,True,2019-10-19T16:30:00Z,0,2,9,90,0,0,0,2,0,0,0,0,0,0,0,0,0.0,2.7,11.0,1.2,51,-6715,528846,40326,47041
468,91,1,8,False,2019-10-27T16:30:00Z,2,2,10,80,1,0,0,2,0,0,0,0,0,0,2,29,33.4,12.5,58.0,10.4,51,2045,534021,29834,27789
468,105,9,2,True,2019-11-03T14:00:00Z,0,2,11,77,0,0,0,1,0,0,0,0,0,0,0,0,0.0,3.4,23.0,2.5,51,62157,603354,89564,27407
468,112,6,2,False,2019-11-09T12:30:00Z,2,0,12,90,0,0,0,2,0,0,0,0,0,0,0,5,10.8,3.9,0.0,1.5,51,-15974,582663,27744,43718
468,125,10,2,True,2019-11-23T15:00:00Z,1,2,13,75,0,0,0,1,0,0,0,0,0,0,0,-5,0.8,13.3,12.0,2.6,51,-13582,574130,39856,53438
468,131,5,2,False,2019-11-30T15:00:00Z,0,2,14,81,0,0,1,0,0,0,0,0,0,0,0,5,2.8,3.1,6.0,1.2,51,5025,583231,45487,40462
468,148,3,2,True,2019-12-03T19:30:00Z,1,0,15,90,0,0,1,0,0,0,0,0,0,0,0,2,9.0,2.1,28.0,3.9,51,-11008,573574,23578,34586
468,159,18,2,False,2019-12-07T15:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,6,5.8,4.4,6.0,1.6,51,-32598,541894,17552,50150
468,164,4,2,True,2019-12-16T19:45:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,0,0,13,7.8,15.2,1.0,2.4,51,-34023,509199,19928,53951
468,176,13,2,False,2019-12-21T15:00:00Z,1,0,18,90,0,0,0,1,0,0,0,0,0,0,0,13,21.6,46.8,22.0,9.0,50,-27428,473577,10774,38202
468,184,19,12,True,2019-12-26T15:00:00Z,2,1,19,90,1,1,0,1,0,0,0,0,0,0,3,54,72.6,38.8,55.0,16.6,50,-16255,468716,15599,31854
468,198,16,2,False,2019-12-28T15:00:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,0,0,5,4.8,2.6,1.0,0.8,50,51742,525283,62309,10567
468,207,14,2,False,2020-01-01T17:30:00Z,1,1,21,90,0,0,0,1,0,0,0,0,0,0,0,5,12.6,19.8,43.0,7.5,50,6725,532963,45099,38374
468,214,1,9,True,2020-01-11T12:30:00Z,1,1,22,90,1,0,0,1,0,0,0,0,0,0,3,27,37.6,12.9,25.0,7.6,50,-18212,517075,39116,57328
