element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
476,2,15,2,True,2019-08-10T14:00:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,15,23.4,24.3,10.0,5.8,50,0,8568,0,0
476,12,2,0,False,2019-08-17T14:00:00Z,1,2,2,45,0,0,0,0,0,0,0,1,0,0,0,0,2.8,1.3,1.0,0.5,50,1144,11943,2633,1489
476,22,11,2,True,2019-08-25T13:00:00Z,1,3,3,90,0,0,0,3,0,0,0,0,0,0,0,13,13.8,1.3,2.0,1.7,50,-1871,10217,575,2446
476,36,9,1,False,2019-08-31T14:00:00Z,3,1,4,90,0,0,0,3,0,0,0,1,0,0,0,15,21.4,3.6,3.0,2.8,50,-546,10118,964,1510
476,42,8,2,True,2019-09-15T13:00:00Z,3,1,5,90,0,0,0,1,0,0,0,0,0,0,0,11,22.0,12.2,38.0,7.2,50,-378,10154,965,1343
476,59,16,5,False,2019-09-20T19:00:00Z,1,3,6,90,0,1,0,1,0,0,0,0,0,0,0,23,29.4,13.8,3.0,4.6,50,-51,10314,804,855
476,62,19,2,True,2019-09-28T14:00:00Z,2,2,7,88,0,0,0,2,0,0,0,0,0,0,0,8,11.8,1.1,35.0,4.8,50,1426,12187,2397,971
476,71,1,1,False,2019-10-06T13:00:00Z,1,0,8,90,0,0,0,1,0,0,0,1,0,0,0,12,22.0,1.5,3.0,2.7,50,-118,12128,980,1098
476,82,14,3,True,2019-10-19T14:00:00Z,0,0,9,90,0,0,1,0,0,0,0,0,0,0,0,13,22.6,3.9,14.0,4.1,50,-77,12241,883,960
476,99,18,2,False,2019-10-26T14:00:00Z,0,0,10,90,0,0,1,0,0,0,0,1,0,0,0,8,16.6,1.0,11.0,2.9,50,-3,12324,579,582
476,103,12,3,True,2019-11-02T12:30:00Z,1,0,11,90,0,0,1,0,0,0,0,0,0,0,0,13,28.0,1.4,2.0,3.1,50,-430,11983,547,977
476,116,13,2,False,2019-11-09T15:00:00Z,2,1,12,90,0,0,0,2,0,0,0,0,0,0,0,16,20.6,14.6,23.0,5.8,50,557,12728,1179,622
476,123,20,0,True,2019-11-23T15:00:00Z,1,2,13,45,0,0,0,2,0,0,0,1,0,0,0,1,1.8,1.3,0.0,0.3,50,119,13022,1108,989
476,139,17,0,False,2019-11-30T15:00:00Z,3,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2064,10833,30,2094
476,148,7,1,False,2019-12-03T19:30:00Z,1,0,15,81,0,0,0,1,0,0,0,1,0,0,0,9,27.6,6.4,19.0,5.3,50,-338,10611,102,440
476,152,10,1,True,2019-12-07T15:00:00Z,0,3,16,57,0,0,0,3,0,0,0,0,0,0,0,8,16.4,0.5,0.0,1.7,50,-338,10309,107,445
476,163,6,3,False,2019-12-14T15:00:00Z,0,1,17,90,0,0,1,0,0,0,0,0,0,0,0,11,15.8,2.1,2.0,2.0,50,-288,10085,151,439
476,172,5,5,True,2019-12-21T15:00:00Z,0,1,18,85,0,0,1,0,0,0,0,0,0,0,2,23,14.8,5.8,2.0,2.3,50,141,10396,453,312
476,182,1,1,True,2019-12-26T15:00:00Z,1,1,19,20,0,0,0,0,0,0,0,0,0,0,0,3,8.2,11.4,0.0,2.0,50,205,10620,519,314
476,192,4,1,False,2019-12-28T12:30:00Z,2,0,20,90,0,0,0,2,0,0,0,1,0,0,0,17,16.8,3.2,0.0,2.0,50,11,10652,302,291
476,210,19,0,False,2020-01-01T17:30:00Z,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-155,10540,359,514
476,212,18,1,True,2020-01-12T14:00:00Z,0,3,22,31,0,0,0,2,0,0,0,0,0,0,0,1,12.0,2.0,6.0,2.0,50,-251,10381,385,636
