element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
490,10,13,3,False,2019-08-11T13:00:00Z,0,1,1,63,0,0,1,0,0,0,0,0,0,0,0,6,2.0,1.7,8.0,1.2,50,0,7466,0,0
490,11,5,2,True,2019-08-17T11:30:00Z,2,1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,16.6,28.3,22.0,6.7,50,4950,18179,7315,2365
490,24,10,2,False,2019-08-24T16:30:00Z,3,1,3,80,0,0,0,3,0,0,0,0,0,0,0,13,6.2,15.9,0.0,2.2,50,-474,18626,3750,4224
490,31,17,0,True,2019-09-01T15:30:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,1617,21926,5408,3791
490,49,18,1,False,2019-09-15T15:30:00Z,2,2,5,30,0,0,0,1,0,0,0,0,0,0,0,1,3.6,0.7,6.0,1.0,50,-3444,18607,1423,4867
490,51,2,1,True,2019-09-22T15:30:00Z,3,2,6,18,0,0,0,0,0,0,0,0,0,0,0,3,5.0,11.8,12.0,2.9,50,-1050,18058,1175,2225
490,67,12,1,False,2019-09-30T19:00:00Z,1,1,7,10,0,0,0,0,0,0,0,0,0,0,0,8,8.0,21.0,4.0,3.3,50,-884,17490,979,1863
490,71,3,1,True,2019-10-06T13:00:00Z,1,0,8,15,0,0,0,0,0,0,0,0,0,0,0,2,2.0,10.9,4.0,1.7,50,-560,17171,940,1500
490,88,15,1,False,2019-10-21T19:00:00Z,1,0,9,45,0,0,0,1,0,0,0,0,0,0,0,3,2.2,1.1,6.0,0.9,50,-874,16508,528,1402
490,91,7,0,True,2019-10-27T16:30:00Z,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-574,16055,274,848
490,101,20,0,True,2019-11-02T15:00:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-644,15562,513,1157
490,113,9,1,False,2019-11-09T17:30:00Z,2,0,12,10,0,0,0,0,0,0,0,0,0,0,0,10,7.0,1.6,0.0,0.9,49,-467,15156,322,789
490,121,16,1,True,2019-11-23T15:00:00Z,2,2,13,7,0,0,0,0,0,0,0,0,0,0,0,5,10.6,0.1,17.0,2.8,49,-466,14865,412,878
490,137,14,2,False,2019-12-01T14:00:00Z,2,2,14,69,0,0,0,2,0,0,0,0,0,0,0,9,4.6,1.9,20.0,2.7,49,-346,14580,232,578
490,141,4,1,True,2019-12-05T20:15:00Z,1,2,15,45,0,0,0,1,0,0,0,0,0,0,0,2,6.2,0.8,19.0,2.6,49,-118,14521,249,367
490,160,19,0,False,2019-12-09T20:00:00Z,1,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-261,14318,170,431
490,161,11,1,True,2019-12-15T16:30:00Z,0,3,17,9,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,48,-403,14008,211,614
490,174,8,0,False,2019-12-21T12:30:00Z,0,0,18,24,0,0,0,0,0,0,0,1,0,0,0,1,1.4,10.3,0.0,1.2,48,-235,13806,135,370
490,182,3,1,False,2019-12-26T15:00:00Z,1,1,19,15,0,0,0,0,0,0,0,0,0,0,0,3,5.2,0.3,7.0,1.3,48,-187,13706,132,319
490,191,6,1,True,2019-12-29T14:00:00Z,1,2,20,14,0,0,0,2,0,0,0,0,0,0,0,5,2.0,14.3,4.0,2.0,48,-74,13670,116,190
490,201,12,0,True,2020-01-01T20:00:00Z,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-163,13568,221,384
490,214,7,0,False,2020-01-11T12:30:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-297,13333,157,454
