element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
491,6,17,0,False,2019-08-10T16:30:00Z,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,12791,0,0
491,12,3,0,True,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-473,14792,1069,1542
491,21,8,0,True,2019-08-23T19:00:00Z,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1680,13501,423,2103
491,34,7,0,False,2019-08-31T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1281,12588,415,1696
491,41,19,3,True,2019-09-16T19:00:00Z,0,0,5,80,0,0,1,0,0,0,0,0,0,0,0,13,13.4,1.3,0.0,1.5,44,9822,28051,14161,4339
491,51,1,2,False,2019-09-22T15:30:00Z,3,2,6,84,0,0,0,3,0,0,0,0,0,0,0,14,23.4,1.2,7.0,3.2,44,18185,50183,23089,4904
491,61,5,2,True,2019-09-28T14:00:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,0,22,19.8,33.3,0.0,5.3,44,21251,73271,29414,8163
491,77,14,2,False,2019-10-05T14:00:00Z,1,5,8,90,0,0,0,1,0,0,0,0,0,0,0,18,16.6,11.4,0.0,2.8,44,7745,81234,14508,6763
491,81,4,2,True,2019-10-19T14:00:00Z,2,1,9,90,0,0,0,1,0,0,0,0,0,0,0,13,26.2,12.9,0.0,3.9,44,5288,87027,12626,7338
491,95,11,2,False,2019-10-26T11:30:00Z,3,0,10,90,0,0,0,3,0,0,0,0,0,0,0,17,21.8,11.9,2.0,3.6,44,376,87123,5121,4745
491,102,10,2,True,2019-11-02T15:00:00Z,1,2,11,90,0,0,0,2,0,0,0,0,0,0,0,13,15.6,1.3,0.0,1.7,44,-352,87435,6396,6748
491,120,20,1,False,2019-11-10T14:00:00Z,2,1,12,68,0,0,0,1,0,0,0,1,0,0,0,9,17.0,1.7,9.0,2.8,44,827,88768,4983,4156
491,122,13,0,True,2019-11-25T20:00:00Z,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,256,89782,5822,5566
491,135,12,0,False,2019-12-01T16:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-3681,85851,1879,5560
491,147,6,2,False,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,2,0,0,0,0,0,0,0,18,23.0,21.8,2.0,4.7,44,-3455,82625,650,4105
491,151,9,0,True,2019-12-08T14:00:00Z,1,4,16,58,0,0,0,3,0,0,0,1,0,0,0,-2,0.4,1.4,0.0,0.2,44,-3073,79668,648,3721
491,168,15,2,False,2019-12-14T15:00:00Z,2,0,17,90,0,0,0,2,0,0,0,0,0,0,0,17,11.4,2.7,1.0,1.5,44,-3101,76712,920,4021
491,171,16,2,True,2019-12-21T15:00:00Z,1,3,18,82,0,0,0,3,0,0,0,0,0,0,0,16,14.6,13.5,0.0,2.8,44,-3125,72948,746,3871
491,181,14,1,True,2019-12-26T15:00:00Z,1,0,19,55,0,0,0,0,0,0,0,0,0,0,0,5,7.4,21.3,0.0,2.9,44,-2105,71762,356,2461
491,199,18,0,False,2019-12-28T15:00:00Z,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1642,70217,287,1929
491,203,5,2,False,2020-01-01T12:30:00Z,1,2,21,90,0,0,0,1,0,0,0,0,0,0,0,12,4.2,1.5,0.0,0.6,44,-3549,66779,282,3831
491,211,11,1,True,2020-01-12T16:30:00Z,1,6,22,25,0,0,0,1,0,0,0,0,0,0,0,6,2.4,0.4,0.0,0.3,44,-3659,63186,234,3893
