element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
501,2,3,1,False,2019-08-10T14:00:00Z,1,1,1,27,0,0,0,0,0,0,0,0,0,0,0,3,3.4,1.4,4.0,0.9,60,0,9589,0,0
501,18,7,1,True,2019-08-18T13:00:00Z,1,0,2,34,0,0,0,0,0,0,0,0,0,0,0,1,3.2,1.4,13.0,1.8,60,-1000,9686,425,1425
501,27,9,6,True,2019-08-24T14:00:00Z,1,2,3,36,1,0,0,1,0,0,0,0,0,0,1,24,34.6,3.8,21.0,5.9,60,-1615,8466,549,2164
501,33,6,1,False,2019-08-31T14:00:00Z,2,2,4,62,0,0,0,2,0,0,0,1,0,0,0,6,5.8,10.8,2.0,1.9,59,668,9587,1894,1226
501,47,16,2,True,2019-09-14T14:00:00Z,0,1,5,64,0,0,1,0,0,0,0,0,0,0,0,9,6.6,12.1,8.0,2.7,59,834,10697,2192,1358
501,55,8,2,False,2019-09-21T14:00:00Z,0,2,6,83,0,0,1,0,0,0,0,0,0,0,0,7,5.8,2.6,0.0,0.8,59,-954,9701,632,1586
501,68,10,2,True,2019-09-28T11:30:00Z,0,1,7,90,0,0,0,1,0,0,0,0,0,0,0,2,6.2,1.7,42.0,5.0,59,-724,9107,673,1397
501,79,18,1,False,2019-10-05T14:00:00Z,0,0,8,61,0,0,1,0,0,0,0,1,0,0,0,2,5.4,14.3,8.0,2.8,59,1499,10919,2486,987
501,88,1,1,True,2019-10-21T19:00:00Z,1,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,6.0,0.5,59,-1988,8779,224,2212
501,100,19,0,False,2019-10-26T14:00:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-457,8443,386,843
501,108,5,1,True,2019-11-02T15:00:00Z,3,0,11,15,0,0,0,0,0,0,0,0,0,0,0,3,0.2,3.5,0.0,0.4,58,-331,8195,655,986
501,119,17,0,False,2019-11-09T15:00:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-556,7654,301,857
501,128,12,5,True,2019-11-24T16:30:00Z,3,3,13,22,1,0,0,3,0,0,0,0,0,0,0,27,38.2,0.2,17.0,5.5,57,-346,7392,405,751
501,140,20,1,False,2019-12-01T14:00:00Z,1,1,14,17,0,0,0,0,0,0,0,0,0,0,0,6,11.6,1.3,7.0,2.0,57,1359,8976,1807,448
501,145,13,2,True,2019-12-05T19:30:00Z,0,2,15,90,0,0,0,2,0,0,0,0,0,0,0,-2,5.6,2.5,42.0,5.0,57,188,9151,804,616
501,157,14,1,False,2019-12-08T14:00:00Z,1,2,16,7,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.3,0.0,0.1,57,-17,9190,662,679
501,168,2,1,True,2019-12-14T15:00:00Z,2,0,17,29,0,0,0,0,0,0,0,0,0,0,0,5,3.2,2.0,4.0,0.9,57,-256,9025,672,928
501,173,4,8,False,2019-12-21T15:00:00Z,0,1,18,62,1,0,1,0,0,0,0,0,0,0,2,33,34.8,3.1,17.0,5.5,57,-277,8811,418,695
501,188,18,2,True,2019-12-26T15:00:00Z,1,1,19,62,0,0,0,1,0,0,0,0,0,0,0,5,5.8,1.2,56.0,6.3,57,2886,12104,3441,555
501,195,11,1,False,2019-12-29T18:00:00Z,2,0,20,15,0,0,0,1,0,0,0,0,0,0,0,2,7.2,0.2,0.0,0.7,57,-886,11038,460,1346
501,204,10,1,False,2020-01-02T20:00:00Z,2,0,21,25,0,0,0,0,0,0,0,0,0,0,0,2,6.4,0.8,35.0,4.2,57,-1030,10074,394,1424
501,218,19,7,True,2020-01-10T20:00:00Z,1,0,22,83,1,0,1,0,0,0,0,0,0,0,1,30,41.4,13.0,21.0,7.5,57,367,10586,1326,959
