element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
505,2,15,0,True,2019-08-10T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,62133,0,0
505,12,2,8,False,2019-08-17T14:00:00Z,1,2,2,75,1,0,0,1,0,0,0,0,0,0,1,26,33.4,4.3,40.0,7.8,60,-9460,60604,8355,17815
505,22,11,6,True,2019-08-25T13:00:00Z,1,3,3,53,1,0,0,2,0,0,0,0,0,0,0,28,41.4,27.7,25.0,9.4,60,15595,82050,28672,13077
505,36,9,2,False,2019-08-31T14:00:00Z,3,1,4,63,0,0,0,2,0,0,0,0,0,0,0,5,2.0,13.5,18.0,3.4,60,92477,186324,112825,20348
505,42,8,1,True,2019-09-15T13:00:00Z,3,1,5,56,0,0,0,1,0,0,0,0,0,0,0,2,2.2,2.3,15.0,2.0,60,23824,212025,54846,31022
505,59,16,6,False,2019-09-20T19:00:00Z,1,3,6,62,1,0,0,1,0,0,0,1,0,0,0,23,31.0,0.8,17.0,4.9,60,-6930,206403,26392,33322
505,62,19,2,True,2019-09-28T14:00:00Z,2,2,7,77,0,0,0,2,0,0,0,0,0,0,0,8,11.0,20.5,0.0,3.2,61,56560,268985,74810,18250
505,71,1,2,False,2019-10-06T13:00:00Z,1,0,8,78,0,0,0,1,0,0,0,0,0,0,0,8,6.6,14.8,2.0,2.3,61,-18152,248125,15704,33856
505,82,14,3,True,2019-10-19T14:00:00Z,0,0,9,68,0,0,1,0,0,0,0,0,0,0,0,7,11.4,6.4,12.0,3.0,61,930,252978,24352,23422
505,99,18,1,False,2019-10-26T14:00:00Z,0,0,10,29,0,0,0,0,0,0,0,0,0,0,0,5,3.8,24.2,21.0,4.9,61,-13463,239354,7934,21397
505,103,12,3,True,2019-11-02T12:30:00Z,1,0,11,85,0,0,1,0,0,0,0,0,0,0,0,4,9.2,3.3,65.0,7.8,60,-46794,192079,3120,49914
505,116,13,10,False,2019-11-09T15:00:00Z,2,1,12,65,1,0,0,2,0,0,0,0,0,0,3,26,34.6,1.4,35.0,7.1,60,-5497,188930,10104,15601
505,123,20,1,True,2019-11-23T15:00:00Z,1,2,13,45,0,0,0,2,0,0,0,0,0,0,0,2,0.0,1.0,10.0,1.0,60,35409,229781,45266,9857
505,139,17,12,False,2019-11-30T15:00:00Z,3,2,14,27,2,0,0,1,0,0,0,0,0,0,1,38,66.2,0.6,58.0,12.5,60,-20998,204969,6464,27462
505,148,7,2,False,2019-12-03T19:30:00Z,1,0,15,90,0,0,0,1,0,0,0,0,0,0,0,8,16.8,15.1,6.0,3.8,60,65495,276922,70893,5398
505,152,10,0,True,2019-12-07T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-54243,218360,6646,60889
505,163,6,0,False,2019-12-14T15:00:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,819,222873,19513,18694
505,172,5,0,True,2019-12-21T15:00:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-38355,178061,4922,43277
505,182,1,1,True,2019-12-26T15:00:00Z,1,1,19,24,0,0,0,0,0,0,0,0,0,0,0,4,8.6,11.0,28.0,4.8,59,-29287,155391,808,30095
505,192,4,2,False,2019-12-28T12:30:00Z,2,0,20,61,0,0,0,1,0,0,0,0,0,0,0,5,2.0,1.4,28.0,3.1,59,9103,166416,16376,7273
505,210,19,1,False,2020-01-01T17:30:00Z,4,0,21,45,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0.9,4.0,0.3,59,1285,167999,16028,14743
505,212,18,2,True,2020-01-12T14:00:00Z,0,3,22,74,0,0,0,2,0,0,0,0,0,0,0,6,9.4,3.4,17.0,3.0,59,-9328,159191,9407,18735
