element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
519,10,1,0,True,2019-08-11T13:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,3239,0,0
519,17,14,1,False,2019-08-17T14:00:00Z,3,1,2,90,0,0,0,3,0,0,0,0,0,0,0,10,10.6,1.4,4.0,1.6,45,-276,4093,124,400
519,28,17,6,False,2019-08-25T15:30:00Z,0,1,3,90,0,0,1,0,0,0,0,0,0,0,0,22,17.0,0.8,0.0,1.8,45,-283,4148,134,417
519,38,18,2,True,2019-08-31T14:00:00Z,1,1,4,77,0,0,0,1,0,0,0,0,0,0,0,12,2.4,1.4,2.0,0.6,45,431,5069,1505,1074
519,44,10,1,False,2019-09-14T11:30:00Z,3,1,5,66,0,0,0,2,0,0,0,0,0,0,0,8,10.6,4.3,22.0,3.7,45,70,5529,532,462
519,58,4,0,True,2019-09-21T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,930,6846,1321,391
519,66,9,0,False,2019-09-29T15:30:00Z,5,0,7,90,0,0,0,5,0,0,0,0,0,0,0,12,11.8,1.4,2.0,1.5,45,-759,6121,110,869
519,76,12,1,True,2019-10-06T15:30:00Z,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,45,-359,5885,77,436
519,83,6,0,False,2019-10-19T14:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-262,5760,66,328
519,96,20,0,True,2019-10-27T14:00:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-222,5614,37,259
519,110,19,0,False,2019-11-02T15:00:00Z,2,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-217,5482,52,269
519,116,3,0,True,2019-11-09T15:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-214,5315,45,259
519,122,2,0,False,2019-11-25T20:00:00Z,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-186,5200,56,242
519,136,11,0,True,2019-11-30T12:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-120,5121,33,153
519,145,15,1,False,2019-12-05T19:30:00Z,0,2,15,2,0,0,0,0,0,0,0,0,0,0,0,6,7.2,0.5,0.0,0.8,44,-92,5055,12,104
519,156,16,0,True,2019-12-08T14:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-91,5004,19,110
519,162,5,0,False,2019-12-14T15:00:00Z,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-92,4947,35,127
519,176,7,0,True,2019-12-21T15:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-83,4902,40,123
519,187,12,1,False,2019-12-26T17:30:00Z,4,1,19,2,0,0,0,0,0,0,0,0,0,0,0,4,5.0,0.0,0.0,0.5,43,-50,4893,44,94
519,196,8,0,True,2019-12-28T15:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-16,4909,40,56
519,206,9,1,True,2020-01-01T15:00:00Z,0,3,21,45,0,0,0,1,0,0,0,0,0,0,0,4,1.6,0.3,0.0,0.2,43,-71,4860,35,106
519,220,20,0,False,2020-01-11T15:00:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-39,4884,73,112
