element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
97,3,16,3,True,2019-08-10T14:00:00Z,3,0,1,83,0,0,1,0,0,0,0,0,0,0,0,15,15.8,5.3,0.0,2.1,60,0,23782,0,0
97,11,1,5,False,2019-08-17T11:30:00Z,2,1,2,90,0,1,0,2,0,0,0,0,0,0,0,18,7.6,26.8,29.0,6.3,60,-2455,23267,1080,3535
97,30,20,6,False,2019-08-25T15:30:00Z,1,1,3,85,0,1,1,0,0,0,0,0,0,0,0,17,21.2,30.4,20.0,7.2,60,-974,23265,2409,3383
97,32,10,2,True,2019-08-31T16:30:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,10,4.8,19.3,13.0,3.7,60,1538,25891,5490,3952
97,43,4,2,False,2019-09-14T14:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,4,7.6,6.3,4.0,1.8,60,-1608,24494,5584,7192
97,52,14,6,True,2019-09-21T14:00:00Z,2,0,6,78,0,1,1,0,0,0,0,0,0,0,0,26,25.2,35.0,6.0,6.6,60,4642,30057,8046,3404
97,61,2,2,False,2019-09-28T14:00:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,0,6,11.2,30.2,8.0,4.9,60,800,31185,6381,5581
97,73,8,3,True,2019-10-05T14:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,15,12.6,2.3,4.0,1.9,60,-606,30994,3019,3625
97,86,9,5,False,2019-10-19T14:00:00Z,2,1,9,90,0,1,0,2,0,0,0,0,0,0,0,18,25.0,17.2,26.0,6.8,60,-2530,28731,1949,4479
97,93,6,8,True,2019-10-26T16:30:00Z,2,4,10,90,1,0,0,4,0,0,0,0,0,0,1,29,50.0,26.3,29.0,10.5,60,720,29779,2631,1911
97,108,15,1,False,2019-11-02T15:00:00Z,3,0,11,58,0,0,0,3,0,0,0,0,0,0,0,-3,0.0,1.3,0.0,0.1,60,9423,40140,11990,2567
97,111,19,6,True,2019-11-09T15:00:00Z,3,0,12,90,0,1,1,0,0,0,0,0,0,0,0,27,38.8,66.0,7.0,11.2,60,7078,48482,10989,3911
97,129,18,3,False,2019-11-23T15:00:00Z,0,3,13,90,0,0,1,0,0,0,0,0,0,0,0,7,3.2,25.8,0.0,2.9,60,31309,83250,38303,6994
97,131,7,1,True,2019-11-30T15:00:00Z,0,2,14,90,0,0,0,2,0,0,0,1,0,0,0,8,16.2,33.9,36.0,8.6,60,2881,84354,12805,9924
97,142,11,2,True,2019-12-03T20:15:00Z,1,4,15,74,0,0,0,3,0,0,0,0,0,0,0,8,11.0,0.3,25.0,3.6,60,-13774,70087,1009,14783
97,158,17,2,False,2019-12-07T15:00:00Z,5,0,16,90,0,0,0,5,0,0,0,0,0,0,0,21,20.0,35.0,0.0,5.5,60,-9502,60872,1175,10677
97,162,13,3,True,2019-12-14T15:00:00Z,1,0,17,90,0,0,1,0,0,0,0,0,0,0,0,19,22.6,32.8,7.0,6.2,60,-5667,55619,2463,8130
97,172,3,2,False,2019-12-21T15:00:00Z,0,1,18,81,0,0,1,0,0,0,0,1,0,0,0,1,1.0,4.8,0.0,0.6,60,-1950,53856,3300,5250
97,185,8,2,False,2019-12-26T15:00:00Z,1,0,19,90,0,0,0,1,0,0,0,0,0,0,0,10,10.4,43.3,0.0,5.4,60,-3581,50600,2186,5767
97,193,12,1,True,2019-12-28T19:45:00Z,0,2,20,90,0,0,0,2,0,0,0,1,0,0,0,4,7.4,11.6,6.0,2.5,60,-2868,47910,1498,4366
97,203,2,2,True,2020-01-01T12:30:00Z,1,2,21,90,0,0,0,2,0,0,0,0,0,0,0,17,9.6,30.9,1.0,4.2,60,-2377,45879,3692,6069
97,213,6,1,False,2020-01-11T15:00:00Z,3,0,22,90,0,0,0,3,0,0,0,1,0,0,0,13,16.0,15.7,10.0,4.2,60,-6678,39224,611,7289
