bank,event,event_transfers,event_transfers_cost,overall_rank,points,points_on_bench,rank,rank_sort,total_points,value
0,1,0,0,1129840,79,13,1129826,1194528,79,1000
0,2,1,0,418339,55,2,649316,666614,134,999
0,3,2,4,1156156,40,4,3981598,4000073,170,997
0,4,0,0,1885895,48,7,4815803,4852927,218,996
0,5,0,0,2666476,42,13,5264391,5301493,260,1003
2,6,2,0,1986893,64,20,1480064,1490770,324,1005
2,7,0,0,1446807,61,7,1041803,1077028,385,1007
23,8,2,0,1153000,44,7,1540817,1558325,429,1009
11,9,1,0,1388841,32,12,4935786,4976259,461,1012
3,10,1,0,1199550,57,3,1853823,1872095,518,1013
5,11,2,4,1001021,70,28,1287669,1303853,584,1014
5,12,0,0,736956,66,13,773751,789727,650,1017
16,13,2,0,520106,70,12,497626,510497,720,1019
7,14,1,0,494238,53,13,3090917,3118263,773,1021
7,15,0,0,462945,60,7,1601204,1641069,833,1022
11,16,1,0,904177,34,2,6456849,6459908,867,1030
4,17,2,0,747598,69,13,1431809,1448900,936,1028
4,18,2,4,838811,43,12,2610374,2632559,975,1029
24,19,1,0,736799,58,16,1894810,1912270,1033,1029
24,20,0,0,515918,76,1,201508,214457,1109,1032
27,21,1,0,441329,61,2,1133557,1149574,1170,1038
16,22,1,0,483813,56,12,3888314,3915108,1226,1040
2,23,2,0,548307,40,15,4620051,4638173,1266,1043
4,24,1,0,648854,51,16,3886691,3900910,1317,1044
0,25,1,0,507771,67,11,734174,750038,1384,1041
0,26,0,0,480988,64,4,2030733,2086215,1448,1030
0,27,0,0,535362,9,8,5566339,5673035,1457,1030
