bank,event,event_transfers,event_transfers_cost,overall_rank,points,points_on_bench,rank,rank_sort,total_points,value
0,1,0,0,253473,91,0,253470,279065,91,1000
5,2,1,0,44180,61,0,275633,283569,152,1001
2,3,1,0,104564,46,0,2852227,2873152,198,1003
0,4,1,0,572903,42,0,5799348,5814846,240,1005
7,5,0,0,1495352,37,6,5945008,5967698,277,1004
7,6,0,0,1303941,59,19,2082469,2120137,336,1006
0,7,2,0,978449,59,11,1509564,1527497,395,1004
0,8,0,0,1322325,30,27,4929584,4979729,425,1006
2,9,3,4,1251344,43,3,1679509,1684347,464,1004
13,10,1,0,1199550,54,0,2342443,2361500,518,1007
0,11,1,0,1257531,58,3,2782577,2798465,576,1007
0,12,0,0,1661250,41,2,4568921,4616477,617,1005
0,13,3,4,1764380,54,0,2754220,2758922,667,1001
3,14,1,0,1896394,47,7,4439329,4464979,714,1000
3,15,0,0,2071594,47,2,3815315,3859005,761,1000
1,16,2,0,1914943,63,2,2225375,2242468,824,999
0,17,2,4,1973292,60,13,2963259,2978990,880,1000
11,18,1,0,2091863,37,0,3972853,3995357,917,1002
1,19,2,4,2419844,41,0,5129248,5142921,954,1000
11,20,1,0,2694024,44,0,5737543,5746030,998,1001
11,21,0,0,2873443,42,3,4874341,4927991,1040,1002
0,22,2,0,2878876,57,10,3681195,3703235,1097,998
0,23,0,0,2810961,48,6,2710025,2754854,1145,998
3,24,2,0,2175792,84,3,316820,321807,1229,999
2,25,0,0,1628072,77,3,112169,118007,1306,987
2,26,0,0,1334182,77,4,435053,452236,1383,992
19,27,1,0,1327158,15,14,3237279,3273641,1398,997
