element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
101,3,16,3,True,2019-08-10T14:00:00Z,3,0,1,90,0,0,1,0,0,0,0,0,0,0,0,7,6.4,11.5,0.0,1.8,55,0,51159,0,0
101,11,1,2,False,2019-08-17T11:30:00Z,2,1,2,90,0,0,0,2,0,0,0,0,0,0,0,9,12.8,22.6,4.0,3.9,55,-4427,48808,1859,6286
101,30,20,2,False,2019-08-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,18,17.4,30.3,1.0,4.9,55,-6723,42752,1068,7791
101,32,10,2,True,2019-08-31T16:30:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,13,12.0,15.3,0.0,2.7,54,-5633,37558,897,6530
101,43,4,1,False,2019-09-14T14:00:00Z,1,1,5,90,0,0,0,1,0,0,0,1,0,0,0,9,11.0,32.4,4.0,4.7,54,-2280,35843,2312,4592
101,52,14,8,True,2019-09-21T14:00:00Z,2,0,6,90,0,1,1,0,0,0,0,0,0,0,2,28,33.8,50.3,10.0,9.4,54,-2693,33328,766,3459
101,61,2,1,False,2019-09-28T14:00:00Z,2,2,7,90,0,0,0,2,0,0,0,1,0,0,0,4,3.6,19.6,0.0,2.3,54,3024,37218,5533,2509
101,73,8,5,True,2019-10-05T14:00:00Z,1,0,8,90,0,1,1,0,0,0,0,1,0,0,0,20,30.2,39.4,0.0,7.0,54,-1937,35192,1333,3270
101,86,9,2,False,2019-10-19T14:00:00Z,2,1,9,90,0,0,0,2,0,0,0,0,0,0,0,20,31.4,31.9,8.0,7.1,54,-472,35023,1829,2301
101,93,6,2,True,2019-10-26T16:30:00Z,2,4,10,90,0,0,0,4,0,0,0,0,0,0,0,12,9.6,3.2,20.0,3.3,54,-819,34285,1115,1934
101,108,15,2,False,2019-11-02T15:00:00Z,3,0,11,90,0,0,0,3,0,0,0,0,0,0,0,15,9.8,18.8,0.0,2.9,54,-1288,33172,1428,2716
101,111,19,5,True,2019-11-09T15:00:00Z,3,0,12,90,0,1,1,0,0,0,0,1,0,0,0,18,6.0,16.8,0.0,2.3,54,-305,33001,1579,1884
101,129,18,2,False,2019-11-23T15:00:00Z,0,3,13,90,0,0,1,0,0,0,0,1,0,0,0,12,14.6,9.6,0.0,2.4,54,1256,34639,3232,1976
101,131,7,0,True,2019-11-30T15:00:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-6098,28197,186,6284
101,142,11,0,True,2019-12-03T20:15:00Z,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1668,26777,104,1772
101,158,17,0,False,2019-12-07T15:00:00Z,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2372,24398,19,2391
101,162,13,8,True,2019-12-14T15:00:00Z,1,0,17,90,0,1,1,0,0,0,0,0,0,0,2,26,29.4,26.6,4.0,6.0,54,-1953,22454,27,1980
101,172,3,5,False,2019-12-21T15:00:00Z,0,1,18,90,0,1,1,0,0,0,0,1,0,0,0,11,20.4,12.8,2.0,3.5,54,816,23529,1805,989
101,185,8,2,False,2019-12-26T15:00:00Z,1,0,19,90,0,0,0,1,0,0,0,0,0,0,0,14,7.0,19.5,0.0,2.7,54,1742,25395,2386,644
101,193,12,2,True,2019-12-28T19:45:00Z,0,2,20,90,0,0,0,2,0,0,0,0,0,0,0,14,12.4,37.3,2.0,5.2,54,159,25598,1033,874
101,203,2,6,True,2020-01-01T12:30:00Z,1,2,21,90,0,1,0,2,0,0,0,0,0,0,1,24,29.2,51.6,12.0,9.3,54,924,26659,2486,1562
101,213,6,1,False,2020-01-11T15:00:00Z,3,0,22,90,0,0,0,3,0,0,0,1,0,0,0,6,8.0,2.1,18.0,2.8,54,187,27035,2222,2035
101,223,9,9,True,2020-01-19T14:00:00Z,2,1,23,90,1,0,0,1,0,0,0,0,0,0,2,36,41.8,2.3,17.0,6.1,54,-503,26644,1290,1793
101,235,12,2,False,2020-01-22T20:15:00Z,0,2,24,90,0,0,1,0,0,0,0,1,0,0,0,6,6.6,1.8,0.0,0.8,54,2837,29873,4194,1357
101,242,1,3,True,2020-02-02T14:00:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,0,21,12.0,43.9,0.0,5.6,54,1288,31194,3495,2207
101,259,16,9,False,2020-02-15T12:30:00Z,1,2,26,90,1,0,0,1,0,0,0,0,0,0,2,30,50.2,21.5,7.0,7.9,54,2639,33972,4567,1928
101,262,3,3,True,2020-02-22T15:00:00Z,3,0,27,90,0,0,1,0,0,0,0,0,0,0,0,19,16.4,22.6,9.0,4.8,54,24178,59479,27138,2960
