element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
108,9,12,0,False,2019-08-11T15:30:00Z,4,0,1,90,0,0,0,4,0,0,0,0,0,0,0,16,23.4,1.6,2.0,2.7,50,0,52353,0,0
108,14,9,2,True,2019-08-18T15:30:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,17,19.6,0.2,0.0,2.0,50,588,66648,8701,8113
108,26,14,1,False,2019-08-24T11:30:00Z,2,3,3,90,0,0,0,2,0,0,0,0,0,0,0,11,18.0,0.8,17.0,3.6,50,5360,76679,14763,9403
108,33,15,0,True,2019-08-31T14:00:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,8389,89847,18642,10253
108,50,20,0,False,2019-09-14T14:00:00Z,2,5,5,90,0,0,0,2,0,0,0,1,0,0,0,15,22.6,0.3,0.0,2.3,50,-12379,77756,4412,16791
108,53,10,0,True,2019-09-22T15:30:00Z,1,2,6,41,0,0,0,2,0,0,0,0,0,0,0,7,8.0,13.3,0.0,2.1,50,-7089,71993,2354,9443
108,63,4,5,True,2019-09-28T14:00:00Z,2,0,7,90,0,0,1,0,0,0,0,1,0,0,0,22,18.8,0.9,0.0,2.0,50,-10046,62489,1962,12008
108,78,16,0,False,2019-10-06T13:00:00Z,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,1963,65843,4611,2648
108,83,13,0,True,2019-10-19T14:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-9200,56630,984,10184
108,93,5,0,False,2019-10-26T16:30:00Z,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-6352,50515,29,6381
108,109,18,0,False,2019-11-02T17:30:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-4817,45760,59,4876
108,112,7,0,True,2019-11-09T12:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1595,44338,143,1738
108,127,11,0,False,2019-11-23T17:30:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1266,43441,315,1581
108,132,19,0,True,2019-11-30T15:00:00Z,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-611,43013,298,909
108,147,2,2,True,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,1,0,0,0,0,0,0,0,20,19.0,0.5,0.0,2.0,49,-538,42626,135,673
108,154,8,1,False,2019-12-07T12:30:00Z,3,1,16,90,0,0,0,3,0,0,0,0,0,0,0,13,15.6,0.7,19.0,3.5,49,-170,42608,354,524
108,163,3,0,True,2019-12-14T15:00:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,413,43350,1214,801
108,178,17,0,False,2019-12-22T16:30:00Z,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-674,42764,386,1060
108,183,16,0,True,2019-12-26T15:00:00Z,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-511,42475,219,730
108,191,1,0,False,2019-12-29T14:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-447,42147,186,633
108,202,4,0,False,2020-01-01T12:30:00Z,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-502,41826,279,781
108,213,5,6,True,2020-01-11T15:00:00Z,3,0,22,90,0,0,1,0,0,0,0,0,0,0,0,23,13.8,0.4,4.0,1.8,49,-540,41480,252,792
