element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
111,9,12,0,False,2019-08-11T15:30:00Z,4,0,1,90,0,0,0,4,0,0,0,0,0,1,0,9,7.0,0.0,0.0,0.7,55,0,282338,0,0
111,14,9,2,True,2019-08-18T15:30:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,2,0,18,23.0,0.0,0.0,2.3,55,17885,348004,52472,34587
111,26,14,2,False,2019-08-24T11:30:00Z,2,3,3,90,0,0,0,2,0,0,0,0,0,3,0,14,24.0,0.0,0.0,2.4,55,-10200,354050,18678,28878
111,33,15,1,True,2019-08-31T14:00:00Z,2,2,4,90,0,0,0,2,0,0,0,0,0,2,0,19,10.2,0.0,0.0,1.0,55,-5228,365386,25511,30739
111,50,20,2,False,2019-09-14T14:00:00Z,2,5,5,90,0,0,0,2,0,0,0,0,0,3,0,18,27.2,0.0,0.0,2.7,55,-35954,334228,5299,41253
111,53,10,1,True,2019-09-22T15:30:00Z,1,2,6,90,0,0,0,2,0,0,0,0,0,1,0,10,11.6,0.0,0.0,1.2,55,-20904,318926,3110,24014
111,63,4,6,True,2019-09-28T14:00:00Z,2,0,7,90,0,0,1,0,0,0,0,0,0,1,0,23,18.0,0.0,0.0,1.8,55,3749,330387,21717,17968
111,78,16,2,False,2019-10-06T13:00:00Z,1,4,8,90,0,0,0,1,0,0,0,0,0,1,0,10,7.6,0.0,0.0,0.8,55,6904,341347,16695,9791
111,83,13,6,True,2019-10-19T14:00:00Z,1,0,9,90,0,0,1,0,0,0,0,0,0,0,0,20,2.8,0.0,0.0,0.3,55,39774,388159,53192,13418
111,93,5,2,False,2019-10-26T16:30:00Z,2,4,10,90,0,0,0,2,0,0,0,0,0,3,0,14,24.2,0.0,0.0,2.4,55,3339,392397,11226,7887
111,109,18,2,False,2019-11-02T17:30:00Z,1,2,11,90,0,0,0,1,0,0,0,0,0,2,0,15,21.0,0.0,0.0,2.1,55,-3962,392100,10382,14344
111,112,7,6,True,2019-11-09T12:30:00Z,2,0,12,90,0,0,1,0,0,0,0,0,0,1,0,21,8.0,0.0,0.0,0.8,55,13086,411360,24858,11772
111,127,11,1,False,2019-11-23T17:30:00Z,2,1,13,90,0,0,0,2,0,0,0,0,0,2,0,15,15.8,0.0,0.0,1.6,55,-540,411857,24804,25344
111,132,19,3,True,2019-11-30T15:00:00Z,0,1,14,90,0,0,0,1,0,0,0,0,0,3,0,13,27.4,0.0,0.0,2.7,55,-1870,413156,9733,11603
111,147,2,2,True,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,1,0,0,0,0,0,2,0,13,19.0,0.0,0.0,1.9,55,8180,423418,15194,7014
111,154,8,2,False,2019-12-07T12:30:00Z,3,1,16,90,0,0,0,3,0,0,0,0,0,4,0,19,33.2,0.0,0.0,3.3,55,-7042,417398,5650,12692
111,163,3,2,True,2019-12-14T15:00:00Z,0,1,17,90,0,0,0,1,0,0,0,0,0,1,0,13,12.4,0.0,0.0,1.2,55,-11789,408070,6764,18553
111,178,17,6,False,2019-12-22T16:30:00Z,0,2,18,90,0,0,1,0,0,0,0,0,0,1,0,23,13.6,0.0,0.0,1.4,55,-17236,388312,1865,19101
111,183,16,1,True,2019-12-26T15:00:00Z,0,2,19,90,0,0,0,2,0,0,0,0,0,1,0,16,14.0,0.0,0.0,1.4,55,856,396135,7648,6792
111,191,1,2,False,2019-12-29T14:00:00Z,1,2,20,90,0,0,0,1,0,0,0,0,0,1,0,10,7.2,0.0,0.0,0.7,55,-11782,384111,2119,13901
111,202,4,3,False,2020-01-01T12:30:00Z,1,1,21,90,0,0,0,1,0,0,0,0,0,4,0,15,31.8,0.0,0.0,3.2,55,-7575,378592,5120,12695
111,213,5,6,True,2020-01-11T15:00:00Z,3,0,22,90,0,0,1,0,0,0,0,0,0,1,0,21,7.6,0.0,0.0,0.8,55,-3974,377245,7561,11535
