element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
116,9,12,0,False,2019-08-11T15:30:00Z,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,10428,0,0
116,14,9,0,True,2019-08-18T15:30:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-2025,9532,546,2571
116,26,14,0,False,2019-08-24T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-1278,8585,492,1770
116,33,15,0,True,2019-08-31T14:00:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-839,7975,541,1380
116,50,20,0,False,2019-09-14T14:00:00Z,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,182,8349,1353,1171
116,53,10,0,True,2019-09-22T15:30:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,1047,9564,1763,716
116,63,4,4,True,2019-09-28T14:00:00Z,2,0,7,27,0,1,0,0,0,0,0,0,0,0,0,16,21.4,13.9,0.0,3.5,59,12102,22487,13294,1192
116,78,16,5,False,2019-10-06T13:00:00Z,1,4,8,79,0,1,0,1,0,0,0,0,0,0,0,14,26.6,34.8,45.0,10.6,59,25897,49727,27719,1822
116,83,13,9,True,2019-10-19T14:00:00Z,1,0,9,90,0,1,1,0,0,0,0,0,0,0,3,32,29.6,72.0,42.0,14.4,59,68076,120327,73439,5363
116,93,5,0,False,2019-10-26T16:30:00Z,2,4,10,18,0,0,0,2,0,0,0,1,0,0,0,0,6.2,15.8,11.0,3.3,60,119911,243358,123881,3970
116,109,18,1,False,2019-11-02T17:30:00Z,1,2,11,7,0,0,0,0,0,0,0,0,0,0,0,3,1.2,1.3,0.0,0.3,60,-36317,204274,18227,54544
116,112,7,1,True,2019-11-09T12:30:00Z,2,0,12,10,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,1.0,0.0,59,-41727,162927,9898,51625
116,127,11,0,False,2019-11-23T17:30:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-65194,98551,3839,69033
116,132,19,1,True,2019-11-30T15:00:00Z,0,1,14,19,0,0,0,0,0,0,0,0,0,0,0,6,5.4,3.3,4.0,1.3,57,-35977,63794,293,36270
116,147,2,1,True,2019-12-04T19:30:00Z,2,1,15,4,0,0,0,0,0,0,0,0,0,0,0,5,2.0,0.3,28.0,3.0,57,-7347,57617,1030,8377
116,154,8,1,False,2019-12-07T12:30:00Z,3,1,16,19,0,0,0,1,0,0,0,0,0,0,0,6,3.6,1.6,22.0,2.7,56,-7551,50258,966,8517
116,163,3,1,True,2019-12-14T15:00:00Z,0,1,17,25,0,0,0,1,0,0,0,0,0,0,0,1,0.0,10.6,4.0,1.3,55,-6097,44428,1004,7101
116,178,17,0,False,2019-12-22T16:30:00Z,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-4342,39849,739,5081
116,183,16,2,True,2019-12-26T15:00:00Z,0,2,19,66,0,0,0,1,0,0,0,0,0,0,0,7,5.0,18.7,29.0,5.3,54,-2515,38066,735,3250
116,191,1,1,False,2019-12-29T14:00:00Z,1,2,20,20,0,0,0,0,0,0,0,0,0,0,0,2,1.6,3.8,8.0,1.3,54,-1450,36802,842,2292
116,202,4,1,False,2020-01-01T12:30:00Z,1,1,21,24,0,0,0,1,0,0,0,0,0,0,0,3,2.2,4.9,46.0,5.3,54,-1802,35161,1168,2970
116,213,5,8,True,2020-01-11T15:00:00Z,3,0,22,90,1,0,1,0,0,0,0,0,0,0,0,27,46.8,40.7,43.0,13.1,53,-67,35298,2883,2950
116,226,13,2,False,2020-01-18T17:30:00Z,1,0,23,90,0,0,0,1,0,0,0,0,0,0,0,11,7.4,40.0,11.0,5.8,53,16633,52793,19688,3055
116,238,1,5,True,2020-01-21T20:15:00Z,2,2,24,90,0,1,0,2,0,0,0,0,0,0,0,24,37.0,40.5,17.0,9.5,53,376,52805,4966,4590
116,244,9,2,False,2020-02-01T12:30:00Z,2,2,25,90,0,0,0,2,0,0,0,0,0,0,0,13,8.8,8.0,12.0,2.9,53,8254,61785,13424,5170
116,254,12,0,True,2020-02-17T20:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,2802,64620,7690,4888
