element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
117,9,12,1,False,2019-08-11T15:30:00Z,4,0,1,57,0,0,0,1,0,0,0,0,0,0,0,1,8.0,14.4,18.0,4.0,60,0,422507,0,0
117,14,9,0,True,2019-08-18T15:30:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-24033,434106,38682,62715
117,26,14,2,False,2019-08-24T11:30:00Z,2,3,3,90,0,0,0,2,0,0,0,0,0,0,0,17,22.6,60.0,51.0,13.4,59,-154246,280596,7608,161854
117,33,15,1,True,2019-08-31T14:00:00Z,2,2,4,59,0,0,0,1,0,0,0,0,0,0,0,5,3.8,2.8,29.0,3.6,58,-66099,220413,9227,75326
117,50,20,1,False,2019-09-14T14:00:00Z,2,5,5,20,0,0,0,1,0,0,0,0,0,0,0,6,7.0,21.1,2.0,3.0,57,-43002,180320,3919,46921
117,53,10,0,True,2019-09-22T15:30:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-24102,157917,2447,26549
117,63,4,3,True,2019-09-28T14:00:00Z,2,0,7,67,0,0,1,0,0,0,0,0,0,0,0,6,14.2,25.4,51.0,9.1,56,-17851,141243,2937,20788
117,78,16,0,False,2019-10-06T13:00:00Z,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-7545,134527,2246,9791
117,83,13,1,True,2019-10-19T14:00:00Z,1,0,9,42,0,0,0,0,0,0,0,0,0,0,0,3,8.2,2.2,6.0,1.6,56,-6242,128969,2726,8968
117,93,5,0,False,2019-10-26T16:30:00Z,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-9232,119806,275,9507
117,109,18,0,False,2019-11-02T17:30:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-10832,109012,155,10987
117,112,7,0,True,2019-11-09T12:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-4723,104450,109,4832
117,127,11,0,False,2019-11-23T17:30:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-5955,98501,43,5998
117,132,19,0,True,2019-11-30T15:00:00Z,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-2108,96550,52,2160
117,147,2,0,True,2019-12-04T19:30:00Z,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-1283,95360,17,1300
117,154,8,0,False,2019-12-07T12:30:00Z,3,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-1235,94179,102,1337
117,163,3,0,True,2019-12-14T15:00:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-939,93510,342,1281
117,178,17,0,False,2019-12-22T16:30:00Z,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-637,93092,328,965
117,183,16,0,True,2019-12-26T15:00:00Z,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-318,93007,420,738
117,191,1,0,False,2019-12-29T14:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-441,92682,206,647
117,202,4,0,False,2020-01-01T12:30:00Z,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-630,92183,225,855
117,213,5,3,True,2020-01-11T15:00:00Z,3,0,22,90,0,0,1,0,0,0,0,0,0,0,0,16,15.0,22.3,14.0,5.1,56,-785,91596,305,1090
117,226,13,1,False,2020-01-18T17:30:00Z,1,0,23,22,0,0,0,1,0,0,0,0,0,0,0,5,3.2,4.3,6.0,1.4,56,-156,91649,588,744
117,238,1,1,True,2020-01-21T20:15:00Z,2,2,24,24,0,0,0,1,0,0,0,0,0,0,0,1,7.4,5.6,26.0,3.9,56,-343,91407,221,564
117,244,9,1,False,2020-02-01T12:30:00Z,2,2,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,2.0,0.3,56,-445,91166,309,754
117,254,12,0,True,2020-02-17T20:00:00Z,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-275,91002,220,495
117,263,17,9,True,2020-02-22T12:30:00Z,2,1,27,76,0,2,1,0,0,0,0,0,0,0,0,15,17.8,26.4,18.0,6.2,56,-255,90868,225,480
