element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
119,9,12,0,False,2019-08-11T15:30:00Z,4,0,1,17,0,0,0,1,0,0,0,1,0,0,0,-1,7.2,0.9,0.0,0.8,50,0,396047,0,0
119,14,9,2,True,2019-08-18T15:30:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,15.8,18.4,18.0,5.2,50,7529,465300,57095,49566
119,26,14,0,False,2019-08-24T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,4388,496750,59890,55502
119,33,15,0,True,2019-08-31T14:00:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-114444,382301,7417,121861
119,50,20,0,False,2019-09-14T14:00:00Z,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-69554,319607,4604,74158
119,53,10,8,True,2019-09-22T15:30:00Z,1,2,6,90,1,0,0,2,0,0,0,0,0,0,1,28,43.8,3.5,10.0,5.7,50,-32242,291536,2619,34861
119,63,4,0,True,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,45387,349090,58071,12684
119,78,16,7,False,2019-10-06T13:00:00Z,1,4,8,90,1,0,0,1,0,0,0,0,0,0,0,22,40.8,2.3,7.0,5.0,50,-18450,330384,12300,30750
119,83,13,0,True,2019-10-19T14:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,7178,345112,33399,26221
119,93,5,0,False,2019-10-26T16:30:00Z,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-32605,311683,1241,33846
119,109,18,0,False,2019-11-02T17:30:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-33608,278632,990,34598
119,112,7,3,True,2019-11-09T12:30:00Z,2,0,12,90,0,0,1,0,0,0,0,0,0,0,0,13,16.4,36.5,3.0,5.6,50,578,281748,9173,8595
119,127,11,8,False,2019-11-23T17:30:00Z,2,1,13,90,1,0,0,2,0,0,0,0,0,0,1,32,50.0,30.2,37.0,11.7,50,6006,291110,13557,7551
119,132,19,1,True,2019-11-30T15:00:00Z,0,1,14,27,0,0,0,0,0,0,0,0,0,0,0,7,9.0,23.8,2.0,3.5,50,39199,335567,43914,4715
119,147,2,2,True,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,1,0,0,0,0,0,0,0,16,23.4,57.3,13.0,9.4,50,454,335303,11316,10862
119,154,8,2,False,2019-12-07T12:30:00Z,3,1,16,90,0,0,0,3,0,0,0,0,0,0,0,20,35.6,43.9,2.0,8.2,50,-771,336410,11166,11937
119,163,3,2,True,2019-12-14T15:00:00Z,0,1,17,90,0,0,0,1,0,0,0,0,0,0,0,12,7.4,16.8,0.0,2.4,50,1309,341295,15578,14269
119,178,17,3,False,2019-12-22T16:30:00Z,0,2,18,90,0,0,1,0,0,0,0,0,0,0,0,14,10.6,18.1,9.0,3.8,50,-3650,338242,9964,13614
119,183,16,1,True,2019-12-26T15:00:00Z,0,2,19,90,0,0,0,2,0,0,0,1,0,0,0,13,18.4,23.1,6.0,4.8,50,3031,345622,12637,9606
119,191,1,1,False,2019-12-29T14:00:00Z,1,2,20,90,0,0,0,1,0,0,0,1,0,0,0,6,14.8,3.8,3.0,2.2,50,-3384,343388,7752,11136
119,202,4,2,False,2020-01-01T12:30:00Z,1,1,21,90,0,0,0,1,0,0,0,0,0,0,0,21,32.8,48.3,13.0,9.4,50,-6792,338819,10119,16911
119,213,5,0,True,2020-01-11T15:00:00Z,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-6997,334645,9471,16468
