element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
122,9,6,8,True,2019-08-11T15:30:00Z,4,0,1,90,0,0,1,0,0,0,0,0,0,0,2,34,30.4,16.1,2.0,4.9,55,0,1879259,0,0
122,20,20,1,False,2019-08-19T19:00:00Z,1,1,2,90,0,0,0,1,0,0,0,1,0,0,0,19,28.0,11.0,5.0,4.4,55,88267,2177360,142479,54212
122,25,7,0,True,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,1,0,0,0,9,11.8,21.1,2.0,3.5,56,99379,2349140,194446,95067
122,39,16,2,False,2019-08-31T11:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,13,27.0,13.2,10.0,5.0,56,-159617,2212774,59340,218957
122,45,9,6,True,2019-09-14T14:00:00Z,1,0,5,90,0,0,1,0,0,0,0,0,0,0,0,21,14.2,12.4,0.0,2.7,55,-500027,1719305,21884,521911
122,60,19,1,False,2019-09-22T13:00:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,0,0,16,18.8,2.4,2.0,2.3,55,-11310,1748887,50402,61712
122,67,1,0,True,2019-09-30T19:00:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-143055,1608509,19950,163005
122,76,13,0,False,2019-10-06T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-200518,1407083,4987,205505
122,87,10,2,True,2019-10-20T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,12,12.4,12.7,2.0,2.7,54,-190053,1224192,1413,191466
122,97,14,1,False,2019-10-27T16:30:00Z,1,3,10,90,0,0,0,1,0,0,0,1,0,0,0,11,36.0,4.2,0.0,4.0,54,-10239,1225533,22153,32392
122,103,3,2,False,2019-11-02T12:30:00Z,1,0,11,80,0,0,0,1,0,0,0,0,0,0,0,16,17.2,2.8,0.0,2.0,54,-6567,1223982,36330,42897
122,115,4,2,True,2019-11-10T14:00:00Z,3,1,12,90,0,0,0,1,0,0,0,0,0,0,0,14,23.0,12.2,6.0,4.1,54,-25546,1206868,24488,50034
122,128,15,0,False,2019-11-24T16:30:00Z,3,3,13,90,0,0,0,3,0,0,0,1,0,0,0,9,12.4,5.2,0.0,1.8,54,-41995,1163803,13596,55591
122,135,2,1,True,2019-12-01T16:30:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,11,13.0,16.7,23.0,5.3,54,-52238,1113979,5782,58020
122,144,17,2,True,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,1,0,0,0,0,0,0,0,14,15.0,2.6,6.0,2.4,53,-47977,1067898,2155,50132
122,155,11,3,False,2019-12-07T17:30:00Z,1,2,16,90,0,0,0,1,0,0,0,0,0,0,1,24,41.4,10.9,0.0,5.2,53,-37726,1032199,4386,42112
122,167,8,4,True,2019-12-15T14:00:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,0,2,26,22.8,3.8,0.0,2.7,53,14207,1053050,34631,20424
122,179,18,1,False,2019-12-22T14:00:00Z,2,0,18,90,0,0,0,2,0,0,0,0,0,0,0,4,11.8,1.6,0.0,1.3,53,45001,1126931,60812,15811
122,187,13,6,True,2019-12-26T17:30:00Z,4,1,19,90,0,1,0,1,0,0,0,0,0,0,1,30,35.6,22.9,0.0,5.9,53,-21267,1083075,8122,29389
122,193,5,0,False,2019-12-28T19:45:00Z,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-6021,1080192,11584,17605
122,201,1,1,False,2020-01-01T20:00:00Z,2,0,21,90,0,0,0,2,0,0,0,0,0,0,0,15,14.8,6.3,4.0,2.5,53,-24185,1058567,12912,37097
122,217,14,6,True,2020-01-11T15:00:00Z,4,0,22,90,0,0,1,0,0,0,0,0,0,0,0,22,10.6,8.3,6.0,2.5,53,-19730,1043175,13717,33447
122,224,10,1,False,2020-01-19T16:30:00Z,2,0,23,90,0,0,0,2,0,0,0,0,0,0,0,21,24.2,22.6,12.0,5.9,53,-22661,1022721,7237,29898
122,235,5,1,True,2020-01-22T20:15:00Z,0,2,24,90,0,0,0,2,0,0,0,0,0,0,0,13,29.6,53.2,4.0,8.7,53,-8481,1017565,11361,19842
122,246,20,9,True,2020-02-01T17:30:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,3,31,34.0,32.8,0.0,6.7,53,-18807,1000671,7133,25940
122,254,6,0,False,2020-02-17T20:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-323,1003186,10876,11199
