element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
123,4,8,6,True,2019-08-10T14:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,20,15.4,0.5,2.0,1.8,55,0,370787,0,0
123,18,15,2,False,2019-08-18T13:00:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,8,11.8,14.4,0.0,2.6,55,-7076,389546,16015,23091
123,25,12,10,False,2019-08-24T14:00:00Z,1,2,3,90,1,0,0,1,0,0,0,0,0,0,2,23,48.2,1.1,21.0,7.0,55,-40933,351795,6382,47315
123,34,2,6,True,2019-08-31T14:00:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,0,0,21,17.8,17.4,16.0,5.1,55,180337,594396,207398,27061
123,48,17,-2,False,2019-09-14T14:00:00Z,4,0,5,90,0,0,0,4,1,0,0,0,0,0,0,6,4.8,1.3,6.0,1.2,56,183251,808632,226877,43626
123,54,20,2,True,2019-09-22T13:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,10,11.2,3.2,12.0,2.6,56,-11529,796583,51040,62569
123,64,14,6,True,2019-09-28T14:00:00Z,2,0,7,90,0,0,1,0,0,0,0,0,0,0,0,24,8.6,18.7,4.0,3.1,56,-17333,784275,35606,52939
123,80,19,9,False,2019-10-05T16:30:00Z,1,2,8,90,1,0,0,1,0,0,0,0,0,0,1,26,44.4,24.3,17.0,8.6,56,-6168,781601,23246,29414
123,84,11,1,True,2019-10-19T16:30:00Z,0,2,9,90,0,0,0,2,0,0,0,0,0,0,0,19,14.8,17.1,18.0,5.0,56,39992,831471,67231,27239
123,91,1,1,False,2019-10-27T16:30:00Z,2,2,10,90,0,0,0,2,0,0,0,0,0,0,0,12,18.0,26.8,19.0,6.4,56,16034,850342,36244,20210
123,105,9,1,True,2019-11-03T14:00:00Z,0,2,11,90,0,0,0,2,0,0,0,0,0,0,0,14,15.4,1.8,2.0,1.9,56,-16299,835564,25272,41571
123,112,6,1,False,2019-11-09T12:30:00Z,2,0,12,90,0,0,0,2,0,0,0,0,0,0,0,11,11.8,12.2,0.0,2.4,56,-39202,795061,7244,46446
123,125,10,1,True,2019-11-23T15:00:00Z,1,2,13,90,0,0,0,2,0,0,0,0,0,0,0,11,10.8,15.9,1.0,2.8,56,-52464,744945,8389,60853
123,131,5,6,False,2019-11-30T15:00:00Z,0,2,14,90,0,0,1,0,0,0,0,0,0,0,0,23,10.0,1.8,4.0,1.6,56,-22869,725980,14580,37449
123,148,3,1,True,2019-12-03T19:30:00Z,1,0,15,28,0,0,0,0,0,0,0,0,0,0,0,7,5.0,0.8,4.0,1.0,56,12876,743198,24773,11897
123,159,18,0,False,2019-12-07T15:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-132397,607484,1943,134340
123,164,4,0,True,2019-12-16T19:45:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-132994,475035,358,133352
123,176,13,2,False,2019-12-21T15:00:00Z,1,0,18,90,0,0,0,1,0,0,0,0,0,0,0,21,20.2,66.3,1.0,8.8,55,-53985,420319,1113,55098
123,184,19,2,True,2019-12-26T15:00:00Z,2,1,19,64,0,0,0,1,0,0,0,0,0,0,0,17,14.4,17.4,10.0,4.2,55,10239,438878,17267,7028
123,198,16,0,False,2019-12-28T15:00:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-19785,416940,887,20672
123,207,14,0,False,2020-01-01T17:30:00Z,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-34467,382889,396,34863
123,214,1,0,True,2020-01-11T12:30:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-30533,352506,191,30724
