element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
125,4,8,0,True,2019-08-10T14:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,5794,0,0
125,18,15,0,False,2019-08-18T13:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-985,5138,48,1033
125,25,12,0,False,2019-08-24T14:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-755,4487,37,792
125,34,2,1,True,2019-08-31T14:00:00Z,1,0,4,11,0,0,0,0,0,0,0,0,0,0,0,3,1.4,0.1,0.0,0.2,50,-529,4010,31,560
125,48,17,0,False,2019-09-14T14:00:00Z,4,0,5,90,0,0,0,4,0,0,0,0,0,0,0,13,14.4,10.3,0.0,2.5,50,757,5773,1143,386
125,54,20,2,True,2019-09-22T13:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,14,13.6,0.4,4.0,1.8,50,295,6527,672,377
125,64,14,0,True,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,16,6951,693,677
125,80,19,0,False,2019-10-05T16:30:00Z,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-915,6052,36,951
125,84,11,0,True,2019-10-19T16:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-503,5605,23,526
125,91,1,0,False,2019-10-27T16:30:00Z,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-285,5343,19,304
125,105,9,0,True,2019-11-03T14:00:00Z,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-282,5078,24,306
125,112,6,0,False,2019-11-09T12:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-161,4939,35,196
125,125,10,0,True,2019-11-23T15:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,98,5256,228,130
125,131,5,1,False,2019-11-30T15:00:00Z,0,2,14,31,0,0,0,0,0,0,0,0,0,0,0,5,12.2,0.3,2.0,1.5,50,83,5466,191,108
125,148,3,-2,True,2019-12-03T19:30:00Z,1,0,15,18,0,0,0,0,0,0,0,0,1,0,0,-7,0.0,0.0,0.0,0.0,50,146,5690,256,110
125,159,18,0,False,2019-12-07T15:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-350,5343,20,370
125,164,4,0,True,2019-12-16T19:45:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-211,5147,22,233
125,176,13,0,False,2019-12-21T15:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-122,5034,23,145
125,184,19,2,True,2019-12-26T15:00:00Z,2,1,19,90,0,0,0,1,0,0,0,0,0,0,0,17,22.4,0.6,0.0,2.3,50,156,5309,224,68
125,198,16,2,False,2019-12-28T15:00:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,0,0,15,16.8,0.4,0.0,1.7,50,203,5652,285,82
125,207,14,1,False,2020-01-01T17:30:00Z,1,1,21,45,0,0,0,1,0,0,0,0,0,0,0,9,5.2,1.1,0.0,0.6,50,304,6087,505,201
125,214,1,0,True,2020-01-11T12:30:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-502,5620,73,575
125,225,11,0,False,2020-01-18T15:00:00Z,2,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-255,5380,15,270
125,239,16,0,True,2020-01-21T19:30:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-104,5282,10,114
125,243,15,0,True,2020-02-01T15:00:00Z,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-119,5171,4,123
125,255,8,0,False,2020-02-08T12:30:00Z,3,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-45,5133,28,73
125,264,13,0,True,2020-02-22T15:00:00Z,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-61,5083,4,65
