element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
126,4,8,6,True,2019-08-10T14:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,23,13.2,0.9,0.0,1.4,45,0,25054,0,0
126,18,15,2,False,2019-08-18T13:00:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,15,43.6,3.9,0.0,4.8,45,3720,38390,6588,2868
126,25,12,2,False,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,6,16.2,0.8,0.0,1.7,45,-280,40267,4596,4876
126,34,2,8,True,2019-08-31T14:00:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,0,2,28,18.8,16.9,2.0,3.8,45,7487,52100,12684,5197
126,48,17,-1,False,2019-09-14T14:00:00Z,4,0,5,90,0,0,0,4,0,0,0,1,0,0,0,12,13.0,14.8,18.0,4.6,45,79448,148040,98355,18907
126,54,20,6,True,2019-09-22T13:00:00Z,1,1,6,90,0,1,0,1,0,0,0,0,0,0,1,22,17.0,7.3,1.0,2.5,45,21041,167577,34179,13138
126,64,14,8,True,2019-09-28T14:00:00Z,2,0,7,90,0,0,1,0,0,0,0,0,0,0,2,27,21.0,2.8,0.0,2.4,45,17689,188347,28413,10724
126,80,19,1,False,2019-10-05T16:30:00Z,1,2,8,90,0,0,0,1,0,0,0,1,0,0,0,10,12.6,6.3,2.0,2.1,46,50188,246171,59275,9087
126,84,11,1,True,2019-10-19T16:30:00Z,0,2,9,90,0,0,0,2,0,0,0,0,0,0,0,9,12.6,1.5,0.0,1.4,46,-4388,238644,11875,16263
126,91,1,1,False,2019-10-27T16:30:00Z,2,2,10,90,0,0,0,2,0,0,0,0,0,0,0,17,19.6,2.7,0.0,2.2,46,-2943,237086,5951,8894
126,105,9,1,True,2019-11-03T14:00:00Z,0,2,11,90,0,0,0,2,0,0,0,0,0,0,0,13,14.2,2.3,7.0,2.4,46,-6470,231142,5111,11581
126,112,6,1,False,2019-11-09T12:30:00Z,2,0,12,43,0,0,0,0,0,0,0,0,0,0,0,3,4.8,0.5,0.0,0.5,46,-10502,220058,1687,12189
126,125,10,2,True,2019-11-23T15:00:00Z,1,2,13,69,0,0,0,1,0,0,0,0,0,0,0,12,9.0,0.8,0.0,1.0,45,-23503,196676,1891,25394
126,131,5,0,False,2019-11-30T15:00:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-23492,173624,2221,25713
126,148,3,0,True,2019-12-03T19:30:00Z,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-22073,152910,45,22118
126,159,18,0,False,2019-12-07T15:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-22070,131105,55,22125
126,164,4,0,True,2019-12-16T19:45:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-18378,112770,73,18451
126,176,13,0,False,2019-12-21T15:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-12111,99592,49,12160
126,184,19,0,True,2019-12-26T15:00:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-6366,94910,101,6467
126,198,16,0,False,2019-12-28T15:00:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-4443,90588,94,4537
126,207,14,0,False,2020-01-01T17:30:00Z,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-6918,83800,158,7076
126,214,1,0,True,2020-01-11T12:30:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-5191,78657,133,5324
126,225,11,1,False,2020-01-18T15:00:00Z,2,2,23,2,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,43,-3369,75301,268,3637
126,239,16,1,True,2020-01-21T19:30:00Z,0,2,24,28,0,0,0,0,0,0,0,0,0,0,0,3,5.8,0.5,0.0,0.6,43,-818,74544,827,1645
126,243,15,1,True,2020-02-01T15:00:00Z,0,1,25,90,0,0,0,1,0,0,0,1,0,0,0,6,9.6,1.3,0.0,1.1,43,-351,74433,1697,2048
126,255,8,1,False,2020-02-08T12:30:00Z,3,1,26,78,0,0,0,2,0,0,0,0,0,0,0,6,8.6,0.7,0.0,0.9,43,2090,76657,3540,1450
126,264,13,8,True,2020-02-22T15:00:00Z,1,0,27,90,0,0,1,0,0,0,0,0,0,0,2,28,14.4,20.9,2.0,3.7,43,3665,80497,5092,1427
