element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
128,4,8,6,True,2019-08-10T14:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,24,25.8,0.0,0.0,2.6,40,0,1343781,0,0
128,18,15,2,False,2019-08-18T13:00:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,15,16.8,0.8,2.0,2.0,40,108511,1590996,143213,34702
128,25,12,2,False,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,11,17.4,0.0,2.0,1.9,40,78660,1705953,171051,92391
128,34,2,6,True,2019-08-31T14:00:00Z,1,0,4,78,0,0,1,0,0,0,0,0,0,0,0,20,7.2,0.1,0.0,0.7,41,106615,1844687,165070,58455
128,48,17,0,False,2019-09-14T14:00:00Z,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-59321,1782794,102462,161783
128,54,20,0,True,2019-09-22T13:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-102803,1684455,29945,132748
128,64,14,6,True,2019-09-28T14:00:00Z,2,0,7,90,0,0,1,0,0,0,0,0,0,0,0,20,12.8,0.4,0.0,1.3,41,-4834,1692902,54602,59436
128,80,19,7,False,2019-10-05T16:30:00Z,1,2,8,90,0,1,0,1,0,0,0,0,0,0,2,27,35.4,10.4,4.0,5.0,41,42777,1745313,64866,22089
128,84,11,0,True,2019-10-19T16:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,49246,1800724,80782,31536
128,91,1,0,False,2019-10-27T16:30:00Z,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-38133,1759610,18788,56921
128,105,9,0,True,2019-11-03T14:00:00Z,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-2867,1763874,40965,43832
128,112,6,0,False,2019-11-09T12:30:00Z,2,0,12,46,0,0,0,2,0,0,0,0,0,0,0,3,10.2,0.8,0.0,1.1,41,-27026,1733639,22349,49375
128,125,10,1,True,2019-11-23T15:00:00Z,1,2,13,20,0,0,0,1,0,0,0,0,0,0,0,4,6.4,14.1,0.0,2.1,41,-35032,1704351,28493,63525
128,131,5,6,False,2019-11-30T15:00:00Z,0,2,14,90,0,0,1,0,0,0,0,0,0,0,0,24,17.2,0.8,0.0,1.8,41,-13218,1695324,31714,44932
128,148,3,6,True,2019-12-03T19:30:00Z,1,0,15,90,0,0,1,0,0,0,0,0,0,0,0,24,22.2,1.1,0.0,2.3,41,41007,1742075,51658,10651
128,159,18,8,False,2019-12-07T15:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,2,26,19.6,0.8,0.0,2.0,42,145962,1897736,153566,7604
128,164,4,2,True,2019-12-16T19:45:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,0,0,17,28.6,42.3,4.0,7.5,43,257363,2169368,266855,9492
128,176,13,2,False,2019-12-21T15:00:00Z,1,0,18,90,0,0,0,1,0,0,0,0,0,0,0,10,10.2,2.8,2.0,1.5,44,117359,2292298,133019,15660
128,184,19,2,True,2019-12-26T15:00:00Z,2,1,19,90,0,0,0,1,0,0,0,0,0,0,0,14,19.0,1.0,0.0,2.0,44,55249,2345404,73748,18499
128,198,16,2,False,2019-12-28T15:00:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,0,0,8,9.4,0.8,1.0,1.1,44,6611,2353470,39655,33044
128,207,14,2,False,2020-01-01T17:30:00Z,1,1,21,82,0,0,0,1,0,0,0,0,0,0,0,7,12.6,15.3,0.0,2.8,44,9726,2369485,69451,59725
128,214,1,2,True,2020-01-11T12:30:00Z,1,1,22,90,0,0,0,1,0,0,0,0,0,0,0,10,10.0,4.8,0.0,1.5,44,-64516,2306467,33817,98333
128,225,11,1,False,2020-01-18T15:00:00Z,2,2,23,90,0,0,0,2,0,0,0,0,0,0,0,11,14.2,0.1,0.0,1.4,44,-83747,2222070,19514,103261
128,239,16,1,True,2020-01-21T19:30:00Z,0,2,24,61,0,0,0,2,0,0,0,0,0,0,0,13,10.4,0.1,0.0,1.1,44,-58527,2150962,22195,80722
128,243,15,0,True,2020-02-01T15:00:00Z,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-80570,2087365,17883,98453
128,255,8,0,False,2020-02-08T12:30:00Z,3,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-192149,1895474,5717,197866
