element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
131,4,8,6,True,2019-08-10T14:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,2,0,24,14.0,0.0,0.0,1.4,50,0,22626,0,0
131,18,15,2,False,2019-08-18T13:00:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,2,0,16,23.6,0.0,0.0,2.4,50,5582,34685,8505,2923
131,25,12,1,False,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,1,0,0,0,1,0,2,0,10,14.0,0.0,0.0,1.4,50,-3818,31680,1434,5252
131,34,2,6,True,2019-08-31T14:00:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,2,0,26,18.4,0.0,0.0,1.8,50,2377,37092,6176,3799
131,48,17,0,False,2019-09-14T14:00:00Z,4,0,5,90,0,0,0,4,0,0,0,0,0,2,0,13,16.2,0.0,0.0,1.6,50,2165,42174,8064,5899
131,54,20,3,True,2019-09-22T13:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,3,0,14,25.8,0.0,0.0,2.6,50,-1002,41688,2095,3097
131,64,14,9,True,2019-09-28T14:00:00Z,2,0,7,90,0,0,1,0,0,0,0,0,0,3,2,27,27.4,0.0,0.0,2.7,50,-1111,41341,1705,2816
131,80,19,3,False,2019-10-05T16:30:00Z,1,2,8,90,0,0,0,1,0,0,0,0,0,4,0,16,34.2,0.0,0.0,3.4,50,11449,55737,14352,2903
131,84,11,0,True,2019-10-19T16:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1161,54479,3740,4901
131,91,1,0,False,2019-10-27T16:30:00Z,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-6285,48242,278,6563
131,105,9,2,True,2019-11-03T14:00:00Z,0,2,11,90,0,0,0,2,0,0,0,0,0,3,0,14,21.2,0.0,0.0,2.1,50,-4820,43589,244,5064
131,112,6,2,False,2019-11-09T12:30:00Z,2,0,12,90,0,0,0,2,0,0,0,0,0,3,0,16,21.8,0.0,0.0,2.2,50,-1227,42795,467,1694
131,125,10,1,True,2019-11-23T15:00:00Z,1,2,13,90,0,0,0,2,0,0,0,0,0,2,0,13,20.2,0.0,0.0,2.0,50,-1010,42312,1046,2056
131,131,5,8,False,2019-11-30T15:00:00Z,0,2,14,90,0,0,1,0,0,0,0,0,0,3,1,28,23.8,0.0,0.0,2.4,50,666,43380,2114,1448
131,148,3,8,True,2019-12-03T19:30:00Z,1,0,15,90,0,0,1,0,0,0,0,0,0,3,1,27,23.0,0.0,0.0,2.3,50,17093,61715,18006,913
131,159,18,10,False,2019-12-07T15:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,3,3,31,28.0,0.0,0.0,2.8,50,30037,93987,32103,2066
131,164,4,8,True,2019-12-16T19:45:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,9,3,29,58.2,0.0,0.0,5.8,51,77093,178773,81820,4727
131,176,13,2,False,2019-12-21T15:00:00Z,1,0,18,90,0,0,0,1,0,0,0,0,0,2,0,13,15.4,0.0,0.0,1.5,51,42633,239940,49283,6650
131,184,19,2,True,2019-12-26T15:00:00Z,2,1,19,90,0,0,0,1,0,0,0,0,0,1,0,9,6.2,0.0,0.0,0.6,51,28687,255338,39154,10467
131,198,16,3,False,2019-12-28T15:00:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,4,0,17,30.6,0.0,0.0,3.1,51,2049,256657,15740,13691
131,207,14,3,False,2020-01-01T17:30:00Z,1,1,21,90,0,0,0,1,0,0,0,0,0,3,0,13,18.8,0.0,0.0,1.9,51,-6297,252863,15943,22240
131,214,1,3,True,2020-01-11T12:30:00Z,1,1,22,90,0,0,0,1,0,0,0,0,0,3,0,13,26.0,0.0,0.0,2.6,51,-31114,223516,7892,39006
