element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
134,4,8,2,True,2019-08-10T14:00:00Z,0,0,1,90,0,0,1,0,0,0,0,1,0,0,0,-2,1.6,14.8,0.0,1.6,70,0,495302,0,0
134,18,15,2,False,2019-08-18T13:00:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,7,9.6,21.8,8.0,3.9,70,-40613,468348,10692,51305
134,25,12,1,False,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,1,0,0,0,1,0,0,0,3,10.6,10.9,0.0,2.2,69,-100915,369198,2642,103557
134,34,2,2,True,2019-08-31T14:00:00Z,1,0,4,90,0,0,1,0,0,0,0,1,0,0,0,12,21.6,101.3,16.0,13.9,69,-58640,314289,3617,62257
134,48,17,1,False,2019-09-14T14:00:00Z,4,0,5,90,0,0,0,4,0,0,0,1,0,0,0,14,17.2,32.8,0.0,5.0,68,-48253,268156,2044,50297
134,54,20,2,True,2019-09-22T13:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,13,13.8,20.1,9.0,4.3,68,-24796,245254,2512,27308
134,64,14,10,True,2019-09-28T14:00:00Z,2,0,7,90,1,0,1,0,0,0,0,1,0,0,3,34,50.2,22.2,17.0,8.9,67,-22642,223351,1884,24526
134,80,19,0,False,2019-10-05T16:30:00Z,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,-34022,188982,1185,35207
134,84,11,1,True,2019-10-19T16:30:00Z,0,2,9,75,0,0,0,2,0,0,0,1,0,0,0,4,3.0,1.6,8.0,1.3,67,-5721,184945,1989,7710
134,91,1,10,False,2019-10-27T16:30:00Z,2,2,10,90,1,0,0,2,0,0,0,0,0,0,3,40,55.2,3.4,17.0,7.6,67,-3720,181649,1005,4725
134,105,9,2,True,2019-11-03T14:00:00Z,0,2,11,90,0,0,0,2,0,0,0,0,0,0,0,13,13.8,15.1,8.0,3.7,67,1622,184341,5841,4219
134,112,6,2,False,2019-11-09T12:30:00Z,2,0,12,90,0,0,0,2,0,0,0,0,0,0,0,14,9.2,15.5,0.0,2.5,67,-574,184047,3504,4078
134,125,10,2,True,2019-11-23T15:00:00Z,1,2,13,90,0,0,0,2,0,0,0,0,0,0,0,16,19.6,11.7,22.0,5.3,67,-2977,181542,3652,6629
134,131,5,3,False,2019-11-30T15:00:00Z,0,2,14,90,0,0,1,0,0,0,0,0,0,0,0,9,5.8,7.3,1.0,1.4,67,-1415,180565,3271,4686
134,148,3,2,True,2019-12-03T19:30:00Z,1,0,15,90,0,0,1,0,0,0,0,1,0,0,0,2,6.2,17.9,1.0,2.5,67,-789,180144,2607,3396
134,159,18,3,False,2019-12-07T15:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,15,10.4,11.7,0.0,2.2,67,-2404,177874,2348,4752
134,164,4,2,True,2019-12-16T19:45:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,0,0,12,10.4,15.8,0.0,2.6,67,-3233,175014,2054,5287
134,176,13,2,False,2019-12-21T15:00:00Z,1,0,18,90,0,0,0,1,0,0,0,0,0,0,0,13,21.4,26.7,17.0,6.5,67,-2118,173438,2028,4146
134,184,19,2,True,2019-12-26T15:00:00Z,2,1,19,90,0,0,0,1,0,0,0,0,0,0,0,16,9.6,18.3,7.0,3.5,67,-2201,171312,1618,3819
134,198,16,5,False,2019-12-28T15:00:00Z,1,1,20,90,0,1,0,1,0,0,0,1,0,0,1,25,29.6,35.3,1.0,6.6,67,-2208,169264,1151,3359
134,207,14,2,False,2020-01-01T17:30:00Z,1,1,21,90,0,0,0,1,0,0,0,0,0,0,0,11,11.8,3.9,10.0,2.6,67,-863,168718,2518,3381
134,214,1,0,True,2020-01-11T12:30:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,-11847,156754,483,12330
