element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
143,4,7,8,False,2019-08-10T14:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,2,26,24.8,0.5,0.0,2.5,55,0,159291,0,0
143,15,18,6,True,2019-08-17T14:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,27,31.0,0.2,0.0,3.1,55,6752,193361,17326,10574
143,21,2,1,False,2019-08-23T19:00:00Z,2,0,3,90,0,0,0,2,0,0,0,0,0,0,0,12,10.0,11.1,6.0,2.7,55,30661,246010,46539,15878
143,35,20,1,True,2019-09-01T13:00:00Z,3,2,4,90,0,0,0,2,0,0,0,0,0,0,0,15,28.2,0.4,4.0,3.3,55,-2869,247406,22074,24943
143,42,3,1,False,2019-09-15T13:00:00Z,3,1,5,90,0,0,0,3,0,0,0,0,0,0,0,12,13.6,0.7,0.0,1.4,55,-3428,249449,18657,22085
143,55,15,1,True,2019-09-21T14:00:00Z,0,2,6,90,0,0,0,2,0,0,0,0,0,0,0,14,10.8,1.7,2.0,1.5,55,-8316,243922,6814,15130
143,65,11,1,True,2019-09-28T16:30:00Z,1,3,7,90,0,0,0,3,0,0,0,0,0,0,0,13,13.2,0.6,2.0,1.6,55,-29983,213594,1514,31497
143,73,5,2,False,2019-10-05T14:00:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,0,0,7,11.6,0.3,11.0,2.3,55,-11406,203909,1935,13341
143,85,19,7,True,2019-10-19T11:30:00Z,2,0,9,90,0,0,1,0,0,0,0,0,0,0,1,28,18.2,0.3,21.0,4.0,55,-7723,197516,2760,10483
143,92,4,1,False,2019-10-26T14:00:00Z,3,2,10,90,0,0,0,3,0,0,0,0,0,0,0,9,6.4,0.1,0.0,0.7,55,2189,201326,5444,3255
143,106,17,0,True,2019-11-03T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-9365,192237,2113,11478
143,118,16,1,False,2019-11-09T15:00:00Z,1,2,12,1,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.0,0.0,0.0,54,-7331,185730,1914,9245
143,126,14,0,True,2019-11-23T15:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-7871,178507,2039,9910
143,133,9,1,False,2019-12-01T16:30:00Z,2,1,14,90,0,0,0,2,0,0,0,0,0,0,0,7,21.8,3.4,17.0,4.2,54,-11285,167231,389,11674
143,149,10,6,False,2019-12-04T20:15:00Z,5,2,15,90,1,0,0,5,0,0,0,0,0,0,0,21,38.4,0.5,59.0,9.8,53,-4544,163175,322,4866
143,154,6,2,True,2019-12-07T12:30:00Z,3,1,16,90,0,0,0,1,0,0,0,0,0,0,0,10,22.4,0.3,2.0,2.5,53,-1935,161779,1695,3630
143,167,12,2,False,2019-12-15T14:00:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,0,0,10,12.0,0.3,6.0,1.8,53,-1596,160807,2798,4394
143,174,1,1,True,2019-12-21T12:30:00Z,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,2.0,0.2,53,2119,165525,5542,3423
143,185,5,0,True,2019-12-26T15:00:00Z,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1459,162869,2220,3679
143,196,13,2,False,2019-12-28T15:00:00Z,1,2,20,90,0,0,0,1,0,0,0,0,0,0,0,21,34.8,10.1,7.0,5.2,53,-4128,158858,722,4850
143,205,11,0,False,2020-01-01T17:30:00Z,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3232,155996,1294,4526
143,215,4,6,True,2020-01-11T15:00:00Z,1,0,22,90,0,0,1,0,0,0,0,0,0,0,0,24,23.6,0.8,13.0,3.7,53,-3432,152962,1077,4509
143,230,19,0,False,2020-01-18T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-585,152882,1778,2363
143,233,13,0,True,2020-01-21T19:30:00Z,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-4965,147662,327,5292
143,249,18,1,False,2020-02-01T15:00:00Z,2,3,25,17,0,0,0,0,0,0,0,0,0,0,0,4,4.2,0.0,0.0,0.4,52,-2620,145552,612,3232
143,255,7,2,True,2020-02-08T12:30:00Z,3,1,26,90,0,0,0,1,0,0,0,0,0,0,0,12,25.6,0.2,0.0,2.6,52,-1370,144433,405,1775
143,261,1,0,False,2020-02-23T16:30:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-1333,143202,299,1632
