element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
147,4,7,2,False,2019-08-10T14:00:00Z,0,0,1,68,0,0,1,0,0,0,0,0,0,0,0,5,1.4,11.2,6.0,1.9,60,0,104923,0,0
147,15,18,2,True,2019-08-17T14:00:00Z,1,0,2,71,0,0,1,0,0,0,0,0,0,0,0,6,4.4,0.7,2.0,0.7,60,-3796,111451,11975,15771
147,21,2,1,False,2019-08-23T19:00:00Z,2,0,3,90,0,0,0,2,0,0,0,1,0,0,0,-3,0.0,2.5,18.0,2.0,60,-8205,105709,15180,23385
147,35,20,1,True,2019-09-01T13:00:00Z,3,2,4,14,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.6,8.0,0.9,59,-22762,84229,5073,27835
147,42,3,6,False,2019-09-15T13:00:00Z,3,1,5,70,1,0,0,2,0,0,0,0,0,0,0,22,34.4,0.8,64.0,9.9,58,-15486,70194,2976,18462
147,55,15,0,True,2019-09-21T14:00:00Z,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,3232,75437,10463,7231
147,65,11,6,True,2019-09-28T16:30:00Z,1,3,7,90,1,0,0,3,0,0,0,0,0,0,0,22,34.2,1.7,57.0,9.3,58,-9989,65208,3100,13089
147,73,5,2,False,2019-10-05T14:00:00Z,1,0,8,73,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.8,0.0,0.0,58,11248,78623,15875,4627
147,85,19,0,True,2019-10-19T11:30:00Z,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-1594,77226,5831,7425
147,92,4,7,False,2019-10-26T14:00:00Z,3,2,10,18,1,0,0,2,0,0,0,0,0,0,2,27,33.0,0.6,19.0,5.3,58,-5075,72375,2151,7226
147,106,17,1,True,2019-11-03T16:30:00Z,1,1,11,7,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0.3,7.0,0.5,58,3579,77136,8777,5198
147,118,16,1,False,2019-11-09T15:00:00Z,1,2,12,16,0,0,0,0,0,0,0,0,0,0,0,2,0.4,1.2,20.0,2.2,58,-3479,73602,2731,6210
147,126,14,1,True,2019-11-23T15:00:00Z,0,2,13,24,0,0,0,1,0,0,0,0,0,0,0,6,8.4,21.3,4.0,3.4,58,-1250,73419,5891,7141
147,133,9,2,False,2019-12-01T16:30:00Z,2,1,14,77,0,0,0,1,0,0,0,0,0,0,0,4,2.4,5.0,28.0,3.5,58,-6216,66913,1074,7290
147,149,10,1,False,2019-12-04T20:15:00Z,5,2,15,59,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0.7,10.0,0.8,57,-2562,64647,709,3271
147,154,6,12,True,2019-12-07T12:30:00Z,3,1,16,90,2,0,0,1,0,0,0,1,0,0,3,54,79.0,17.2,92.0,18.8,57,-2819,61964,791,3610
147,167,12,2,False,2019-12-15T14:00:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,0,0,2,4.0,3.1,14.0,2.1,57,18226,82064,21235,3009
147,174,1,2,True,2019-12-21T12:30:00Z,0,0,18,90,0,0,1,0,0,0,0,0,0,0,0,7,5.6,3.3,22.0,3.1,57,18033,103969,22838,4805
147,185,5,7,True,2019-12-26T15:00:00Z,1,0,19,90,1,0,1,0,0,0,0,0,0,0,1,26,31.2,2.6,51.0,8.5,57,8505,110171,16867,8362
147,196,13,12,False,2019-12-28T15:00:00Z,1,2,20,90,2,0,0,1,0,0,0,1,0,0,3,60,80.0,55.0,107.0,24.2,57,32483,144155,37743,5260
147,205,11,1,False,2020-01-01T17:30:00Z,2,1,21,90,0,0,0,2,0,0,0,1,0,0,0,1,0.0,2.0,26.0,2.7,58,121443,268936,143902,22459
147,215,4,1,True,2020-01-11T15:00:00Z,1,0,22,90,0,0,1,0,0,0,0,1,0,0,0,-1,6.0,4.8,97.0,10.8,59,236939,513848,266754,29815
147,230,19,8,False,2020-01-18T15:00:00Z,1,1,23,90,1,0,0,1,0,0,0,0,0,0,2,26,29.2,7.9,76.0,11.3,59,8529,521288,87395,78866
147,233,13,5,True,2020-01-21T19:30:00Z,2,2,24,90,1,0,0,2,0,0,0,1,0,0,0,26,38.6,38.1,26.0,10.3,60,174323,716299,198320,23997
147,249,18,2,False,2020-02-01T15:00:00Z,2,3,25,72,0,0,0,2,0,0,0,0,0,0,0,0,2.4,5.6,27.0,3.5,61,133652,839363,190684,57032
147,255,7,11,True,2020-02-08T12:30:00Z,3,1,26,90,1,1,0,1,0,0,0,0,0,0,2,36,51.6,13.9,76.0,14.2,61,-14028,824531,57127,71155
147,261,1,0,False,2020-02-23T16:30:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,105576,934013,178490,72914
