element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
153,4,7,0,False,2019-08-10T14:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,0,49374,0,0
153,15,18,1,True,2019-08-17T14:00:00Z,1,0,2,27,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.5,0.0,0.3,65,-9050,47822,2388,11438
153,21,2,1,False,2019-08-23T19:00:00Z,2,0,3,12,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,0.6,6.0,0.5,64,-7867,41721,1176,9043
153,35,20,0,True,2019-09-01T13:00:00Z,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-5401,37581,976,6377
153,42,3,1,False,2019-09-15T13:00:00Z,3,1,5,9,0,0,0,0,0,0,0,0,0,0,0,2,8.2,0.7,9.0,1.8,63,-4159,34548,931,5090
153,55,15,1,True,2019-09-21T14:00:00Z,0,2,6,19,0,0,0,1,0,0,0,0,0,0,0,4,2.6,5.2,30.0,3.8,63,-1660,33555,752,2412
153,65,11,1,True,2019-09-28T16:30:00Z,1,3,7,6,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,63,-2148,31838,467,2615
153,73,5,0,False,2019-10-05T14:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-2263,29806,295,2558
153,85,19,6,True,2019-10-19T11:30:00Z,2,0,9,85,0,1,1,0,0,0,0,0,0,0,0,16,23.6,27.0,102.0,15.3,62,-650,29619,494,1144
153,92,4,2,False,2019-10-26T14:00:00Z,3,2,10,71,0,0,0,1,0,0,0,0,0,0,0,-3,5.8,2.1,54.0,6.2,62,1192,31221,1660,468
153,106,17,1,True,2019-11-03T16:30:00Z,1,1,11,67,0,0,0,1,0,0,0,1,0,0,0,4,5.2,14.3,6.0,2.6,62,-160,31457,1197,1357
153,118,16,2,False,2019-11-09T15:00:00Z,1,2,12,73,0,0,0,1,0,0,0,0,0,0,0,13,11.2,39.1,26.0,7.6,62,332,32165,1347,1015
153,126,14,2,True,2019-11-23T15:00:00Z,0,2,13,65,0,0,0,1,0,0,0,0,0,0,0,1,3.4,3.2,26.0,3.3,62,1041,33751,2499,1458
153,133,9,0,False,2019-12-01T16:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-2072,31635,226,2298
153,149,10,0,False,2019-12-04T20:15:00Z,5,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-1451,30263,24,1475
153,154,6,2,True,2019-12-07T12:30:00Z,3,1,16,85,0,0,0,1,0,0,0,0,0,0,0,3,1.6,13.8,40.0,5.5,62,-486,29894,147,633
153,167,12,0,False,2019-12-15T14:00:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-1229,28694,105,1334
153,174,1,0,True,2019-12-21T12:30:00Z,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-1030,27677,14,1044
153,185,5,1,True,2019-12-26T15:00:00Z,1,0,19,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,62,-482,27257,11,493
153,196,13,2,False,2019-12-28T15:00:00Z,1,2,20,69,0,0,0,1,0,0,0,0,0,0,0,9,2.6,11.0,12.0,2.6,62,139,27534,286,147
153,205,11,4,False,2020-01-01T17:30:00Z,2,1,21,31,0,1,0,0,0,0,0,0,0,0,0,12,0.0,1.6,18.0,2.0,62,107,27804,414,307
153,215,4,3,True,2020-01-11T15:00:00Z,1,0,22,73,0,0,1,0,0,0,0,0,0,0,0,2,9.6,16.2,21.0,4.7,62,710,28831,1193,483
