element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
159,5,20,9,True,2019-08-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,3,32,23.4,26.2,9.0,5.9,60,0,311670,0,0
159,14,6,2,False,2019-08-18T15:30:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,11,32.2,7.2,3.0,4.2,60,-5450,351659,18141,23591
159,27,15,2,False,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,14,19.4,3.3,0.0,2.3,60,5725,371329,34696,28971
159,36,3,2,True,2019-08-31T14:00:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,0,0,15,32.6,13.7,2.0,4.8,60,-12950,364788,17178,30128
159,45,12,2,False,2019-09-14T14:00:00Z,1,0,5,90,0,0,0,1,0,0,0,0,0,0,0,6,11.2,2.9,4.0,1.8,60,-24980,343914,10262,35242
159,56,17,9,True,2019-09-21T11:30:00Z,2,1,6,90,1,0,0,1,0,0,0,0,0,0,1,25,51.8,12.3,24.0,8.8,60,-15674,331822,4704,20378
159,66,13,13,True,2019-09-29T15:30:00Z,5,0,7,90,1,0,1,0,0,0,0,0,0,0,1,35,47.6,18.4,9.0,7.5,60,100922,449907,114506,13584
159,74,10,1,False,2019-10-05T14:00:00Z,2,1,8,90,0,0,0,2,0,0,0,0,0,0,0,16,24.6,3.3,0.0,2.8,61,100487,557518,118981,18494
159,86,5,2,True,2019-10-19T14:00:00Z,2,1,9,90,0,0,0,1,0,0,0,0,0,0,0,24,38.4,67.7,16.0,12.2,62,235769,823524,254644,18875
159,98,16,6,False,2019-10-25T19:00:00Z,0,9,10,90,0,0,1,0,0,0,0,0,0,0,0,22,24.8,7.4,4.0,3.6,62,82443,901347,102501,20058
159,105,7,6,False,2019-11-03T14:00:00Z,0,2,11,90,0,0,1,0,0,0,0,0,0,0,0,21,17.4,2.2,4.0,2.4,63,81479,990098,117452,35973
159,113,1,7,True,2019-11-09T17:30:00Z,2,0,12,90,0,0,1,0,0,0,0,0,0,0,1,28,30.2,16.8,10.0,5.7,63,22408,1015019,50412,28004
159,124,4,7,False,2019-11-23T15:00:00Z,0,2,13,90,0,0,1,0,0,0,0,0,0,0,1,32,22.4,5.1,0.0,2.8,64,49998,1076239,87493,37495
159,133,8,7,True,2019-12-01T16:30:00Z,2,1,14,90,0,1,0,1,0,0,0,0,0,0,2,27,36.2,29.7,23.0,8.9,64,25282,1104793,54131,28849
159,143,18,7,True,2019-12-04T19:30:00Z,2,0,15,90,0,0,1,0,0,0,0,0,0,0,1,32,22.4,15.9,4.0,4.2,64,31022,1141611,45259,14237
159,151,2,1,False,2019-12-08T14:00:00Z,1,4,16,90,0,0,0,1,0,0,0,1,0,0,0,7,30.2,28.6,26.0,8.5,65,79765,1229547,93336,13571
159,165,14,2,True,2019-12-14T15:00:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,0,0,14,20.8,9.5,5.0,3.5,65,21332,1257799,59699,38367
159,175,11,1,False,2019-12-21T17:30:00Z,3,1,18,90,0,0,0,3,0,0,0,0,0,0,0,3,2.6,0.7,0.0,0.3,65,-19658,1230668,36606,56264
159,186,10,0,True,2019-12-26T20:00:00Z,0,4,19,90,0,0,0,4,0,0,0,0,0,0,0,21,28.6,1.6,4.0,3.4,65,-42030,1201524,14399,56429
159,200,19,0,False,2019-12-28T17:30:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-50479,1157304,17055,67534
159,206,13,6,False,2020-01-01T15:00:00Z,0,3,21,90,0,0,1,0,0,0,0,0,0,0,0,27,17.6,9.8,0.0,2.7,64,-60337,1101502,27880,88217
159,216,16,1,True,2020-01-11T15:00:00Z,1,2,22,90,0,0,0,2,0,0,0,0,0,0,0,22,21.4,1.8,0.0,2.3,64,-8084,1100445,41680,49764
159,223,5,1,False,2020-01-19T14:00:00Z,2,1,23,90,0,0,0,2,0,0,0,0,0,0,0,19,27.6,28.3,12.0,6.8,64,-68824,1033265,16152,84976
159,234,19,12,True,2020-01-22T19:30:00Z,4,1,24,90,1,1,0,1,0,0,0,0,0,0,1,39,69.8,35.1,41.0,14.6,63,-79732,950361,15218,94950
159,244,6,1,True,2020-02-01T12:30:00Z,2,2,25,90,0,0,0,2,0,0,0,0,0,0,0,5,10.6,2.5,10.0,2.3,63,26508,990372,62590,36082
159,260,20,6,False,2020-02-14T20:00:00Z,0,0,26,90,0,0,1,0,0,0,0,0,0,0,0,23,16.2,19.7,6.0,4.2,63,-12343,978325,23857,36200
159,265,11,2,True,2020-02-22T17:30:00Z,0,1,27,90,0,0,0,1,0,0,0,0,0,0,0,13,25.0,25.8,13.0,6.4,63,-4156,978195,25625,29781
