element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
15,10,13,0,False,2019-08-11T13:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,0,100612,0,0
15,11,5,0,True,2019-08-17T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74,-38226,64919,1693,39919
15,24,10,0,False,2019-08-24T16:30:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74,-19044,47899,461,19505
15,31,17,0,True,2019-09-01T15:30:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-8623,40370,370,8993
15,49,18,2,False,2019-09-15T15:30:00Z,2,2,5,70,0,0,0,1,0,0,0,0,0,0,0,15,6.4,18.8,2.0,2.7,73,-2017,41077,1842,3859
15,51,2,0,True,2019-09-22T15:30:00Z,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,3818,47272,5897,2079
15,67,12,0,False,2019-09-30T19:00:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-3491,45353,1891,5382
15,71,3,0,True,2019-10-06T13:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-2215,44586,1568,3783
15,88,15,0,False,2019-10-21T19:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,72,-1527,44711,1279,2806
15,91,7,0,True,2019-10-27T16:30:00Z,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,72,-815,44651,550,1365
15,101,20,2,True,2019-11-02T15:00:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,14,13.4,54.8,8.0,7.6,72,1608,47557,3449,1841
15,113,9,2,False,2019-11-09T17:30:00Z,2,0,12,90,0,0,0,2,0,0,0,0,0,0,0,12,8.6,18.7,2.0,2.9,72,1870,50451,3501,1631
15,121,16,2,True,2019-11-23T15:00:00Z,2,2,13,90,0,0,0,2,0,0,0,0,0,0,0,16,20.0,60.7,25.0,10.6,72,6079,58599,8869,2790
15,137,14,6,False,2019-12-01T14:00:00Z,2,2,14,88,0,1,0,2,0,0,0,0,0,0,1,26,16.4,71.3,39.0,12.7,72,-82,58780,3950,4032
15,141,4,5,True,2019-12-05T20:15:00Z,1,2,15,90,0,1,0,2,0,0,0,0,0,0,0,17,19.8,35.2,12.0,6.7,72,5194,64873,7085,1891
15,160,19,2,False,2019-12-09T20:00:00Z,1,3,16,90,0,0,0,1,0,0,0,0,0,0,0,9,7.2,31.3,9.0,4.8,72,627,65997,4639,4012
15,161,11,1,True,2019-12-15T16:30:00Z,0,3,17,58,0,0,0,3,0,0,0,0,0,0,0,7,3.4,13.8,2.0,1.9,72,-4531,62337,2738,7269
15,174,8,0,False,2019-12-21T12:30:00Z,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,72,-2301,61218,4357,6658
15,182,3,2,False,2019-12-26T15:00:00Z,1,1,19,74,0,0,0,1,0,0,0,0,0,0,0,11,12.6,50.8,26.0,8.9,72,-917,60856,4299,5216
15,191,6,3,True,2019-12-29T14:00:00Z,1,2,20,75,0,0,1,0,0,0,0,0,0,0,0,10,5.8,36.7,0.0,4.3,72,2453,64087,4909,2456
15,201,12,3,True,2020-01-01T20:00:00Z,2,0,21,90,0,0,1,0,0,0,0,0,0,0,0,12,7.6,17.8,0.0,2.5,72,2907,67976,7152,4245
15,214,7,2,False,2020-01-11T12:30:00Z,1,1,22,69,0,0,0,1,0,0,0,0,0,0,0,2,3.6,5.0,0.0,0.9,72,18872,89457,24692,5820
15,221,15,2,True,2020-01-18T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,0,0,17,17.0,53.3,2.0,7.2,72,-1090,89406,9262,10352
15,238,6,1,False,2020-01-21T20:15:00Z,2,2,24,54,0,0,0,1,0,0,0,0,0,0,0,9,4.4,3.1,0.0,0.8,72,-7671,81530,2700,10371
15,242,5,2,False,2020-02-02T14:00:00Z,0,0,25,62,0,0,1,0,0,0,0,1,0,0,0,11,5.8,27.8,12.0,4.6,72,-2678,80818,5854,8532
15,251,13,0,True,2020-02-16T16:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,72,-2882,78496,2755,5637
