element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
165,5,20,0,True,2019-08-11T13:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,84689,0,0
165,14,6,0,False,2019-08-18T15:30:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-10493,80900,1943,12436
165,27,15,1,False,2019-08-24T14:00:00Z,1,2,3,12,0,0,0,0,0,0,0,0,0,0,0,5,9.0,0.0,0.0,0.9,44,-10580,72215,1536,12116
165,36,3,0,True,2019-08-31T14:00:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-7571,66267,2222,9793
165,45,12,0,False,2019-09-14T14:00:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-8014,58936,1784,9798
165,56,17,0,True,2019-09-21T11:30:00Z,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-387,59957,3076,3463
165,66,13,0,True,2019-09-29T15:30:00Z,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-2603,58216,2179,4782
165,74,10,0,False,2019-10-05T14:00:00Z,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-2711,55899,1008,3719
165,86,5,1,True,2019-10-19T14:00:00Z,2,1,9,11,0,0,0,0,0,0,0,0,0,0,0,4,6.0,0.0,0.0,0.6,43,-2101,54411,822,2923
165,98,16,0,False,2019-10-25T19:00:00Z,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-929,53819,542,1471
165,105,7,1,False,2019-11-03T14:00:00Z,0,2,11,5,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,42,-1749,52550,1385,3134
165,113,1,0,True,2019-11-09T17:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1163,51720,991,2154
165,124,4,1,False,2019-11-23T15:00:00Z,0,2,13,28,0,0,0,0,0,0,0,0,0,0,0,4,7.2,0.1,0.0,0.7,42,-2222,49906,1039,3261
165,133,8,0,True,2019-12-01T16:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1108,49069,782,1890
165,143,18,0,True,2019-12-04T19:30:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-868,48373,427,1295
165,151,2,0,False,2019-12-08T14:00:00Z,1,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1254,47268,386,1640
165,165,14,0,True,2019-12-14T15:00:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-556,47141,1282,1838
165,175,11,0,False,2019-12-21T17:30:00Z,3,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-81,47915,1363,1444
165,186,10,0,True,2019-12-26T20:00:00Z,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-1,47739,1058,1059
165,200,19,2,False,2019-12-28T17:30:00Z,1,2,20,90,0,0,0,1,0,0,0,0,0,0,0,11,18.8,0.4,36.0,5.5,41,-240,47747,726,966
165,206,13,1,False,2020-01-01T15:00:00Z,0,3,21,6,0,0,0,0,0,0,0,0,0,0,0,3,3.4,0.2,0.0,0.4,41,995,49026,2404,1409
165,216,16,0,True,2020-01-11T15:00:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-1323,47790,1314,2637
165,223,5,0,False,2020-01-19T14:00:00Z,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-2017,45791,323,2340
165,234,19,1,True,2020-01-22T19:30:00Z,4,1,24,7,0,0,0,0,0,0,0,0,0,0,0,3,1.4,0.0,0.0,0.1,41,-195,45959,671,866
165,244,6,0,True,2020-02-01T12:30:00Z,2,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-910,44985,655,1565
165,260,20,1,False,2020-02-14T20:00:00Z,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,41,-1335,43666,45,1380
165,265,11,0,True,2020-02-22T17:30:00Z,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,37,43880,667,630
