element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
166,5,20,2,True,2019-08-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,5,6.8,4.9,4.0,1.6,90,0,586801,0,0
166,14,6,2,False,2019-08-18T15:30:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,-3,0.0,2.3,10.0,0.9,90,-82257,551733,18334,100591
166,27,15,8,False,2019-08-24T14:00:00Z,1,2,3,90,1,0,0,1,0,0,0,0,0,0,2,25,33.6,1.8,27.0,6.2,89,-78612,488259,32101,110713
166,36,3,16,True,2019-08-31T14:00:00Z,3,1,4,90,2,1,0,1,0,0,0,0,0,0,3,63,87.6,13.6,45.0,14.6,89,-7210,499553,49194,56404
166,45,12,2,False,2019-09-14T14:00:00Z,1,0,5,90,0,0,0,1,0,0,0,0,0,0,0,5,1.2,11.3,4.0,1.7,89,83507,613077,136063,52556
166,56,17,2,True,2019-09-21T11:30:00Z,2,1,6,90,0,0,0,1,0,0,0,0,0,0,0,0,4.2,11.2,45.0,6.0,89,-54500,557628,23463,77963
166,66,13,12,True,2019-09-29T15:30:00Z,5,0,7,90,2,0,1,0,0,0,0,1,0,0,3,47,64.4,12.8,64.0,14.1,89,24837,597729,78689,53852
166,74,10,2,False,2019-10-05T14:00:00Z,2,1,8,90,0,0,0,2,0,0,0,0,0,0,0,1,6.2,1.8,10.0,1.8,89,33048,634677,74485,41437
166,86,5,8,True,2019-10-19T14:00:00Z,2,1,9,90,1,0,0,1,0,0,0,0,0,0,2,30,34.2,16.5,21.0,7.2,90,155188,807733,186366,31178
166,98,16,20,False,2019-10-25T19:00:00Z,0,9,10,90,3,1,1,0,0,0,0,0,0,0,3,89,105.4,3.0,93.0,20.1,91,263104,1080468,275941,12837
166,105,7,6,False,2019-11-03T14:00:00Z,0,2,11,90,1,0,1,0,0,0,0,0,0,0,0,25,37.8,0.9,40.0,7.9,93,664797,1773320,677105,12308
166,113,1,12,True,2019-11-09T17:30:00Z,2,0,12,90,1,1,1,0,0,0,0,0,0,0,3,38,54.6,21.8,48.0,12.4,94,361319,2148771,374313,12994
166,124,4,12,False,2019-11-23T15:00:00Z,0,2,13,90,1,1,1,0,0,0,0,0,0,0,3,38,59.0,12.8,95.0,16.7,96,544878,2726238,553698,8820
166,133,8,6,True,2019-12-01T16:30:00Z,2,1,14,90,1,0,0,1,0,0,0,0,0,0,0,25,38.6,16.7,69.0,12.4,98,439370,3169067,447010,7640
166,143,18,5,True,2019-12-04T19:30:00Z,2,0,15,90,1,0,1,0,0,0,0,1,0,0,0,24,33.6,3.3,39.0,7.6,99,184299,3353947,188348,4049
166,151,2,13,False,2019-12-08T14:00:00Z,1,4,16,90,2,0,0,1,0,0,0,0,0,0,3,61,85.2,21.7,95.0,20.2,100,129726,3496234,139958,10232
166,165,14,5,True,2019-12-14T15:00:00Z,1,1,17,90,0,1,0,1,0,0,0,0,0,0,0,14,7.0,5.3,70.0,8.2,101,173145,3698146,180517,7372
166,175,11,9,False,2019-12-21T17:30:00Z,3,1,18,90,1,0,0,3,0,0,0,0,0,0,3,37,42.2,15.5,31.0,8.9,101,-12923,3654273,58937,71860
166,186,10,2,True,2019-12-26T20:00:00Z,0,4,19,90,0,0,0,4,0,0,0,0,0,0,0,5,3.2,1.6,6.0,1.1,101,6162,3707001,52571,46409
166,200,19,0,False,2019-12-28T17:30:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,101,22749,3745990,54066,31317
166,206,13,0,False,2020-01-01T15:00:00Z,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,101,-4061,3757751,59538,63599
166,216,16,5,True,2020-01-11T15:00:00Z,1,2,22,90,0,1,0,2,0,0,0,0,0,0,0,21,24.4,20.8,2.0,4.7,100,-120577,3647189,137293,257870
166,223,5,0,False,2020-01-19T14:00:00Z,2,1,23,90,0,0,0,2,0,0,1,0,0,0,0,-4,13.2,1.3,42.0,5.7,101,70370,3734531,171743,101373
166,234,19,1,True,2020-01-22T19:30:00Z,4,1,24,42,0,0,0,0,0,0,0,0,0,0,0,7,6.6,5.3,21.0,3.3,100,-230935,3475241,59925,290860
166,244,6,2,True,2020-02-01T12:30:00Z,2,2,25,79,0,0,0,2,0,0,0,0,0,0,0,6,2.2,16.7,17.0,3.6,99,-498712,3004159,58985,557697
166,260,20,2,False,2020-02-14T20:00:00Z,0,0,26,90,0,0,1,0,0,0,0,0,0,0,0,6,0.4,2.3,2.0,0.5,98,-256752,2760109,35548,292300
166,265,11,2,True,2020-02-22T17:30:00Z,0,1,27,90,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.4,19.0,1.5,97,-215734,2553509,47590,263324
