element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
180,5,20,3,True,2019-08-11T13:00:00Z,0,0,1,60,0,0,1,0,0,0,0,0,0,0,0,15,10.6,12.4,8.0,3.1,45,0,30605,0,0
180,14,6,2,False,2019-08-18T15:30:00Z,1,1,2,72,0,0,0,1,0,0,0,0,0,0,0,8,5.4,11.7,10.0,2.7,45,15393,61138,21810,6417
180,27,15,2,False,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,16,23.6,1.8,2.0,2.7,45,1576,63516,9629,8053
180,36,3,1,True,2019-08-31T14:00:00Z,3,1,4,19,0,0,0,0,0,0,0,0,0,0,0,3,0.8,1.6,2.0,0.4,45,5346,71909,13918,8572
180,45,12,1,False,2019-09-14T14:00:00Z,1,0,5,56,0,0,0,1,0,0,0,0,0,0,0,8,14.2,1.8,21.0,3.7,45,-1570,70768,7102,8672
180,56,17,4,True,2019-09-21T11:30:00Z,2,1,6,6,0,1,0,0,0,0,0,0,0,0,0,13,17.2,10.3,0.0,2.8,45,-676,70900,4915,5591
180,66,13,1,True,2019-09-29T15:30:00Z,5,0,7,11,0,0,0,0,0,0,0,0,0,0,0,3,1.0,1.2,0.0,0.2,45,7314,80088,13186,5872
180,74,10,0,False,2019-10-05T14:00:00Z,2,1,8,4,0,0,0,1,0,0,0,1,0,0,0,-1,0.0,0.7,0.0,0.0,45,-1127,78502,5846,6973
180,86,5,0,True,2019-10-19T14:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4410,74345,2452,6862
180,98,16,0,False,2019-10-25T19:00:00Z,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-3751,70793,813,4564
180,105,7,0,False,2019-11-03T14:00:00Z,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-6678,64155,876,7554
180,113,1,0,True,2019-11-09T17:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4076,60109,480,4556
180,124,4,0,False,2019-11-23T15:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-5285,54959,586,5871
180,133,8,0,True,2019-12-01T16:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-3423,51872,507,3930
180,143,18,1,True,2019-12-04T19:30:00Z,2,0,15,21,0,0,0,0,0,0,0,0,0,0,0,2,2.2,1.4,0.0,0.4,44,-1972,50100,241,2213
180,151,2,0,False,2019-12-08T14:00:00Z,1,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2077,48061,253,2330
180,165,14,0,True,2019-12-14T15:00:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,3045,52305,6084,3039
180,175,11,0,False,2019-12-21T17:30:00Z,3,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,3746,60182,7171,3425
180,186,10,1,True,2019-12-26T20:00:00Z,0,4,19,14,0,0,0,1,0,0,0,0,0,0,0,2,1.8,0.9,0.0,0.3,43,1381,58271,4302,2921
180,200,19,1,False,2019-12-28T17:30:00Z,1,2,20,90,0,0,0,1,0,0,0,1,0,0,0,11,6.6,3.2,18.0,2.8,43,1044,59452,3176,2132
180,206,13,6,False,2020-01-01T15:00:00Z,0,3,21,13,1,0,0,0,0,0,0,0,0,0,0,21,34.6,1.4,7.0,4.3,43,1884,61467,6200,4316
180,216,16,2,True,2020-01-11T15:00:00Z,1,2,22,90,0,0,0,2,0,0,0,0,0,0,0,10,14.4,3.4,2.0,2.0,43,4988,67231,10678,5690
180,223,5,0,False,2020-01-19T14:00:00Z,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,4487,72248,9669,5182
180,234,19,0,True,2020-01-22T19:30:00Z,4,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1251,71140,2681,3932
180,244,6,2,True,2020-02-01T12:30:00Z,2,2,25,90,0,0,0,2,0,0,0,0,0,0,0,16,16.8,11.0,9.0,3.7,43,-2692,68234,2104,4796
180,260,20,0,False,2020-02-14T20:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-118,68313,2190,2308
