element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
181,1,14,2,True,2019-08-09T19:00:00Z,4,1,1,90,0,0,0,1,0,0,0,0,0,0,0,15,12.4,24.7,7.0,4.4,70,0,1889240,0,0
181,19,16,2,False,2019-08-17T14:00:00Z,1,2,2,90,0,0,0,1,0,0,0,0,0,0,0,14,23.8,18.3,21.0,6.3,70,-128747,1844951,22660,151407
181,24,1,2,True,2019-08-24T16:30:00Z,3,1,3,90,0,0,0,1,0,0,0,0,0,0,0,21,25.0,49.8,37.0,11.2,70,-241307,1626092,22333,263640
181,32,5,6,False,2019-08-31T16:30:00Z,0,3,4,90,0,0,1,0,0,0,0,0,0,0,0,26,9.0,5.0,2.0,1.6,69,-169054,1481300,24738,193792
181,44,13,5,True,2019-09-14T11:30:00Z,3,1,5,90,0,1,0,1,0,0,0,0,0,0,0,26,40.8,33.7,37.0,11.2,69,-119376,1382365,34980,154356
181,53,6,8,False,2019-09-22T15:30:00Z,1,2,6,90,0,1,0,1,0,0,0,0,0,0,3,30,37.6,16.7,2.0,5.6,69,-72129,1318624,21325,93454
181,68,15,6,False,2019-09-28T11:30:00Z,0,1,7,90,0,0,1,0,0,0,0,0,0,0,0,26,18.0,17.0,3.0,3.8,69,-470,1336086,57616,58086
181,74,9,2,True,2019-10-05T14:00:00Z,2,1,8,90,0,0,0,1,0,0,0,0,0,0,0,20,19.0,16.9,21.0,5.7,69,4261,1347696,37689,33428
181,87,12,8,False,2019-10-20T15:30:00Z,1,1,9,90,0,1,0,1,0,0,0,0,0,0,3,32,40.2,33.2,2.0,7.5,69,-23734,1332521,34739,58473
181,94,17,2,True,2019-10-27T16:30:00Z,2,1,10,90,0,0,0,1,0,0,0,0,0,0,0,25,21.8,32.0,16.0,7.0,69,23000,1362420,56224,33224
181,102,2,9,False,2019-11-02T15:00:00Z,1,2,11,90,1,0,0,1,0,0,0,0,0,0,1,25,54.6,24.1,35.0,11.4,69,56073,1433018,87824,31751
181,114,11,5,True,2019-11-10T16:30:00Z,3,1,12,90,0,1,0,1,0,0,0,0,0,0,0,24,36.2,29.7,0.0,6.6,69,61932,1499335,81187,19255
181,125,7,6,False,2019-11-23T15:00:00Z,1,2,13,90,0,1,0,1,0,0,0,0,0,0,1,25,37.0,23.3,0.0,6.0,70,-22245,1478536,83478,105723
181,134,4,2,True,2019-11-30T15:00:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,9,11.6,5.7,13.0,3.0,70,108997,1610506,123886,14889
181,149,8,1,True,2019-12-04T20:15:00Z,5,2,15,90,0,0,0,2,0,0,0,0,0,0,0,9,13.6,26.3,0.0,4.0,71,-3577,1603499,26982,30559
181,152,3,6,False,2019-12-07T15:00:00Z,0,3,16,75,0,0,1,0,0,0,0,0,0,0,0,24,6.0,3.6,2.0,1.2,71,-35914,1570537,23372,59286
181,166,18,1,True,2019-12-14T12:30:00Z,2,0,17,31,0,0,0,0,0,0,0,0,0,0,0,4,4.0,11.3,4.0,1.9,71,12,1579479,41800,41788
181,186,9,7,False,2019-12-26T20:00:00Z,0,4,19,90,0,0,1,0,0,0,0,0,0,0,1,39,31.0,38.2,4.0,7.3,70,-21789,1404491,17376,39165
181,194,20,6,True,2019-12-29T16:30:00Z,1,0,20,90,0,0,1,0,0,0,0,0,0,0,0,19,11.6,16.5,2.0,3.0,70,-36454,1372422,25518,61972
181,204,15,12,True,2020-01-02T20:00:00Z,2,0,21,87,0,1,1,0,0,0,0,0,0,0,3,46,33.4,66.3,14.0,11.4,70,-15332,1360684,39146,54478
181,219,17,6,False,2020-01-11T17:30:00Z,0,1,22,90,0,0,1,0,0,0,0,0,0,0,0,21,6.4,10.9,10.0,2.7,70,44946,1413313,80176,35230
181,224,12,6,True,2020-01-19T16:30:00Z,2,0,23,90,0,0,1,0,0,0,0,0,0,0,0,24,11.0,18.6,4.0,3.4,70,48096,1465772,79168,31072
181,237,20,1,False,2020-01-23T20:00:00Z,1,2,24,90,0,0,0,1,0,0,0,1,0,0,0,11,10.0,20.5,0.0,3.1,70,62628,1532185,103141,40513
181,180,19,6,False,2020-01-29T19:45:00Z,0,2,24,90,0,0,1,0,0,0,0,0,0,0,0,24,7.4,6.4,8.0,2.2,70,62628,1532185,103141,40513
181,245,16,6,True,2020-02-01T15:00:00Z,4,0,25,90,0,0,1,0,0,0,0,0,0,0,0,29,23.8,4.8,2.0,3.1,70,3588,1538739,60726,57138
181,257,14,9,False,2020-02-15T17:30:00Z,0,1,26,90,0,0,1,0,0,0,0,0,0,0,3,29,18.4,55.3,24.0,9.8,70,-13412,1525983,29673,43085
181,266,19,0,True,2020-02-24T20:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,17022,1548209,40181,23159
