element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
185,1,14,0,True,2019-08-09T19:00:00Z,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,65735,0,0
185,19,16,2,False,2019-08-17T14:00:00Z,1,2,2,90,0,0,0,1,0,0,0,0,0,0,0,14,29.2,1.3,4.0,3.5,54,-15407,58235,3002,18409
185,24,1,9,True,2019-08-24T16:30:00Z,3,1,3,90,1,0,0,1,0,0,0,0,0,0,1,30,55.4,11.3,19.0,8.6,54,-1244,61495,8528,9772
185,32,5,6,False,2019-08-31T16:30:00Z,0,3,4,90,0,0,1,0,0,0,0,0,0,0,0,21,11.2,0.8,0.0,1.2,54,72679,153503,92819,20140
185,44,13,2,True,2019-09-14T11:30:00Z,3,1,5,90,0,0,0,1,0,0,0,0,0,0,0,17,24.0,3.9,8.0,3.6,55,128677,297744,158336,29659
185,53,6,2,False,2019-09-22T15:30:00Z,1,2,6,90,0,0,0,1,0,0,0,0,0,0,0,13,26.2,0.3,4.0,3.1,55,17159,317126,48682,31523
185,68,15,9,False,2019-09-28T11:30:00Z,0,1,7,90,0,0,1,0,0,0,0,0,0,0,3,30,21.8,2.0,0.0,2.4,55,42201,370069,69121,26920
185,74,9,0,True,2019-10-05T14:00:00Z,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-41881,321515,35984,77865
185,87,12,2,False,2019-10-20T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,16,24.6,1.3,0.0,2.6,55,-33356,293610,11545,44901
185,94,17,0,True,2019-10-27T16:30:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-6913,289945,11747,18660
185,102,2,0,False,2019-11-02T15:00:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-79938,209116,2973,82911
185,114,11,0,True,2019-11-10T16:30:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-49971,159801,243,50214
185,125,7,0,False,2019-11-23T15:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-30570,130460,308,30878
185,134,4,0,True,2019-11-30T15:00:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-13787,117503,113,13900
185,149,8,0,True,2019-12-04T20:15:00Z,5,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-6920,111044,41,6961
185,152,3,0,False,2019-12-07T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-6613,104515,45,6658
185,166,18,0,True,2019-12-14T12:30:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-6071,98445,67,6138
185,186,9,0,False,2019-12-26T20:00:00Z,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-2001,92803,47,2048
185,194,20,0,True,2019-12-29T16:30:00Z,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-1659,91219,28,1687
185,204,15,0,True,2020-01-02T20:00:00Z,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-2070,89174,64,2134
185,219,17,0,False,2020-01-11T17:30:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-2123,87087,76,2199
185,224,12,0,True,2020-01-19T16:30:00Z,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-1088,86048,264,1352
185,237,20,0,False,2020-01-23T20:00:00Z,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-18,86118,782,800
185,180,19,0,False,2020-01-29T19:45:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-18,86118,782,800
185,245,16,0,True,2020-02-01T15:00:00Z,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-476,85845,604,1080
185,257,14,0,False,2020-02-15T17:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-631,85300,189,820
