element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
188,1,14,12,True,2019-08-09T19:00:00Z,4,1,1,73,1,1,0,1,0,0,0,0,0,0,3,46,45.4,26.4,21.0,9.3,55,0,165505,0,0
188,19,16,1,False,2019-08-17T14:00:00Z,1,2,2,11,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.6,0.0,0.1,56,163204,479825,205039,41835
188,24,1,0,True,2019-08-24T16:30:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-51457,435488,63726,115183
188,32,5,1,False,2019-08-31T16:30:00Z,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.8,2.0,0.2,55,-91558,353457,27831,119389
188,44,13,1,True,2019-09-14T11:30:00Z,3,1,5,36,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.8,4.0,0.6,54,-55259,307206,16923,72182
188,53,6,0,False,2019-09-22T15:30:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-62914,246034,1942,64856
188,68,15,1,False,2019-09-28T11:30:00Z,0,1,7,26,0,0,0,0,0,0,0,0,0,0,0,6,6.4,16.5,8.0,3.1,53,-36169,212025,2130,38299
188,74,9,1,True,2019-10-05T14:00:00Z,2,1,8,12,0,0,0,1,0,0,0,0,0,0,0,3,2.2,0.3,0.0,0.3,53,-7895,206375,4429,12324
188,87,12,1,False,2019-10-20T15:30:00Z,1,1,9,59,0,0,0,1,0,0,0,0,0,0,0,3,3.8,3.5,12.0,1.9,53,-8075,199758,3639,11714
188,94,17,1,True,2019-10-27T16:30:00Z,2,1,10,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,53,-2728,198087,3015,5743
188,102,2,1,False,2019-11-02T15:00:00Z,1,2,11,25,0,0,0,0,0,0,0,0,0,0,0,5,2.0,11.6,12.0,2.6,53,-1219,198448,7272,8491
188,114,11,0,True,2019-11-10T16:30:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3715,195532,3706,7421
188,125,7,1,False,2019-11-23T15:00:00Z,1,2,13,26,0,0,0,1,0,0,0,0,0,0,0,1,0.4,0.6,0.0,0.1,52,-2115,195217,6690,8805
188,134,4,1,True,2019-11-30T15:00:00Z,2,1,14,14,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,52,-4376,191222,2690,7066
188,149,8,13,True,2019-12-04T20:15:00Z,5,2,15,72,2,0,0,2,0,0,0,0,0,0,3,55,67.2,2.2,60.0,12.9,52,-3225,188444,1578,4803
188,152,3,0,False,2019-12-07T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,14418,204955,17632,3214
188,166,18,4,True,2019-12-14T12:30:00Z,2,0,17,2,0,1,0,0,0,0,0,0,0,0,0,15,15.0,10.0,4.0,2.9,52,2140,208310,13407,11267
188,186,9,1,False,2019-12-26T20:00:00Z,0,4,19,20,0,0,0,0,0,0,0,0,0,0,0,2,2.0,1.3,2.0,0.5,52,-1708,200502,4193,5901
188,194,20,1,True,2019-12-29T16:30:00Z,1,0,20,4,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.6,0.0,0.2,52,723,202336,6215,5492
188,204,15,1,True,2020-01-02T20:00:00Z,2,0,21,12,0,0,0,0,0,0,0,0,0,0,0,3,1.0,3.1,0.0,0.4,52,-5449,196895,3503,8952
188,219,17,1,False,2020-01-11T17:30:00Z,0,1,22,9,0,0,0,0,0,0,0,0,0,0,0,6,7.2,0.8,23.0,3.1,52,-6312,191325,2929,9241
188,224,12,1,True,2020-01-19T16:30:00Z,2,0,23,7,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,52,-4122,187817,2532,6654
188,237,20,1,False,2020-01-23T20:00:00Z,1,2,24,5,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.1,0.0,0.1,52,728,188928,5072,4344
188,180,19,5,False,2020-01-29T19:45:00Z,0,2,24,68,0,1,1,0,0,0,0,0,0,0,0,13,4.4,1.8,21.0,2.7,52,728,188928,5072,4344
188,245,16,0,True,2020-02-01T15:00:00Z,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,5510,195411,11599,6089
188,257,14,0,False,2020-02-15T17:30:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-6929,188350,1547,8476
188,266,19,0,True,2020-02-24T20:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-5208,183601,1356,6564
