element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
194,1,14,0,True,2019-08-09T19:00:00Z,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,0,25239,0,0
194,19,16,0,False,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-4399,27411,1850,6249
194,24,1,0,True,2019-08-24T16:30:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-4901,24100,709,5610
194,32,5,1,False,2019-08-31T16:30:00Z,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.2,8.0,0.8,64,-2861,22438,700,3561
194,44,13,1,True,2019-09-14T11:30:00Z,3,1,5,6,0,0,0,0,0,0,0,0,0,0,0,3,1.6,1.3,0.0,0.3,63,-1683,21753,713,2396
194,53,6,0,False,2019-09-22T15:30:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-781,21587,427,1208
194,68,15,0,False,2019-09-28T11:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-1519,20402,361,1880
194,74,9,0,True,2019-10-05T14:00:00Z,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-1774,18689,29,1803
194,87,12,0,False,2019-10-20T15:30:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-743,18048,56,799
194,94,17,0,True,2019-10-27T16:30:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-285,17828,17,302
194,102,2,0,False,2019-11-02T15:00:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-533,17320,14,547
194,114,11,0,True,2019-11-10T16:30:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-304,17040,19,323
194,125,7,0,False,2019-11-23T15:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-296,16798,44,340
194,134,4,0,True,2019-11-30T15:00:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-91,16775,54,145
194,149,8,7,True,2019-12-04T20:15:00Z,5,2,15,90,1,0,0,2,0,0,0,0,0,0,0,29,39.8,16.8,25.0,8.2,63,13,16860,102,89
194,152,3,1,False,2019-12-07T15:00:00Z,0,3,16,3,0,0,0,0,0,0,0,0,0,0,0,4,2.2,10.6,0.0,1.3,63,988,18044,1186,198
194,166,18,3,True,2019-12-14T12:30:00Z,2,0,17,69,0,0,1,0,0,0,0,0,0,0,0,7,0.0,3.3,4.0,0.7,63,176,18455,940,764
194,186,9,0,False,2019-12-26T20:00:00Z,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,26,18405,401,375
194,194,20,0,True,2019-12-29T16:30:00Z,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,542,19258,919,377
194,204,15,0,True,2020-01-02T20:00:00Z,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-1015,18100,181,1196
194,219,17,1,False,2020-01-11T17:30:00Z,0,1,22,1,0,0,0,0,0,0,0,0,0,0,0,5,4.0,14.5,0.0,1.9,63,-610,17519,18,628
194,224,12,0,True,2020-01-19T16:30:00Z,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-8,17643,197,205
194,237,20,0,False,2020-01-23T20:00:00Z,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-95,17592,132,227
194,180,19,0,False,2020-01-29T19:45:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-95,17592,132,227
194,245,16,0,True,2020-02-01T15:00:00Z,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-285,17320,20,305
194,257,14,0,False,2020-02-15T17:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-124,17220,11,135
