element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
195,1,14,0,True,2019-08-09T19:00:00Z,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,7143,0,0
195,19,16,0,False,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-1208,7855,332,1540
195,24,1,1,True,2019-08-24T16:30:00Z,3,1,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,59,-963,7431,257,1220
195,32,5,0,False,2019-08-31T16:30:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-457,7520,300,757
195,44,13,0,True,2019-09-14T11:30:00Z,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-534,7464,225,759
195,53,6,1,False,2019-09-22T15:30:00Z,1,2,6,6,0,0,0,0,0,0,0,0,0,0,0,5,2.0,0.3,0.0,0.2,58,-325,7398,103,428
195,68,15,0,False,2019-09-28T11:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-205,7518,201,406
195,74,9,1,True,2019-10-05T14:00:00Z,2,1,8,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,58,-289,7420,111,400
195,87,12,7,False,2019-10-20T15:30:00Z,1,1,9,19,1,0,0,0,0,0,0,0,0,0,1,22,33.6,1.3,35.0,7.0,58,-135,7503,96,231
195,94,17,0,True,2019-10-27T16:30:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,372,8088,526,154
195,102,2,2,False,2019-11-02T15:00:00Z,1,2,11,83,0,0,0,1,0,0,0,0,0,0,0,15,21.8,40.8,14.0,7.7,58,50,8428,428,378
195,114,11,0,True,2019-11-10T16:30:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,176,8813,477,301
195,125,7,0,False,2019-11-23T15:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-84,8976,386,470
195,134,4,1,True,2019-11-30T15:00:00Z,2,1,14,21,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,2.0,0.2,58,-156,8916,157,313
195,149,8,2,True,2019-12-04T20:15:00Z,5,2,15,71,0,0,0,2,0,0,0,0,0,0,0,6,3.4,2.1,4.0,1.0,58,-125,8864,62,187
195,152,3,0,False,2019-12-07T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-56,8896,121,177
195,166,18,0,True,2019-12-14T12:30:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-394,8554,44,438
195,186,9,1,False,2019-12-26T20:00:00Z,0,4,19,8,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.8,0.0,0.1,58,11,8694,116,105
195,194,20,5,True,2019-12-29T16:30:00Z,1,0,20,66,0,1,1,0,0,0,0,1,0,0,0,12,24.8,13.3,6.0,4.4,58,-18,8738,91,109
195,204,15,1,True,2020-01-02T20:00:00Z,2,0,21,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,58,256,9097,432,176
195,219,17,1,False,2020-01-11T17:30:00Z,0,1,22,29,0,0,0,0,0,0,0,0,0,0,0,5,9.6,2.4,4.0,1.6,58,-56,9208,267,323
195,224,12,1,True,2020-01-19T16:30:00Z,2,0,23,24,0,0,0,0,0,0,0,0,0,0,0,2,2.0,1.1,0.0,0.3,58,-40,9294,263,303
195,237,20,0,False,2020-01-23T20:00:00Z,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,136,9482,366,230
195,180,19,0,False,2020-01-29T19:45:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,136,9482,366,230
195,245,16,1,True,2020-02-01T15:00:00Z,4,0,25,2,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,58,-386,9145,73,459
195,257,14,0,False,2020-02-15T17:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-91,9131,55,146
