element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
19,10,13,0,False,2019-08-11T13:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,116243,0,0
19,11,5,1,True,2019-08-17T11:30:00Z,2,1,2,7,0,0,0,0,0,0,0,0,0,0,0,2,2.6,0.3,17.0,2.0,50,-13110,122676,10309,23419
19,24,10,6,False,2019-08-24T16:30:00Z,3,1,3,29,1,0,0,0,0,0,0,0,0,0,0,21,43.0,14.8,19.0,7.7,49,-21357,103783,3360,24717
19,31,17,2,True,2019-09-01T15:30:00Z,2,2,4,62,0,0,0,2,0,0,0,0,0,0,0,21,12.4,27.3,5.0,4.5,49,5023,116554,16400,11377
19,49,18,1,False,2019-09-15T15:30:00Z,2,2,5,23,0,0,0,1,0,0,0,0,0,0,0,2,8.8,0.6,17.0,2.6,49,-7154,111364,8102,15256
19,51,2,1,True,2019-09-22T15:30:00Z,3,2,6,18,0,0,0,0,0,0,0,0,0,0,0,0,2.6,17.6,25.0,4.5,49,-4676,108319,3727,8403
19,67,12,1,False,2019-09-30T19:00:00Z,1,1,7,54,0,0,0,1,0,0,0,0,0,0,0,2,2.6,5.3,6.0,1.4,49,-7071,102185,2653,9724
19,71,3,1,True,2019-10-06T13:00:00Z,1,0,8,7,0,0,0,0,0,0,0,0,0,0,0,3,3.4,0.5,8.0,1.2,48,-4124,98964,2279,6403
19,88,15,0,False,2019-10-21T19:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-4174,95462,1580,5754
19,91,7,0,True,2019-10-27T16:30:00Z,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-2643,93186,839,3482
19,101,20,3,True,2019-11-02T15:00:00Z,1,1,11,72,0,0,1,0,0,0,0,0,0,0,0,6,8.0,2.8,21.0,3.2,48,-3088,90620,1760,4848
19,113,9,2,False,2019-11-09T17:30:00Z,2,0,12,79,0,0,0,2,0,0,0,0,0,0,0,7,1.0,2.1,2.0,0.5,48,-776,90316,1875,2651
19,121,16,1,True,2019-11-23T15:00:00Z,2,2,13,82,0,0,0,2,0,0,0,1,0,0,0,10,8.4,2.1,4.0,1.5,48,-502,90489,3143,3645
19,137,14,1,False,2019-12-01T14:00:00Z,2,2,14,20,0,0,0,0,0,0,0,0,0,0,0,4,7.8,0.8,18.0,2.7,47,-1199,89606,1938,3137
19,141,4,2,True,2019-12-05T20:15:00Z,1,2,15,90,0,0,0,2,0,0,0,0,0,0,0,12,10.8,13.3,3.0,2.7,47,-1277,88468,1071,2348
19,160,19,2,False,2019-12-09T20:00:00Z,1,3,16,90,0,0,0,1,0,0,0,0,0,0,0,18,13.2,13.6,19.0,4.6,47,-1763,86928,843,2606
19,161,11,2,True,2019-12-15T16:30:00Z,0,3,17,80,0,0,0,3,0,0,0,0,0,0,0,18,15.6,11.8,3.0,3.0,47,-804,86569,2045,2849
19,174,8,3,False,2019-12-21T12:30:00Z,0,0,18,90,0,0,1,0,0,0,0,0,0,0,0,18,28.6,13.2,0.0,4.2,47,-770,86124,1585,2355
19,182,3,1,False,2019-12-26T15:00:00Z,1,1,19,90,0,0,0,1,0,0,0,1,0,0,0,10,17.6,13.9,8.0,4.0,47,576,87169,2179,1603
19,191,6,1,True,2019-12-29T14:00:00Z,1,2,20,90,0,0,0,2,0,0,0,1,0,0,0,9,4.4,3.0,4.0,1.1,47,791,88229,2398,1607
19,201,12,3,True,2020-01-01T20:00:00Z,2,0,21,90,0,0,1,0,0,0,0,0,0,0,0,17,9.8,2.2,4.0,1.6,47,453,89080,3309,2856
19,214,7,1,False,2020-01-11T12:30:00Z,1,1,22,45,0,0,0,0,0,0,0,0,0,0,0,9,12.4,4.1,0.0,1.7,47,4544,94598,7799,3255
19,221,15,2,True,2020-01-18T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,0,0,13,14.6,6.7,7.0,2.8,47,-5558,88896,1168,6726
19,238,6,5,False,2020-01-21T20:15:00Z,2,2,24,90,0,1,0,2,0,0,0,0,0,0,0,23,30.2,11.7,0.0,4.2,47,406,89759,2383,1977
19,242,5,0,False,2020-02-02T14:00:00Z,0,0,25,45,0,0,0,0,0,0,0,1,0,0,0,7,9.2,21.5,9.0,4.0,47,3178,93682,5827,2649
19,251,13,1,True,2020-02-16T16:30:00Z,4,0,26,8,0,0,0,0,0,0,0,0,0,0,0,3,1.4,0.9,0.0,0.2,47,2,93879,2569,2567
19,261,8,0,True,2020-02-23T16:30:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-3953,90006,1072,5025
