element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
200,1,14,1,True,2019-08-09T19:00:00Z,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,55,0,48632,0,0
200,19,16,6,False,2019-08-17T14:00:00Z,1,2,2,73,0,1,1,0,0,0,0,0,0,0,0,18,20.4,24.1,17.0,6.2,55,-5296,50003,2122,7418
200,24,1,1,True,2019-08-24T16:30:00Z,3,1,3,21,0,0,0,1,0,0,0,0,0,0,0,5,4.6,1.4,0.0,0.6,55,4027,60213,9892,5865
200,32,5,0,False,2019-08-31T16:30:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-4989,56663,3068,8057
200,44,13,1,True,2019-09-14T11:30:00Z,3,1,5,15,0,0,0,0,0,0,0,0,0,0,0,3,2.4,1.0,0.0,0.3,54,-6860,51012,1640,8500
200,53,6,0,False,2019-09-22T15:30:00Z,1,2,6,19,0,0,0,0,0,0,0,1,0,0,0,-2,0.8,0.9,0.0,0.2,54,-3844,47927,910,4754
200,68,15,1,False,2019-09-28T11:30:00Z,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.5,0.0,0.2,54,-4996,43289,677,5673
200,74,9,13,True,2019-10-05T14:00:00Z,2,1,8,90,1,1,0,1,0,0,0,0,0,0,3,40,58.2,26.9,22.0,10.7,53,-2290,41349,504,2794
200,87,12,0,False,2019-10-20T15:30:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,4932,47936,6802,1870
200,94,17,0,True,2019-10-27T16:30:00Z,2,1,10,13,0,0,0,0,0,0,0,1,0,0,0,2,1.0,0.0,0.0,0.1,53,-418,47537,1838,2256
200,102,2,0,False,2019-11-02T15:00:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1188,46925,2250,3438
200,114,11,1,True,2019-11-10T16:30:00Z,3,1,12,29,0,0,0,1,0,0,0,0,0,0,0,3,2.2,0.3,0.0,0.3,53,-481,46791,2271,2752
200,125,7,1,False,2019-11-23T15:00:00Z,1,2,13,11,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,53,-1236,45918,1542,2778
200,134,4,0,True,2019-11-30T15:00:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1406,44637,695,2101
200,149,8,2,True,2019-12-04T20:15:00Z,5,2,15,90,0,0,0,2,0,0,0,0,0,0,0,7,6.4,2.6,8.0,1.7,53,-1162,43596,356,1518
200,152,3,3,False,2019-12-07T15:00:00Z,0,3,16,90,0,0,1,0,0,0,0,0,0,0,0,21,16.6,28.0,12.0,5.7,53,-936,42776,440,1376
200,166,18,2,True,2019-12-14T12:30:00Z,2,0,17,90,0,0,1,0,0,0,0,1,0,0,0,12,9.2,18.8,3.0,3.1,53,-535,42480,859,1394
200,186,9,6,False,2019-12-26T20:00:00Z,0,4,19,20,1,0,0,0,0,0,0,0,0,0,0,21,36.0,1.0,17.0,5.4,53,-26,41848,717,743
200,194,20,1,True,2019-12-29T16:30:00Z,1,0,20,4,0,0,0,0,0,0,0,0,0,0,0,4,1.2,0.1,0.0,0.1,53,2499,44713,3134,635
200,204,15,3,True,2020-01-02T20:00:00Z,2,0,21,90,0,0,1,0,0,0,0,0,0,0,0,15,15.6,18.2,2.0,3.6,53,-458,44267,1340,1798
200,219,17,0,False,2020-01-11T17:30:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-2770,41554,508,3278
200,224,12,0,True,2020-01-19T16:30:00Z,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3208,38377,31,3239
200,237,20,0,False,2020-01-23T20:00:00Z,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1327,37094,21,1348
200,180,19,0,False,2020-01-29T19:45:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1327,37094,21,1348
200,245,16,0,True,2020-02-01T15:00:00Z,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1090,36031,20,1110
200,257,14,1,False,2020-02-15T17:30:00Z,0,1,26,6,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.1,0.0,0.1,53,-477,35618,10,487
200,266,19,0,True,2020-02-24T20:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,106,35797,395,289
