element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
207,8,19,6,False,2019-08-10T11:30:00Z,0,5,1,90,0,0,1,0,0,0,0,0,0,0,0,33,18.8,0.8,0.0,2.0,55,0,194117,0,0
207,16,17,0,True,2019-08-17T16:30:00Z,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,3891,235331,20164,16273
207,22,3,0,False,2019-08-25T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-71167,163661,2062,73229
207,37,4,0,True,2019-08-31T14:00:00Z,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-52611,113034,400,53011
207,46,14,1,False,2019-09-14T16:30:00Z,3,2,5,90,0,0,0,3,0,0,0,0,0,0,0,17,14.4,16.5,2.0,3.3,54,-9733,105831,6618,16351
207,57,18,0,True,2019-09-21T14:00:00Z,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-13703,93341,4968,18671
207,65,8,0,False,2019-09-28T16:30:00Z,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-15459,77978,57,15516
207,75,20,0,True,2019-10-06T13:00:00Z,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-5929,72388,54,5983
207,84,7,1,False,2019-10-19T16:30:00Z,0,2,9,11,0,0,0,0,0,0,0,0,0,0,0,3,0.8,0.0,0.0,0.1,53,-1845,70853,973,2818
207,95,2,6,True,2019-10-26T11:30:00Z,3,0,10,90,0,0,1,0,0,0,0,0,0,0,0,27,21.6,1.6,21.0,4.4,53,7198,78855,8308,1110
207,107,16,2,True,2019-11-02T15:00:00Z,2,1,11,90,0,0,0,1,0,0,0,0,0,0,0,12,18.2,8.3,11.0,3.8,53,19992,100776,21883,1891
207,114,10,1,False,2019-11-10T16:30:00Z,3,1,12,90,0,0,0,3,0,0,0,0,0,0,0,17,12.4,0.8,4.0,1.7,53,-867,99552,4495,5362
207,127,6,2,True,2019-11-23T17:30:00Z,2,1,13,90,0,0,0,1,0,0,0,0,0,0,0,12,8.6,1.5,4.0,1.4,53,-8,101316,5199,5207
207,136,13,1,False,2019-11-30T12:30:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,16,22.2,2.0,6.0,3.0,53,4751,107370,7977,3226
207,142,5,0,False,2019-12-03T20:15:00Z,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-710,106762,3301,4011
207,155,12,0,True,2019-12-07T17:30:00Z,1,2,16,58,0,0,0,2,0,0,0,0,0,0,0,9,6.4,1.8,0.0,0.8,53,-7449,99602,1543,8992
207,161,1,0,False,2019-12-15T16:30:00Z,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-15754,83953,523,16277
207,175,9,0,True,2019-12-21T17:30:00Z,3,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-6576,77315,65,6641
207,190,20,0,False,2019-12-27T19:45:00Z,3,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-2859,75018,53,2912
207,195,15,0,True,2019-12-29T18:00:00Z,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-2010,73107,15,2025
207,205,8,0,True,2020-01-01T17:30:00Z,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1138,72089,333,1471
207,211,2,2,False,2020-01-12T16:30:00Z,1,6,22,90,0,0,0,1,0,0,0,0,0,0,0,12,15.8,0.6,0.0,1.6,53,263,72958,1404,1141
207,225,7,1,True,2020-01-18T15:00:00Z,2,2,23,90,0,0,0,2,0,0,0,0,0,0,0,14,14.6,13.3,18.0,4.6,53,2165,75745,3438,1273
207,236,15,0,False,2020-01-21T19:30:00Z,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1410,74289,748,2158
207,248,17,0,False,2020-02-02T16:30:00Z,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1277,73350,506,1783
207,256,19,1,True,2020-02-19T19:30:00Z,2,0,26,25,0,0,0,0,0,0,0,0,0,0,0,11,4.8,1.7,0.0,0.7,53,-366,73298,587,953
207,265,9,0,False,2020-02-22T17:30:00Z,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-628,72879,283,911
