element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
210,8,19,5,False,2019-08-10T11:30:00Z,0,5,1,21,1,0,0,0,0,0,0,0,0,0,0,27,33.4,0.3,17.0,5.1,120,0,1027331,0,0
210,16,17,6,True,2019-08-17T16:30:00Z,2,2,2,65,1,0,0,2,0,0,0,0,0,0,0,27,31.4,10.9,51.0,9.3,120,-103549,1022143,19746,123295
210,22,3,13,False,2019-08-25T13:00:00Z,1,3,3,90,2,0,0,1,0,0,0,0,0,0,3,58,75.6,34.6,68.0,17.8,120,-62711,996740,38780,101491
210,37,4,16,True,2019-08-31T14:00:00Z,4,0,4,90,2,1,1,0,0,0,0,0,0,0,3,64,87.4,23.1,58.0,16.9,120,291245,1371233,331914,40669
210,46,14,6,False,2019-09-14T16:30:00Z,3,2,5,90,1,0,0,3,0,0,0,0,0,0,0,21,37.6,13.3,89.0,14.0,121,336532,1779274,376539,40007
210,57,18,9,True,2019-09-21T14:00:00Z,8,0,6,90,1,1,1,0,0,0,0,0,0,0,0,40,53.4,38.1,56.0,14.8,121,105549,1897051,143263,37714
210,65,8,4,False,2019-09-28T16:30:00Z,1,3,7,24,0,1,0,0,0,0,0,0,0,0,0,11,0.0,2.8,7.0,0.9,122,115677,2034658,165851,50174
210,75,20,2,True,2019-10-06T13:00:00Z,0,2,8,90,0,0,0,2,0,0,0,0,0,0,0,7,0.2,12.6,46.0,5.9,122,-11107,2035032,64889,75996
210,84,7,0,False,2019-10-19T16:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,122,-17554,2030824,65208,82762
210,95,2,1,True,2019-10-26T11:30:00Z,3,0,10,14,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.3,0.0,0.1,122,-42424,1997045,56604,99028
210,107,16,6,True,2019-11-02T15:00:00Z,2,1,11,90,1,0,0,1,0,0,0,0,0,0,0,22,26.4,1.1,111.0,13.9,121,-258859,1742395,41071,299930
210,114,10,2,False,2019-11-10T16:30:00Z,3,1,12,70,0,0,0,3,0,0,0,0,0,0,0,5,5.6,1.7,44.0,5.1,120,-128246,1616202,18704,146950
210,127,6,2,True,2019-11-23T17:30:00Z,2,1,13,76,0,0,0,1,0,0,0,0,0,0,0,2,1.8,22.3,35.0,5.9,119,-178789,1447186,18445,197234
210,136,13,0,False,2019-11-30T12:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,118,-496958,946795,1276,498234
210,142,5,0,False,2019-12-03T20:15:00Z,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,118,-107290,854653,216,107506
210,155,12,0,True,2019-12-07T17:30:00Z,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,118,-68736,787226,231,68967
210,161,1,0,False,2019-12-15T16:30:00Z,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,117,-55958,731774,192,56150
210,175,9,1,True,2019-12-21T17:30:00Z,3,1,18,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,2.0,0.2,117,-23929,709622,2604,26533
210,190,20,1,False,2019-12-27T19:45:00Z,3,2,19,13,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.3,0.0,0.0,117,11734,724182,19357,7623
210,195,15,8,True,2019-12-29T18:00:00Z,2,0,20,80,1,0,1,0,0,0,0,0,0,0,2,33,31.2,5.1,23.0,5.9,117,26882,754514,33222,6340
210,205,8,0,True,2020-01-01T17:30:00Z,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,117,33464,788571,48179,14715
210,211,2,20,False,2020-01-12T16:30:00Z,1,6,22,90,3,1,0,1,0,0,0,0,0,0,3,90,131.0,25.3,109.0,26.5,117,42485,834190,72414,29929
210,225,7,13,True,2020-01-18T15:00:00Z,2,2,23,90,2,0,0,2,0,0,0,0,0,0,3,45,69.4,2.2,151.0,22.3,118,314161,1165734,329623,15462
210,236,15,4,False,2020-01-21T19:30:00Z,0,1,24,23,1,0,0,0,0,0,0,1,0,0,0,28,36.4,20.6,35.0,9.2,119,265245,1442653,302875,37630
210,248,17,2,False,2020-02-02T16:30:00Z,2,0,25,63,0,0,0,1,0,0,0,0,0,0,0,-4,2.4,5.0,96.0,10.3,120,286940,1729092,334297,47357
