element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
215,8,19,7,False,2019-08-10T11:30:00Z,0,5,1,78,0,1,1,0,0,0,0,0,0,0,1,37,37.8,37.4,27.0,10.2,95,0,868463,0,0
215,16,17,11,True,2019-08-17T16:30:00Z,2,2,2,90,0,2,0,2,0,0,0,0,0,0,3,44,59.2,127.7,38.0,22.5,95,2049,995410,81457,79408
215,22,3,5,False,2019-08-25T13:00:00Z,1,3,3,90,0,1,0,1,0,0,0,0,0,0,0,22,17.2,42.3,16.0,7.6,96,460538,1566970,510105,49567
215,37,4,13,True,2019-08-31T14:00:00Z,4,0,4,68,1,1,1,0,0,0,0,0,0,0,2,41,59.8,26.7,27.0,11.4,97,293070,1914603,373295,80225
215,46,14,1,False,2019-09-14T16:30:00Z,3,2,5,33,0,0,0,0,0,0,0,0,0,0,0,6,9.2,36.8,2.0,4.8,98,399792,2386410,438722,38930
215,57,18,17,True,2019-09-21T14:00:00Z,8,0,6,90,1,2,1,0,0,0,0,0,0,0,3,66,88.4,109.4,40.0,23.8,98,35783,2431080,135252,99469
215,65,8,9,False,2019-09-28T16:30:00Z,1,3,7,79,0,2,0,1,0,0,0,0,0,0,1,30,23.2,33.6,18.0,7.5,99,388729,2871266,412503,23774
215,75,20,0,True,2019-10-06T13:00:00Z,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100,-653701,2169368,141393,795094
215,84,7,3,False,2019-10-19T16:30:00Z,0,2,9,90,0,0,1,0,0,0,0,0,0,0,0,8,10.0,34.8,19.0,6.4,100,96039,2319067,270262,174223
215,95,2,6,True,2019-10-26T11:30:00Z,3,0,10,75,0,1,1,0,0,0,0,0,0,0,0,24,37.2,91.1,12.0,14.0,101,297701,2640790,311175,13474
215,107,16,2,True,2019-11-02T15:00:00Z,2,1,11,90,0,0,0,1,0,0,0,0,0,0,0,21,19.4,61.9,54.0,13.5,102,168126,2825502,197239,29113
215,114,10,2,False,2019-11-10T16:30:00Z,3,1,12,90,0,0,0,3,0,0,0,0,0,0,0,18,13.4,52.1,38.0,10.4,102,3438,2821187,85140,81702
215,127,6,7,True,2019-11-23T17:30:00Z,2,1,13,90,1,0,0,1,0,0,0,0,0,0,0,28,40.0,38.1,20.0,9.8,102,-38785,2803514,87013,125798
215,136,13,10,False,2019-11-30T12:30:00Z,2,2,14,90,1,0,0,2,0,0,0,0,0,0,3,35,62.4,91.1,56.0,21.0,102,51340,2872585,107163,55823
215,142,5,3,False,2019-12-03T20:15:00Z,1,4,15,79,0,0,1,0,0,0,0,0,0,0,0,13,15.6,46.9,17.0,8.0,102,69767,2951894,85869,16102
215,155,12,1,True,2019-12-07T17:30:00Z,1,2,16,90,0,0,0,2,0,0,0,1,0,0,0,19,28.8,80.3,49.0,15.8,103,-29654,2925544,66817,96471
215,161,1,19,False,2019-12-15T16:30:00Z,0,3,17,90,2,1,1,0,0,0,0,0,0,0,3,59,80.4,32.0,50.0,16.2,102,-221640,2708340,42445,264085
215,175,9,4,True,2019-12-21T17:30:00Z,3,1,18,90,0,1,0,1,0,0,0,1,0,0,0,28,48.8,86.6,56.0,19.1,103,425666,3240793,442475,16809
215,190,20,5,False,2019-12-27T19:45:00Z,3,2,19,66,0,1,0,1,0,0,0,0,0,0,0,21,29.2,13.8,8.0,5.1,104,287829,3462785,315524,27695
215,195,15,14,True,2019-12-29T18:00:00Z,2,0,20,90,1,1,1,0,0,0,0,0,0,0,3,34,57.4,17.8,44.0,11.9,105,64475,3531631,93340,28865
215,205,8,2,True,2020-01-01T17:30:00Z,2,1,21,90,0,0,0,1,0,0,0,0,0,0,0,13,16.4,27.3,10.0,5.4,106,134851,3684027,158704,23853
215,211,2,9,False,2020-01-12T16:30:00Z,1,6,22,62,0,2,1,0,0,0,0,0,0,0,0,34,42.6,40.7,6.0,8.9,106,83926,3786619,128395,44469
215,225,7,2,True,2020-01-18T15:00:00Z,2,2,23,90,0,0,0,2,0,0,0,0,0,0,0,21,30.4,104.8,29.0,16.4,107,95576,3898669,133069,37493
215,236,15,7,False,2020-01-21T19:30:00Z,0,1,24,90,0,1,1,0,0,0,0,0,0,0,1,30,31.4,55.6,13.0,10.0,107,-149757,3712642,55843,205600
215,248,17,2,False,2020-02-02T16:30:00Z,2,0,25,90,0,0,0,2,0,0,0,0,0,0,0,10,11.2,46.4,43.0,10.1,107,167175,3938348,213846,46671
215,256,19,14,True,2020-02-19T19:30:00Z,2,0,26,78,1,1,1,0,0,0,0,0,0,0,3,51,79.8,87.1,30.0,19.7,108,29901,3974254,101926,72025
215,265,9,3,False,2020-02-22T17:30:00Z,0,1,27,90,0,0,1,0,0,0,0,0,0,0,0,2,7.2,34.6,23.0,6.5,108,2424,3983614,85541,83117
