element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
220,8,19,1,False,2019-08-10T11:30:00Z,0,5,1,10,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.4,0.0,0.1,55,0,39755,0,0
220,16,17,0,True,2019-08-17T16:30:00Z,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-4133,41480,2431,6564
220,22,3,0,False,2019-08-25T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-7058,35449,846,7904
220,37,4,0,True,2019-08-31T14:00:00Z,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-5185,31003,685,5870
220,46,14,0,False,2019-09-14T16:30:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3875,27764,629,4504
220,57,18,0,True,2019-09-21T14:00:00Z,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-2649,25327,204,2853
220,65,8,0,False,2019-09-28T16:30:00Z,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-2673,22754,128,2801
220,75,20,0,True,2019-10-06T13:00:00Z,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-637,22364,512,1149
220,84,7,1,False,2019-10-19T16:30:00Z,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,2.0,0.2,52,-753,21779,279,1032
220,95,2,1,True,2019-10-26T11:30:00Z,3,0,10,14,0,0,0,0,0,0,0,0,0,0,0,7,19.0,38.6,40.0,9.8,52,-275,21637,322,597
220,107,16,1,True,2019-11-02T15:00:00Z,2,1,11,6,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.0,0.0,0.1,52,-236,21558,532,768
220,114,10,0,False,2019-11-10T16:30:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-322,21354,270,592
220,127,6,1,True,2019-11-23T17:30:00Z,2,1,13,23,0,0,0,0,0,0,0,0,0,0,0,4,3.6,2.2,10.0,1.6,51,-529,20971,215,744
220,136,13,1,False,2019-11-30T12:30:00Z,2,2,14,20,0,0,0,1,0,0,0,0,0,0,0,3,3.4,11.6,2.0,1.7,51,-140,20937,274,414
220,142,5,1,False,2019-12-03T20:15:00Z,1,4,15,10,0,0,0,1,0,0,0,0,0,0,0,4,1.4,0.8,2.0,0.4,51,-125,20889,210,335
220,155,12,0,True,2019-12-07T17:30:00Z,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-297,20643,119,416
220,161,1,4,False,2019-12-15T16:30:00Z,0,3,17,55,0,1,0,0,0,0,0,0,0,0,0,14,25.8,23.6,22.0,7.1,51,152,20945,622,470
220,175,9,1,True,2019-12-21T17:30:00Z,3,1,18,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,51,1562,22856,2032,470
220,190,20,0,False,2019-12-27T19:45:00Z,3,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-134,22677,595,729
220,195,15,1,True,2019-12-29T18:00:00Z,2,0,20,9,0,0,0,0,0,0,0,0,0,0,0,3,3.0,1.1,9.0,1.3,51,119,22959,700,581
220,205,8,2,True,2020-01-01T17:30:00Z,2,1,21,82,0,0,0,1,0,0,0,0,0,0,0,18,14.6,28.8,21.0,6.4,51,-520,22481,440,960
220,211,2,1,False,2020-01-12T16:30:00Z,1,6,22,27,0,0,0,1,0,0,0,0,0,0,0,3,4.2,13.3,5.0,2.3,51,268,22953,1313,1045
