element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
221,8,19,0,False,2019-08-10T11:30:00Z,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,70381,0,0
221,16,17,0,True,2019-08-17T16:30:00Z,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-14114,65483,3365,17479
221,22,3,0,False,2019-08-25T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-11912,55416,1433,13345
221,37,4,1,True,2019-08-31T14:00:00Z,4,0,4,53,0,0,0,0,0,0,0,0,0,0,0,12,16.8,0.8,0.0,1.8,53,-6828,50223,1746,8574
221,46,14,0,False,2019-09-14T16:30:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3148,48383,2051,5199
221,57,18,3,True,2019-09-21T14:00:00Z,8,0,6,90,0,0,1,0,0,0,0,0,0,0,0,20,23.0,1.6,2.0,2.7,53,-2099,47026,1568,3667
221,65,8,2,False,2019-09-28T16:30:00Z,1,3,7,90,0,0,0,1,0,0,0,0,0,0,0,19,35.6,11.3,0.0,4.7,53,-946,46651,1953,2899
221,75,20,1,True,2019-10-06T13:00:00Z,0,2,8,90,0,0,0,2,0,0,0,1,0,0,0,12,25.2,2.3,4.0,3.2,52,-472,46633,1672,2144
221,84,7,3,False,2019-10-19T16:30:00Z,0,2,9,90,0,0,1,0,0,0,0,0,0,0,0,13,15.2,3.2,2.0,2.0,52,-781,46360,1232,2013
221,95,2,0,True,2019-10-26T11:30:00Z,3,0,10,86,0,0,1,0,0,0,0,0,1,0,0,1,7.2,1.9,43.0,5.2,52,608,47402,1744,1136
221,107,16,2,True,2019-11-02T15:00:00Z,2,1,11,90,0,0,0,1,0,0,0,0,0,0,0,11,15.6,13.0,6.0,3.5,52,-1564,46163,1341,2905
221,114,10,2,False,2019-11-10T16:30:00Z,3,1,12,90,0,0,0,3,0,0,0,0,0,0,0,21,27.6,0.4,0.0,2.8,52,-237,46338,1145,1382
221,127,6,2,True,2019-11-23T17:30:00Z,2,1,13,90,0,0,0,1,0,0,0,0,0,0,0,24,29.4,1.3,34.0,6.5,52,232,47212,1883,1651
221,136,13,1,False,2019-11-30T12:30:00Z,2,2,14,90,0,0,0,2,0,0,0,1,0,0,0,13,11.6,2.8,10.0,2.4,52,518,48043,1769,1251
221,142,5,3,False,2019-12-03T20:15:00Z,1,4,15,84,0,0,1,0,0,0,0,0,0,0,0,14,16.6,1.8,0.0,1.8,52,67,48257,1258,1191
221,155,12,2,True,2019-12-07T17:30:00Z,1,2,16,90,0,0,0,2,0,0,0,0,0,0,0,16,13.4,2.8,0.0,1.6,52,-227,48243,1004,1231
221,161,1,2,False,2019-12-15T16:30:00Z,0,3,17,90,0,0,1,0,0,0,0,1,0,0,0,14,27.4,0.5,0.0,2.8,52,-283,48405,1435,1718
221,175,9,2,True,2019-12-21T17:30:00Z,3,1,18,90,0,0,0,1,0,0,0,0,0,0,0,16,19.2,1.9,0.0,2.1,52,106,48822,1479,1373
221,190,20,2,False,2019-12-27T19:45:00Z,3,2,19,90,0,0,0,3,0,0,0,0,0,0,0,14,22.2,10.6,0.0,3.3,52,360,49565,1488,1128
221,195,15,3,True,2019-12-29T18:00:00Z,2,0,20,90,0,0,1,0,0,0,0,0,0,0,0,15,24.2,3.8,0.0,2.8,52,366,50171,1370,1004
221,205,8,3,True,2020-01-01T17:30:00Z,2,1,21,90,0,0,0,1,0,0,0,0,0,0,1,22,34.4,1.0,4.0,3.9,52,17,50465,1636,1619
221,211,2,2,False,2020-01-12T16:30:00Z,1,6,22,62,0,0,1,0,0,0,0,1,0,0,0,7,8.8,1.2,0.0,1.0,52,-31,50804,1770,1801
221,225,7,0,True,2020-01-18T15:00:00Z,2,2,23,90,0,0,0,2,1,0,0,0,0,0,0,6,4.8,5.0,1.0,1.1,52,268,51408,2160,1892
221,236,15,2,False,2020-01-21T19:30:00Z,0,1,24,90,0,0,1,0,0,0,0,1,0,0,0,14,21.6,32.5,4.0,5.8,52,-863,50649,931,1794
221,248,17,2,False,2020-02-02T16:30:00Z,2,0,25,90,0,0,0,2,0,0,0,0,0,0,0,16,25.6,3.5,18.0,4.7,52,-1775,49031,757,2532
