element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
226,9,6,6,True,2019-08-11T15:30:00Z,4,0,1,90,0,0,1,0,0,0,0,0,0,0,0,27,16.0,3.0,2.0,2.1,55,0,110821,0,0
226,20,20,2,False,2019-08-19T19:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,19,15.6,29.7,2.0,4.7,55,-3798,122341,7217,11015
226,25,7,1,True,2019-08-24T14:00:00Z,1,2,3,33,0,0,0,1,0,0,0,0,0,0,0,4,2.4,25.7,6.0,3.4,55,6041,135770,18831,12790
226,39,16,0,False,2019-08-31T11:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-48541,85716,1324,49865
226,45,9,0,True,2019-09-14T14:00:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-24815,62654,126,24941
226,60,19,0,False,2019-09-22T13:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-6900,56572,92,6992
226,67,1,0,True,2019-09-30T19:00:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-5781,50985,79,5860
226,76,13,0,False,2019-10-06T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-3042,48104,62,3104
226,87,10,0,True,2019-10-20T15:30:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2345,45918,87,2432
226,97,14,0,False,2019-10-27T16:30:00Z,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1315,44733,48,1363
226,103,3,0,False,2019-11-02T12:30:00Z,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1788,42987,41,1829
226,115,4,0,True,2019-11-10T14:00:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1347,41683,29,1376
226,128,15,0,False,2019-11-24T16:30:00Z,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1102,40661,67,1169
226,135,2,0,True,2019-12-01T16:30:00Z,2,2,14,11,0,0,0,0,0,0,0,1,0,0,0,-3,0.0,1.2,4.0,0.4,54,-228,40608,296,524
226,144,17,1,True,2019-12-04T19:30:00Z,2,1,15,3,0,0,0,0,0,0,0,0,0,0,0,3,2.2,13.0,0.0,1.5,54,-36,40719,314,350
226,155,11,2,False,2019-12-07T17:30:00Z,1,2,16,88,0,0,0,1,0,0,0,0,0,0,0,9,16.8,1.4,2.0,2.0,54,-19,40923,393,412
226,167,8,2,True,2019-12-15T14:00:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,0,0,14,21.2,5.2,24.0,5.0,54,-209,40851,754,963
226,179,18,0,False,2019-12-22T14:00:00Z,2,0,18,90,0,0,0,2,0,0,0,1,0,0,0,11,30.4,17.1,6.0,5.4,54,5935,50213,6632,697
226,187,13,2,True,2019-12-26T17:30:00Z,4,1,19,90,0,0,0,1,0,0,0,0,0,0,0,17,14.4,8.9,25.0,4.8,54,-417,47299,1207,1624
226,193,5,1,False,2019-12-28T19:45:00Z,0,2,20,1,0,0,0,0,0,0,0,0,0,0,0,2,2.0,0.3,2.0,0.4,54,-398,47213,985,1383
226,201,1,1,False,2020-01-01T20:00:00Z,2,0,21,90,0,0,0,2,0,0,0,0,0,0,0,13,17.4,15.3,2.0,3.5,54,-1248,46270,890,2138
226,217,14,0,True,2020-01-11T15:00:00Z,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1792,44821,635,2427
226,224,10,1,False,2020-01-19T16:30:00Z,2,0,23,86,0,0,0,1,0,0,0,1,0,0,0,15,23.6,0.4,0.0,2.4,54,-2307,42561,37,2344
226,235,5,1,True,2020-01-22T20:15:00Z,0,2,24,21,0,0,0,0,0,0,0,0,0,0,0,4,4.2,23.4,26.0,5.4,54,444,43429,1105,661
226,246,20,5,True,2020-02-01T17:30:00Z,0,0,25,90,0,0,1,0,0,0,0,1,0,0,0,26,18.8,31.6,4.0,5.4,54,-41,43733,842,883
226,254,6,0,False,2020-02-17T20:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-6,44085,538,544
