element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
22,6,17,1,False,2019-08-10T16:30:00Z,3,1,1,90,0,0,0,3,0,0,0,0,0,0,0,10,13.4,1.0,0.0,1.4,45,0,112887,0,0
22,12,3,4,True,2019-08-17T14:00:00Z,1,2,2,90,0,0,0,2,0,0,0,0,0,0,3,34,36.8,70.6,2.0,10.9,45,-5568,120473,6905,12473
22,21,8,1,True,2019-08-23T19:00:00Z,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,45,-1954,123189,14714,16668
22,34,7,0,False,2019-08-31T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-11443,114557,4902,16345
22,41,19,1,True,2019-09-16T19:00:00Z,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,3,7.8,1.8,0.0,1.0,45,-14701,101305,2973,17674
22,51,1,0,False,2019-09-22T15:30:00Z,3,2,6,22,0,0,0,2,0,0,0,0,0,0,0,3,3.0,14.5,0.0,1.8,44,-7063,95130,1906,8969
22,61,5,0,True,2019-09-28T14:00:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-10520,85131,1093,11613
22,77,14,0,False,2019-10-05T14:00:00Z,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-6403,79229,1485,7888
22,81,4,0,True,2019-10-19T14:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-5109,74589,1039,6148
22,95,11,0,False,2019-10-26T11:30:00Z,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-3748,71048,445,4193
22,102,10,0,True,2019-11-02T15:00:00Z,1,2,11,21,0,0,0,2,0,0,0,0,0,0,0,6,9.6,0.1,0.0,1.0,42,-2656,68834,1644,4300
22,120,20,0,False,2019-11-10T14:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1177,68227,2221,3398
22,122,13,0,True,2019-11-25T20:00:00Z,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1966,66400,1701,3667
22,135,12,0,False,2019-12-01T16:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1822,64671,691,2513
22,147,6,6,False,2019-12-04T19:30:00Z,2,1,15,90,0,1,0,2,0,0,0,0,0,0,2,28,40.6,34.9,6.0,8.2,42,-1156,63658,553,1709
22,151,9,0,True,2019-12-08T14:00:00Z,1,4,16,90,0,0,0,4,0,0,0,0,0,0,0,15,21.8,30.8,18.0,7.1,42,2064,66258,3446,1382
22,168,15,0,False,2019-12-14T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,3833,70727,6458,2625
22,171,16,0,True,2019-12-21T15:00:00Z,1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,627,72474,3735,3108
22,181,14,6,True,2019-12-26T15:00:00Z,1,0,19,90,0,0,1,0,0,0,0,0,0,0,0,22,12.2,17.1,20.0,4.9,42,-1181,70637,1850,3031
22,199,18,1,False,2019-12-28T15:00:00Z,3,0,20,90,0,0,0,3,0,0,0,0,0,0,0,12,9.2,17.3,0.0,2.7,42,1913,73109,3342,1429
22,203,5,0,False,2020-01-01T12:30:00Z,1,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,55,73195,3485,3430
22,211,11,-1,True,2020-01-12T16:30:00Z,1,6,22,90,0,0,0,6,0,0,0,0,0,0,0,18,15.8,30.5,0.0,4.6,42,-1276,72179,3145,4421
22,222,4,0,False,2020-01-18T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1849,70497,1524,3373
22,231,18,0,True,2020-01-21T19:30:00Z,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-2100,68286,542,2642
22,241,3,0,False,2020-02-01T15:00:00Z,2,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1855,66822,650,2505
22,252,17,0,True,2020-02-16T14:00:00Z,2,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1292,65682,489,1781
22,269,16,0,False,2020-02-22T15:00:00Z,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-919,64943,637,1556
