element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
234,9,6,1,True,2019-08-11T15:30:00Z,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.6,18.0,1.9,45,0,958114,0,0
234,20,20,1,False,2019-08-19T19:00:00Z,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,2.2,2.0,0.0,0.4,45,-9588,1004223,72860,82448
234,25,7,1,True,2019-08-24T14:00:00Z,1,2,3,34,0,0,0,1,0,0,0,0,0,0,0,3,1.2,1.1,0.0,0.2,45,-42898,974829,97138,140036
234,39,16,1,False,2019-08-31T11:30:00Z,1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,2,3.0,0.3,9.0,1.2,45,-10310,986503,118546,128856
234,45,9,0,True,2019-09-14T14:00:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-11156,990422,112190,123346
234,60,19,0,False,2019-09-22T13:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-79977,908656,40575,120552
234,67,1,1,True,2019-09-30T19:00:00Z,1,1,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,5.0,0.3,44,-33924,882820,68851,102775
234,76,13,1,False,2019-10-06T15:30:00Z,1,0,8,24,0,0,0,1,0,0,0,0,0,0,0,3,3.2,1.7,17.0,2.2,44,-7386,881019,53604,60990
234,87,10,0,True,2019-10-20T15:30:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-92015,787568,18650,110665
234,97,14,1,False,2019-10-27T16:30:00Z,1,3,10,15,0,0,0,1,0,0,0,0,0,0,0,0,3.2,3.3,17.0,2.4,44,-23779,769594,17073,40852
234,103,3,1,False,2019-11-02T12:30:00Z,1,0,11,10,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,7.0,0.6,43,-6965,768587,41081,48046
234,115,4,1,True,2019-11-10T14:00:00Z,3,1,12,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,43,-25386,739599,21873,47259
234,128,15,5,False,2019-11-24T16:30:00Z,3,3,13,17,1,0,0,1,0,0,0,0,0,0,0,27,33.0,0.3,35.0,6.8,43,-3046,746493,44366,47412
234,135,2,1,True,2019-12-01T16:30:00Z,2,2,14,8,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.3,0.0,0.1,43,18738,769941,53821,35083
234,144,17,2,True,2019-12-04T19:30:00Z,2,1,15,79,0,0,0,1,0,0,0,0,0,0,0,8,7.6,3.4,19.0,3.0,43,-524,769032,29654,30178
234,155,11,0,False,2019-12-07T17:30:00Z,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-14944,755981,27531,42475
234,167,8,8,True,2019-12-15T14:00:00Z,1,1,17,25,1,0,0,0,0,0,0,0,0,0,3,28,35.2,11.6,11.0,5.8,43,-18012,740980,33274,51286
234,179,18,1,False,2019-12-22T14:00:00Z,2,0,18,32,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.6,8.0,1.0,43,27683,763988,58543,30860
234,187,13,8,True,2019-12-26T17:30:00Z,4,1,19,90,1,0,0,1,0,0,0,0,0,0,2,41,43.6,26.9,35.0,10.6,43,2288,778046,36444,34156
234,193,5,0,False,2019-12-28T19:45:00Z,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,91702,876298,105808,14106
234,201,1,1,False,2020-01-01T20:00:00Z,2,0,21,32,0,0,0,0,0,0,0,0,0,0,0,3,0.4,2.0,18.0,2.0,43,-3872,873519,58731,62603
234,217,14,5,True,2020-01-11T15:00:00Z,4,0,22,19,1,0,0,0,0,0,0,0,0,0,0,27,36.0,2.4,13.0,5.1,43,-13901,864513,57800,71701
234,224,10,1,False,2020-01-19T16:30:00Z,2,0,23,16,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.7,2.0,0.3,43,33969,903731,83385,49416
234,235,5,1,True,2020-01-22T20:15:00Z,0,2,24,45,0,0,0,1,0,0,0,0,0,0,0,3,4.4,13.4,3.0,2.1,44,69287,986909,105788,36501
234,246,20,1,True,2020-02-01T17:30:00Z,0,0,25,18,0,0,0,0,0,0,0,0,0,0,0,2,1.2,1.0,15.0,1.7,44,-35669,941926,52598,88267
234,254,6,0,False,2020-02-17T20:00:00Z,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-32581,911259,25245,57826
234,267,18,0,True,2020-02-23T14:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-64955,847073,13908,78863
