element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
244,9,6,0,True,2019-08-11T15:30:00Z,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,9973,0,0
244,20,20,0,False,2019-08-19T19:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1768,10797,692,2460
244,25,7,0,True,2019-08-24T14:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1547,9770,268,1815
244,39,16,0,False,2019-08-31T11:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1184,9006,223,1407
244,45,9,1,True,2019-09-14T14:00:00Z,1,0,5,23,0,0,0,0,0,0,0,0,0,0,0,7,8.4,0.4,2.0,1.1,53,-697,8796,414,1111
244,60,19,1,False,2019-09-22T13:00:00Z,2,0,6,19,0,0,0,1,0,0,0,0,0,0,0,6,7.0,21.3,2.0,3.0,53,-15,9061,445,460
244,67,1,1,True,2019-09-30T19:00:00Z,1,1,7,16,0,0,0,0,0,0,0,0,0,0,0,4,5.0,10.8,1.0,1.7,53,-202,9146,452,654
244,76,13,1,False,2019-10-06T15:30:00Z,1,0,8,90,0,0,0,1,0,0,0,1,0,0,0,9,12.2,8.0,1.0,2.1,53,-250,9059,237,487
244,87,10,2,True,2019-10-20T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,4,1.8,2.2,8.0,1.2,53,-203,9020,203,406
244,97,14,2,False,2019-10-27T16:30:00Z,1,3,10,90,0,0,0,1,0,0,0,0,0,0,0,12,18.4,2.8,18.0,3.9,53,174,9381,414,240
244,103,3,1,False,2019-11-02T12:30:00Z,1,0,11,90,0,0,0,1,0,0,0,1,0,0,0,16,26.6,38.5,24.0,8.9,53,384,9981,789,405
244,115,4,2,True,2019-11-10T14:00:00Z,3,1,12,90,0,0,0,1,0,0,0,0,0,0,0,13,11.2,19.1,8.0,3.8,53,262,10457,768,506
244,128,15,2,False,2019-11-24T16:30:00Z,3,3,13,90,0,0,0,3,0,0,0,0,0,0,0,18,17.8,6.5,0.0,2.4,53,759,11571,1446,687
244,135,2,1,True,2019-12-01T16:30:00Z,2,2,14,90,0,0,0,2,0,0,0,1,0,0,0,10,18.6,39.9,21.0,8.0,53,-225,11452,502,727
244,144,17,2,True,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,1,0,0,0,0,0,0,0,13,19.2,21.5,1.0,4.2,53,-254,11288,252,506
244,155,11,2,False,2019-12-07T17:30:00Z,1,2,16,90,0,0,0,1,0,0,0,0,0,0,0,14,15.4,22.2,0.0,3.8,53,243,11696,729,486
244,167,8,2,True,2019-12-15T14:00:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,0,0,15,19.0,52.0,10.0,8.1,53,1746,13923,2488,742
244,179,18,2,False,2019-12-22T14:00:00Z,2,0,18,90,0,0,0,2,0,0,0,0,0,0,0,22,28.2,50.3,0.0,7.9,53,553,14774,1527,974
244,187,13,2,True,2019-12-26T17:30:00Z,4,1,19,90,0,0,0,1,0,0,0,0,0,0,0,13,17.2,47.1,8.0,7.2,53,-89,14851,890,979
244,193,5,2,False,2019-12-28T19:45:00Z,0,2,20,90,0,0,1,0,0,0,0,1,0,0,0,10,9.8,4.2,19.0,3.3,53,502,15577,1316,814
244,201,1,2,False,2020-01-01T20:00:00Z,2,0,21,90,0,0,0,2,0,0,0,0,0,0,0,16,18.4,19.3,22.0,6.0,53,238,16034,1440,1202
244,217,14,3,True,2020-01-11T15:00:00Z,4,0,22,90,0,0,1,0,0,0,0,0,0,0,0,10,21.0,8.5,3.0,3.3,53,-57,16421,1262,1319
244,224,10,2,False,2020-01-19T16:30:00Z,2,0,23,90,0,0,0,2,0,0,0,0,0,0,0,23,22.4,27.9,11.0,6.1,53,-28,16671,1237,1265
244,235,5,2,True,2020-01-22T20:15:00Z,0,2,24,90,0,0,0,2,0,0,0,0,0,0,0,21,21.4,28.4,24.0,7.4,53,1441,18522,2277,836
244,246,20,3,True,2020-02-01T17:30:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,0,14,15.4,32.2,8.0,5.6,53,593,19438,2187,1594
244,254,6,0,False,2020-02-17T20:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,343,20091,1494,1151
